najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,100.10,31.07.2015
-,-,-,100.10,03.08.2015
100.10,100.10,100.10,100.10,04.08.2015
-,-,-,100.10,05.08.2015
-,-,-,100.10,06.08.2015
100.10,100.10,100.10,100.10,07.08.2015
-,-,-,100.10,10.08.2015
-,-,-,100.10,11.08.2015
-,-,-,100.10,12.08.2015
-,-,-,100.10,13.08.2015
-,-,-,100.10,14.08.2015
-,-,-,100.10,17.08.2015
-,-,-,100.10,18.08.2015
100.30,100.30,100.30,100.30,19.08.2015
100.40,100.40,100.40,100.40,20.08.2015
-,-,-,100.40,21.08.2015
-,-,-,100.40,24.08.2015
100.30,100.30,100.30,100.30,25.08.2015
-,-,-,100.30,26.08.2015
100.40,100.40,100.40,100.40,27.08.2015
100.40,100.40,100.40,100.40,28.08.2015
-,-,-,100.40,31.08.2015
-,-,-,100.40,01.09.2015
-,-,-,100.40,02.09.2015
-,-,-,100.40,03.09.2015
-,-,-,100.40,04.09.2015
-,-,-,100.40,07.09.2015
-,-,-,100.40,08.09.2015
-,-,-,100.40,09.09.2015
-,-,-,100.40,10.09.2015
-,-,-,100.40,11.09.2015
-,-,-,100.40,14.09.2015
-,-,-,100.40,15.09.2015
-,-,-,100.40,16.09.2015
-,-,-,100.40,17.09.2015
-,-,-,100.40,18.09.2015
-,-,-,100.40,21.09.2015
-,-,-,100.40,22.09.2015
-,-,-,100.40,23.09.2015
-,-,-,100.40,24.09.2015
-,-,-,100.40,25.09.2015
-,-,-,100.40,28.09.2015
-,-,-,100.40,29.09.2015
-,-,-,100.40,30.09.2015
-,-,-,100.40,01.10.2015
-,-,-,100.40,02.10.2015
-,-,-,100.40,05.10.2015
-,-,-,100.40,06.10.2015
-,-,-,100.40,07.10.2015
-,-,-,100.40,08.10.2015
-,-,-,100.40,09.10.2015
-,-,-,100.40,12.10.2015
-,-,-,100.40,13.10.2015
-,-,-,100.40,14.10.2015
-,-,-,100.40,15.10.2015
-,-,-,100.40,16.10.2015
-,-,-,100.40,19.10.2015
-,-,-,100.40,20.10.2015
-,-,-,100.40,21.10.2015
-,-,-,100.40,22.10.2015
-,-,-,100.40,23.10.2015
-,-,-,100.40,26.10.2015
-,-,-,100.40,27.10.2015
