najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,3.500,31.07.2015
-,-,-,3.500,03.08.2015
-,-,-,3.500,04.08.2015
-,-,-,3.500,05.08.2015
-,-,-,3.500,06.08.2015
-,-,-,3.500,07.08.2015
-,-,-,3.500,10.08.2015
-,-,-,3.500,11.08.2015
-,-,-,3.500,12.08.2015
-,-,-,3.500,13.08.2015
-,-,-,3.500,14.08.2015
-,-,-,3.500,17.08.2015
-,-,-,3.500,18.08.2015
3.250,3.250,3.250,3.250,19.08.2015
-,-,-,3.250,20.08.2015
-,-,-,3.250,21.08.2015
3.250,3.250,3.250,3.250,24.08.2015
3.250,3.250,3.250,3.250,25.08.2015
-,-,-,3.250,26.08.2015
-,-,-,3.250,27.08.2015
-,-,-,3.250,28.08.2015
3.250,3.250,3.250,3.250,31.08.2015
3.250,3.250,3.250,3.250,01.09.2015
3.250,3.250,3.250,3.250,02.09.2015
3.250,3.250,3.250,3.250,03.09.2015
3.250,3.250,3.250,3.250,04.09.2015
3.250,3.250,3.250,3.250,07.09.2015
-,-,-,3.250,08.09.2015
3.250,3.250,3.250,3.250,09.09.2015
-,-,-,3.250,10.09.2015
3.250,3.250,3.250,3.250,11.09.2015
3.250,3.250,3.250,3.250,14.09.2015
-,-,-,3.250,15.09.2015
-,-,-,3.250,16.09.2015
3.250,3.250,3.250,3.250,17.09.2015
3.250,3.250,3.250,3.250,18.09.2015
-,-,-,3.250,21.09.2015
-,-,-,3.250,22.09.2015
3.250,3.250,3.250,3.250,23.09.2015
-,-,-,3.250,24.09.2015
-,-,-,3.250,25.09.2015
3.250,3.250,3.250,3.250,28.09.2015
-,-,-,3.250,29.09.2015
-,-,-,3.250,30.09.2015
3.250,3.250,3.250,3.250,01.10.2015
3.250,3.250,3.250,3.250,02.10.2015
-,-,-,3.250,05.10.2015
3.250,3.250,3.250,3.250,06.10.2015
3.250,3.250,3.250,3.250,07.10.2015
-,-,-,3.250,08.10.2015
-,-,-,3.250,09.10.2015
3.250,3.250,3.250,3.250,12.10.2015
3.250,3.250,3.250,3.250,13.10.2015
-,-,-,3.250,14.10.2015
3.250,3.250,3.250,3.250,15.10.2015
3.250,3.250,3.250,3.250,16.10.2015
-,-,-,3.250,19.10.2015
-,-,-,3.250,20.10.2015
3.250,3.250,3.250,3.250,21.10.2015
3.250,3.250,3.250,3.250,22.10.2015
-,-,-,3.250,23.10.2015
3.250,3.250,3.250,3.250,26.10.2015
-,-,-,3.250,27.10.2015
-,-,-,3.250,28.10.2015
3.250,3.250,3.250,3.250,29.10.2015
3.250,3.250,3.250,3.250,30.10.2015
3.250,3.250,3.250,3.250,02.11.2015
-,-,-,3.250,03.11.2015
-,-,-,3.250,04.11.2015
-,-,-,3.250,05.11.2015
-,-,-,3.250,06.11.2015
-,-,-,3.250,09.11.2015
3.250,3.250,3.250,3.250,10.11.2015
-,-,-,3.250,11.11.2015
-,-,-,3.250,12.11.2015
3.250,3.250,3.250,3.250,13.11.2015
3.250,3.250,3.250,3.250,16.11.2015
-,-,-,3.250,17.11.2015
3.250,3.250,3.250,3.250,18.11.2015
3.250,3.250,3.250,3.250,19.11.2015
-,-,-,3.250,20.11.2015
-,-,-,3.250,23.11.2015
-,-,-,3.250,24.11.2015
-,-,-,3.250,25.11.2015
-,-,-,3.250,26.11.2015
-,-,-,3.250,27.11.2015
-,-,-,3.250,30.11.2015
-,-,-,3.250,01.12.2015
-,-,-,3.250,02.12.2015
-,-,-,3.250,03.12.2015
-,-,-,3.250,04.12.2015
-,-,-,3.250,07.12.2015
-,-,-,3.250,08.12.2015
3.250,3.250,3.250,3.250,09.12.2015
-,-,-,3.250,10.12.2015
-,-,-,3.250,11.12.2015
3.250,3.250,3.250,3.250,14.12.2015
-,-,-,3.250,15.12.2015
3.250,3.250,3.250,3.250,16.12.2015
-,-,-,3.250,17.12.2015
3.250,3.250,3.250,3.250,18.12.2015
-,-,-,3.250,21.12.2015
3.250,3.250,3.250,3.250,22.12.2015
-,-,-,3.250,23.12.2015
-,-,-,3.250,28.12.2015
-,-,-,3.250,29.12.2015
-,-,-,3.250,30.12.2015
-,-,-,3.250,04.01.2016
-,-,-,3.250,05.01.2016
-,-,-,3.250,06.01.2016
-,-,-,3.250,07.01.2016
-,-,-,3.250,08.01.2016
-,-,-,3.250,11.01.2016
-,-,-,3.250,12.01.2016
-,-,-,3.250,13.01.2016
-,-,-,3.250,14.01.2016
-,-,-,3.250,15.01.2016
-,-,-,3.250,18.01.2016
-,-,-,3.250,19.01.2016
-,-,-,3.250,20.01.2016
-,-,-,3.250,21.01.2016
-,-,-,3.250,22.01.2016
-,-,-,3.250,25.01.2016
-,-,-,3.250,26.01.2016
-,-,-,3.250,27.01.2016
-,-,-,3.250,28.01.2016
-,-,-,3.250,29.01.2016
-,-,-,3.250,01.02.2016
3.250,3.250,3.250,3.250,02.02.2016
-,-,-,3.250,03.02.2016
-,-,-,3.250,04.02.2016
-,-,-,3.250,05.02.2016
-,-,-,3.250,09.02.2016
-,-,-,3.250,10.02.2016
-,-,-,3.250,11.02.2016
-,-,-,3.250,12.02.2016
-,-,-,3.250,15.02.2016
-,-,-,3.250,16.02.2016
-,-,-,3.250,17.02.2016
-,-,-,3.250,18.02.2016
-,-,-,3.250,19.02.2016
-,-,-,3.250,22.02.2016
-,-,-,3.250,23.02.2016
-,-,-,3.250,24.02.2016
-,-,-,3.250,25.02.2016
-,-,-,3.250,26.02.2016
3.300,3.300,3.300,3.300,29.02.2016
-,-,-,3.300,01.03.2016
3.250,3.250,3.250,3.250,02.03.2016
3.250,3.250,3.250,3.250,03.03.2016
3.250,3.250,3.250,3.250,04.03.2016
3.250,3.250,3.250,3.250,07.03.2016
3.250,3.250,3.250,3.250,08.03.2016
3.250,3.250,3.250,3.250,09.03.2016
-,-,-,3.250,10.03.2016
3.250,3.250,3.250,3.250,11.03.2016
-,-,-,3.250,14.03.2016
3.250,3.250,3.250,3.250,15.03.2016
-,-,-,3.250,16.03.2016
-,-,-,3.250,17.03.2016
-,-,-,3.250,18.03.2016
-,-,-,3.250,21.03.2016
-,-,-,3.250,22.03.2016
-,-,-,3.250,23.03.2016
-,-,-,3.250,24.03.2016
-,-,-,3.250,29.03.2016
-,-,-,3.250,30.03.2016
3.300,3.300,3.300,3.300,31.03.2016
-,-,-,3.300,01.04.2016
-,-,-,3.300,04.04.2016
-,-,-,3.300,05.04.2016
-,-,-,3.300,06.04.2016
-,-,-,3.300,07.04.2016
-,-,-,3.300,08.04.2016
-,-,-,3.300,11.04.2016
-,-,-,3.300,12.04.2016
-,-,-,3.300,13.04.2016
-,-,-,3.300,14.04.2016
-,-,-,3.300,15.04.2016
-,-,-,3.300,18.04.2016
-,-,-,3.300,19.04.2016
-,-,-,3.300,20.04.2016
