najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,28.000,31.07.2015
-,-,-,28.000,03.08.2015
-,-,-,28.000,04.08.2015
-,-,-,28.000,05.08.2015
-,-,-,28.000,06.08.2015
-,-,-,28.000,07.08.2015
-,-,-,28.000,10.08.2015
-,-,-,28.000,11.08.2015
-,-,-,28.000,12.08.2015
-,-,-,28.000,13.08.2015
-,-,-,28.000,14.08.2015
-,-,-,28.000,17.08.2015
-,-,-,28.000,18.08.2015
-,-,-,28.000,19.08.2015
-,-,-,28.000,20.08.2015
-,-,-,28.000,21.08.2015
-,-,-,28.000,24.08.2015
-,-,-,28.000,25.08.2015
-,-,-,28.000,26.08.2015
-,-,-,28.000,27.08.2015
-,-,-,28.000,28.08.2015
-,-,-,28.000,31.08.2015
-,-,-,28.000,01.09.2015
-,-,-,28.000,02.09.2015
-,-,-,28.000,03.09.2015
-,-,-,28.000,04.09.2015
30.000,30.000,30.000,30.000,07.09.2015
-,-,-,30.000,08.09.2015
28.000,28.000,28.000,28.000,09.09.2015
-,-,-,28.000,10.09.2015
-,-,-,28.000,11.09.2015
26.000,26.000,26.000,26.000,14.09.2015
-,-,-,26.000,15.09.2015
-,-,-,26.000,16.09.2015
26.000,26.000,26.000,26.000,17.09.2015
-,-,-,26.000,18.09.2015
-,-,-,26.000,21.09.2015
-,-,-,26.000,22.09.2015
-,-,-,26.000,23.09.2015
-,-,-,26.000,24.09.2015
-,-,-,26.000,25.09.2015
-,-,-,26.000,28.09.2015
-,-,-,26.000,29.09.2015
-,-,-,26.000,30.09.2015
-,-,-,26.000,01.10.2015
-,-,-,26.000,02.10.2015
-,-,-,26.000,05.10.2015
-,-,-,26.000,06.10.2015
-,-,-,26.000,07.10.2015
26.010,26.010,26.010,26.010,08.10.2015
-,-,-,26.010,09.10.2015
-,-,-,26.010,12.10.2015
-,-,-,26.010,13.10.2015
-,-,-,26.010,14.10.2015
-,-,-,26.010,15.10.2015
-,-,-,26.010,16.10.2015
-,-,-,26.010,19.10.2015
-,-,-,26.010,20.10.2015
-,-,-,26.010,21.10.2015
-,-,-,26.010,22.10.2015
26.105,26.105,26.105,26.105,23.10.2015
-,-,-,26.105,26.10.2015
-,-,-,26.105,27.10.2015
-,-,-,26.105,28.10.2015
-,-,-,26.105,29.10.2015
-,-,-,26.105,30.10.2015
-,-,-,26.105,02.11.2015
-,-,-,26.105,03.11.2015
-,-,-,26.105,04.11.2015
-,-,-,26.105,05.11.2015
-,-,-,26.105,06.11.2015
-,-,-,26.105,09.11.2015
-,-,-,26.105,10.11.2015
-,-,-,26.105,11.11.2015
-,-,-,26.105,12.11.2015
-,-,-,26.105,13.11.2015
-,-,-,26.105,16.11.2015
-,-,-,26.105,17.11.2015
-,-,-,26.105,18.11.2015
-,-,-,26.105,19.11.2015
26.220,26.220,26.220,26.220,20.11.2015
-,-,-,26.220,23.11.2015
-,-,-,26.220,24.11.2015
-,-,-,26.220,25.11.2015
-,-,-,26.220,26.11.2015
-,-,-,26.220,27.11.2015
-,-,-,26.220,30.11.2015
-,-,-,26.220,01.12.2015
-,-,-,26.220,02.12.2015
-,-,-,26.220,03.12.2015
-,-,-,26.220,04.12.2015
-,-,-,26.220,07.12.2015
-,-,-,26.220,08.12.2015
-,-,-,26.220,09.12.2015
-,-,-,26.220,10.12.2015
-,-,-,26.220,11.12.2015
-,-,-,26.220,14.12.2015
-,-,-,26.220,15.12.2015
-,-,-,26.220,16.12.2015
-,-,-,26.220,17.12.2015
-,-,-,26.220,18.12.2015
-,-,-,26.220,21.12.2015
-,-,-,26.220,22.12.2015
27.010,27.010,27.010,27.010,23.12.2015
30.000,30.000,30.000,30.000,28.12.2015
-,-,-,30.000,29.12.2015
-,-,-,30.000,30.12.2015
-,-,-,30.000,04.01.2016
-,-,-,30.000,05.01.2016
-,-,-,30.000,06.01.2016
-,-,-,30.000,07.01.2016
-,-,-,30.000,08.01.2016
-,-,-,30.000,11.01.2016
-,-,-,30.000,12.01.2016
-,-,-,30.000,13.01.2016
29.000,29.000,29.000,29.000,14.01.2016
-,-,-,29.000,15.01.2016
-,-,-,29.000,18.01.2016
-,-,-,29.000,19.01.2016
-,-,-,29.000,20.01.2016
-,-,-,29.000,21.01.2016
-,-,-,29.000,22.01.2016
-,-,-,29.000,25.01.2016
-,-,-,29.000,26.01.2016
-,-,-,29.000,27.01.2016
-,-,-,29.000,28.01.2016
-,-,-,29.000,29.01.2016
-,-,-,29.000,01.02.2016
-,-,-,29.000,02.02.2016
-,-,-,29.000,03.02.2016
-,-,-,29.000,04.02.2016
-,-,-,29.000,05.02.2016
-,-,-,29.000,09.02.2016
-,-,-,29.000,10.02.2016
-,-,-,29.000,11.02.2016
-,-,-,29.000,12.02.2016
-,-,-,29.000,15.02.2016
-,-,-,29.000,16.02.2016
28.000,28.000,28.000,28.000,17.02.2016
-,-,-,28.000,18.02.2016
-,-,-,28.000,19.02.2016
-,-,-,28.000,22.02.2016
-,-,-,28.000,23.02.2016
-,-,-,28.000,24.02.2016
-,-,-,28.000,25.02.2016
-,-,-,28.000,26.02.2016
-,-,-,28.000,29.02.2016
-,-,-,28.000,01.03.2016
-,-,-,28.000,02.03.2016
-,-,-,28.000,03.03.2016
-,-,-,28.000,04.03.2016
27.010,27.010,27.010,27.010,07.03.2016
-,-,-,27.010,08.03.2016
-,-,-,27.010,09.03.2016
-,-,-,27.010,10.03.2016
-,-,-,27.010,11.03.2016
-,-,-,27.010,14.03.2016
-,-,-,27.010,15.03.2016
-,-,-,27.010,16.03.2016
-,-,-,27.010,17.03.2016
-,-,-,27.010,18.03.2016
-,-,-,27.010,21.03.2016
-,-,-,27.010,22.03.2016
-,-,-,27.010,23.03.2016
-,-,-,27.010,24.03.2016
-,-,-,27.010,29.03.2016
30.000,30.000,30.000,30.000,30.03.2016
30.000,30.000,30.000,30.000,31.03.2016
-,-,-,30.000,01.04.2016
-,-,-,30.000,04.04.2016
-,-,-,30.000,05.04.2016
-,-,-,30.000,06.04.2016
31.200,31.200,31.200,31.200,07.04.2016
-,-,-,31.200,08.04.2016
-,-,-,31.200,11.04.2016
-,-,-,31.200,12.04.2016
31.000,31.000,31.000,31.000,13.04.2016
-,-,-,31.000,14.04.2016
-,-,-,31.000,15.04.2016
-,-,-,31.000,18.04.2016
-,-,-,31.000,19.04.2016
-,-,-,31.000,20.04.2016
-,-,-,31.000,21.04.2016
-,-,-,31.000,22.04.2016
-,-,-,31.000,25.04.2016
-,-,-,31.000,26.04.2016
-,-,-,31.000,28.04.2016
-,-,-,31.000,29.04.2016
-,-,-,31.000,03.05.2016
-,-,-,31.000,04.05.2016
-,-,-,31.000,05.05.2016
-,-,-,31.000,06.05.2016
-,-,-,31.000,09.05.2016
36.000,36.000,36.000,36.000,10.05.2016
-,-,-,36.000,11.05.2016
-,-,-,36.000,12.05.2016
-,-,-,36.000,13.05.2016
-,-,-,36.000,16.05.2016
36.000,36.000,36.000,36.000,17.05.2016
-,-,-,36.000,18.05.2016
-,-,-,36.000,19.05.2016
36.000,36.000,36.000,36.000,20.05.2016
35.000,35.000,35.000,35.000,23.05.2016
35.000,35.000,35.000,35.000,24.05.2016
36.000,36.000,36.000,36.000,25.05.2016
-,-,-,36.000,26.05.2016
-,-,-,36.000,27.05.2016
-,-,-,36.000,30.05.2016
-,-,-,36.000,31.05.2016
-,-,-,36.000,01.06.2016
-,-,-,36.000,02.06.2016
-,-,-,36.000,03.06.2016
-,-,-,36.000,06.06.2016
