najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
140.00,140.00,140.00,140.00,31.07.2015
137.70,137.70,137.70,137.70,03.08.2015
134.90,134.90,134.90,134.90,04.08.2015
130.10,130.10,130.10,130.10,05.08.2015
130.00,130.00,130.00,130.00,06.08.2015
126.00,126.00,126.00,126.00,07.08.2015
130.00,130.00,130.00,130.00,10.08.2015
120.00,120.00,120.00,120.00,11.08.2015
120.00,120.00,120.00,120.00,12.08.2015
118.10,118.10,118.10,118.10,13.08.2015
120.90,120.90,120.90,120.90,14.08.2015
122.00,122.00,122.00,122.00,17.08.2015
124.00,124.00,124.00,124.00,18.08.2015
126.05,126.05,126.05,126.05,19.08.2015
130.00,130.00,130.00,130.00,20.08.2015
100.00,100.00,100.00,100.00,21.08.2015
99.50,99.50,99.50,99.50,24.08.2015
94.40,94.40,94.40,94.40,25.08.2015
91.05,91.05,91.05,91.05,26.08.2015
90.00,90.00,90.00,90.00,27.08.2015
90.00,90.00,90.00,90.00,28.08.2015
92.00,92.00,92.00,92.00,31.08.2015
92.20,92.20,92.20,92.20,01.09.2015
94.44,94.44,94.44,94.44,02.09.2015
95.00,95.00,95.00,95.00,03.09.2015
94.99,94.99,94.99,94.99,04.09.2015
94.00,94.00,94.00,94.00,07.09.2015
90.49,90.49,90.49,90.49,08.09.2015
88.00,88.00,88.00,88.00,09.09.2015
86.80,86.80,86.80,86.80,10.09.2015
84.80,84.80,84.80,84.80,11.09.2015
82.50,82.50,82.50,82.50,14.09.2015
77.90,77.90,77.90,77.90,15.09.2015
77.90,77.90,77.90,77.90,16.09.2015
79.00,79.00,79.00,79.00,17.09.2015
79.99,79.99,79.99,79.99,18.09.2015
79.00,79.00,79.00,79.00,21.09.2015
79.00,79.00,79.00,79.00,22.09.2015
79.00,79.00,79.00,79.00,23.09.2015
80.00,80.00,80.00,80.00,24.09.2015
81.20,81.20,81.20,81.20,25.09.2015
83.00,83.00,83.00,83.00,28.09.2015
84.89,84.89,84.89,84.89,29.09.2015
86.00,86.00,86.00,86.00,30.09.2015
87.50,87.50,87.50,87.50,01.10.2015
88.00,88.00,88.00,88.00,02.10.2015
89.99,89.99,89.99,89.99,05.10.2015
90.99,90.99,90.99,90.99,06.10.2015
90.50,90.50,90.50,90.50,07.10.2015
90.00,90.00,90.00,90.00,08.10.2015
90.00,90.00,90.00,90.00,09.10.2015
89.50,89.50,89.50,89.50,12.10.2015
