najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,3.299,31.07.2015
-,-,-,3.299,03.08.2015
-,-,-,3.299,04.08.2015
-,-,-,3.299,05.08.2015
-,-,-,3.299,06.08.2015
-,-,-,3.299,07.08.2015
-,-,-,3.299,10.08.2015
-,-,-,3.299,11.08.2015
-,-,-,3.299,12.08.2015
-,-,-,3.299,13.08.2015
-,-,-,3.299,14.08.2015
-,-,-,3.299,17.08.2015
-,-,-,3.299,18.08.2015
-,-,-,3.299,19.08.2015
-,-,-,3.299,20.08.2015
-,-,-,3.299,21.08.2015
3.100,3.100,3.100,3.100,24.08.2015
3.200,3.200,3.200,3.200,25.08.2015
3.200,3.200,3.200,3.200,26.08.2015
3.200,3.200,3.200,3.200,27.08.2015
-,-,-,3.200,28.08.2015
-,-,-,3.200,31.08.2015
-,-,-,3.200,01.09.2015
-,-,-,3.200,02.09.2015
-,-,-,3.200,03.09.2015
-,-,-,3.200,04.09.2015
3.010,3.010,3.010,3.010,07.09.2015
-,-,-,3.010,08.09.2015
-,-,-,3.010,09.09.2015
-,-,-,3.010,10.09.2015
-,-,-,3.010,11.09.2015
-,-,-,3.010,14.09.2015
-,-,-,3.010,15.09.2015
2.000,2.000,2.000,2.000,16.09.2015
2.000,2.000,2.000,2.000,17.09.2015
-,-,-,2.000,18.09.2015
-,-,-,2.000,21.09.2015
-,-,-,2.000,22.09.2015
-,-,-,2.000,23.09.2015
-,-,-,2.000,24.09.2015
-,-,-,2.000,25.09.2015
-,-,-,2.000,28.09.2015
-,-,-,2.000,29.09.2015
2.500,2.500,2.500,2.500,30.09.2015
-,-,-,2.500,01.10.2015
-,-,-,2.500,02.10.2015
-,-,-,2.500,05.10.2015
-,-,-,2.500,06.10.2015
-,-,-,2.500,07.10.2015
-,-,-,2.500,08.10.2015
-,-,-,2.500,09.10.2015
2.920,2.920,2.920,2.920,12.10.2015
-,-,-,2.920,13.10.2015
-,-,-,2.920,14.10.2015
-,-,-,2.920,15.10.2015
-,-,-,2.920,16.10.2015
-,-,-,2.920,19.10.2015
-,-,-,2.920,20.10.2015
2.255,2.255,2.255,2.255,21.10.2015
-,-,-,2.255,22.10.2015
-,-,-,2.255,23.10.2015
-,-,-,2.255,26.10.2015
-,-,-,2.255,27.10.2015
-,-,-,2.255,28.10.2015
-,-,-,2.255,29.10.2015
-,-,-,2.255,30.10.2015
-,-,-,2.255,02.11.2015
-,-,-,2.255,03.11.2015
-,-,-,2.255,04.11.2015
-,-,-,2.255,05.11.2015
-,-,-,2.255,06.11.2015
-,-,-,2.255,09.11.2015
-,-,-,2.255,10.11.2015
-,-,-,2.255,11.11.2015
2.500,2.500,2.500,2.500,12.11.2015
2.500,2.500,2.500,2.500,13.11.2015
-,-,-,2.500,16.11.2015
-,-,-,2.500,17.11.2015
-,-,-,2.500,18.11.2015
-,-,-,2.500,19.11.2015
-,-,-,2.500,20.11.2015
-,-,-,2.500,23.11.2015
2.500,2.500,2.500,2.500,24.11.2015
-,-,-,2.500,25.11.2015
-,-,-,2.500,26.11.2015
-,-,-,2.500,27.11.2015
-,-,-,2.500,30.11.2015
-,-,-,2.500,01.12.2015
-,-,-,2.500,02.12.2015
-,-,-,2.500,03.12.2015
-,-,-,2.500,04.12.2015
-,-,-,2.500,07.12.2015
-,-,-,2.500,08.12.2015
-,-,-,2.500,09.12.2015
-,-,-,2.500,10.12.2015
2.490,2.490,2.490,2.490,11.12.2015
-,-,-,2.490,14.12.2015
-,-,-,2.490,15.12.2015
-,-,-,2.490,16.12.2015
-,-,-,2.490,17.12.2015
-,-,-,2.490,18.12.2015
-,-,-,2.490,21.12.2015
2.100,2.100,2.100,2.100,22.12.2015
-,-,-,2.100,23.12.2015
2.090,2.090,2.090,2.090,28.12.2015
2.090,2.090,2.090,2.090,29.12.2015
2.480,2.480,2.480,2.480,30.12.2015
-,-,-,2.480,04.01.2016
-,-,-,2.480,05.01.2016
-,-,-,2.480,06.01.2016
2.670,2.670,2.670,2.670,07.01.2016
-,-,-,2.670,08.01.2016
-,-,-,2.670,11.01.2016
-,-,-,2.670,12.01.2016
-,-,-,2.670,13.01.2016
-,-,-,2.670,14.01.2016
-,-,-,2.670,15.01.2016
-,-,-,2.670,18.01.2016
-,-,-,2.670,19.01.2016
-,-,-,2.670,20.01.2016
-,-,-,2.670,21.01.2016
-,-,-,2.670,22.01.2016
-,-,-,2.670,25.01.2016
-,-,-,2.670,26.01.2016
-,-,-,2.670,27.01.2016
-,-,-,2.670,28.01.2016
-,-,-,2.670,29.01.2016
-,-,-,2.670,01.02.2016
-,-,-,2.670,02.02.2016
-,-,-,2.670,03.02.2016
-,-,-,2.670,04.02.2016
-,-,-,2.670,05.02.2016
-,-,-,2.670,09.02.2016
-,-,-,2.670,10.02.2016
-,-,-,2.670,11.02.2016
-,-,-,2.670,12.02.2016
-,-,-,2.670,15.02.2016
-,-,-,2.670,16.02.2016
-,-,-,2.670,17.02.2016
-,-,-,2.670,18.02.2016
-,-,-,2.670,19.02.2016
-,-,-,2.670,22.02.2016
-,-,-,2.670,23.02.2016
-,-,-,2.670,24.02.2016
-,-,-,2.670,25.02.2016
-,-,-,2.670,26.02.2016
-,-,-,2.670,29.02.2016
-,-,-,2.670,01.03.2016
-,-,-,2.670,02.03.2016
-,-,-,2.670,03.03.2016
-,-,-,2.670,04.03.2016
-,-,-,2.670,07.03.2016
-,-,-,2.670,08.03.2016
-,-,-,2.670,09.03.2016
-,-,-,2.670,10.03.2016
-,-,-,2.670,11.03.2016
-,-,-,2.670,14.03.2016
-,-,-,2.670,15.03.2016
-,-,-,2.670,16.03.2016
-,-,-,2.670,17.03.2016
-,-,-,2.670,18.03.2016
2.399,2.399,2.399,2.399,21.03.2016
2.398,2.398,2.398,2.398,22.03.2016
-,-,-,2.398,23.03.2016
-,-,-,2.398,24.03.2016
-,-,-,2.398,29.03.2016
-,-,-,2.398,30.03.2016
-,-,-,2.398,31.03.2016
-,-,-,2.398,01.04.2016
-,-,-,2.398,04.04.2016
-,-,-,2.398,05.04.2016
-,-,-,2.398,06.04.2016
-,-,-,2.398,07.04.2016
3.088,3.088,3.088,3.088,08.04.2016
-,-,-,3.088,11.04.2016
-,-,-,3.088,12.04.2016
-,-,-,3.088,13.04.2016
2.990,2.990,2.990,2.990,14.04.2016
-,-,-,2.990,15.04.2016
