najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,36.000,31.07.2015
-,-,-,36.000,03.08.2015
-,-,-,36.000,04.08.2015
-,-,-,36.000,05.08.2015
-,-,-,36.000,06.08.2015
-,-,-,36.000,07.08.2015
-,-,-,36.000,10.08.2015
-,-,-,36.000,11.08.2015
-,-,-,36.000,12.08.2015
-,-,-,36.000,13.08.2015
-,-,-,36.000,14.08.2015
-,-,-,36.000,17.08.2015
-,-,-,36.000,18.08.2015
-,-,-,36.000,19.08.2015
-,-,-,36.000,20.08.2015
-,-,-,36.000,21.08.2015
36.000,36.000,36.000,36.000,24.08.2015
36.000,36.000,36.000,36.000,25.08.2015
-,-,-,36.000,26.08.2015
-,-,-,36.000,27.08.2015
-,-,-,36.000,28.08.2015
-,-,-,36.000,31.08.2015
-,-,-,36.000,01.09.2015
-,-,-,36.000,02.09.2015
-,-,-,36.000,03.09.2015
-,-,-,36.000,04.09.2015
36.000,36.000,36.000,36.000,07.09.2015
-,-,-,36.000,08.09.2015
36.000,36.000,36.000,36.000,09.09.2015
36.000,36.000,36.000,36.000,10.09.2015
-,-,-,36.000,11.09.2015
-,-,-,36.000,14.09.2015
-,-,-,36.000,15.09.2015
-,-,-,36.000,16.09.2015
-,-,-,36.000,17.09.2015
-,-,-,36.000,18.09.2015
-,-,-,36.000,21.09.2015
-,-,-,36.000,22.09.2015
-,-,-,36.000,23.09.2015
-,-,-,36.000,24.09.2015
-,-,-,36.000,25.09.2015
-,-,-,36.000,28.09.2015
-,-,-,36.000,29.09.2015
-,-,-,36.000,30.09.2015
-,-,-,36.000,01.10.2015
-,-,-,36.000,02.10.2015
-,-,-,36.000,05.10.2015
-,-,-,36.000,06.10.2015
-,-,-,36.000,07.10.2015
36.000,36.000,36.000,36.000,08.10.2015
36.000,36.000,36.000,36.000,09.10.2015
-,-,-,36.000,12.10.2015
-,-,-,36.000,13.10.2015
-,-,-,36.000,14.10.2015
-,-,-,36.000,15.10.2015
-,-,-,36.000,16.10.2015
-,-,-,36.000,19.10.2015
-,-,-,36.000,20.10.2015
-,-,-,36.000,21.10.2015
-,-,-,36.000,22.10.2015
-,-,-,36.000,23.10.2015
-,-,-,36.000,26.10.2015
-,-,-,36.000,27.10.2015
-,-,-,36.000,28.10.2015
36.000,36.000,36.000,36.000,29.10.2015
-,-,-,36.000,30.10.2015
-,-,-,36.000,02.11.2015
-,-,-,36.000,03.11.2015
-,-,-,36.000,04.11.2015
-,-,-,36.000,05.11.2015
-,-,-,36.000,06.11.2015
-,-,-,36.000,09.11.2015
-,-,-,36.000,10.11.2015
-,-,-,36.000,11.11.2015
-,-,-,36.000,12.11.2015
-,-,-,36.000,13.11.2015
-,-,-,36.000,16.11.2015
-,-,-,36.000,17.11.2015
-,-,-,36.000,18.11.2015
-,-,-,36.000,19.11.2015
-,-,-,36.000,20.11.2015
35.000,35.000,35.000,35.000,23.11.2015
-,-,-,35.000,24.11.2015
-,-,-,35.000,25.11.2015
-,-,-,35.000,26.11.2015
-,-,-,35.000,27.11.2015
-,-,-,35.000,30.11.2015
35.000,35.000,35.000,35.000,01.12.2015
35.000,35.000,35.000,35.000,02.12.2015
-,-,-,35.000,03.12.2015
-,-,-,35.000,04.12.2015
-,-,-,35.000,07.12.2015
-,-,-,35.000,08.12.2015
-,-,-,35.000,09.12.2015
35.000,35.000,35.000,35.000,10.12.2015
-,-,-,35.000,11.12.2015
-,-,-,35.000,14.12.2015
-,-,-,35.000,15.12.2015
-,-,-,35.000,16.12.2015
-,-,-,35.000,17.12.2015
20.500,20.500,20.500,20.500,18.12.2015
-,-,-,20.500,21.12.2015
-,-,-,20.500,22.12.2015
-,-,-,20.500,23.12.2015
-,-,-,20.500,28.12.2015
-,-,-,20.500,29.12.2015
-,-,-,20.500,30.12.2015
-,-,-,20.500,04.01.2016
-,-,-,20.500,05.01.2016
-,-,-,20.500,06.01.2016
-,-,-,20.500,07.01.2016
-,-,-,20.500,08.01.2016
-,-,-,20.500,11.01.2016
-,-,-,20.500,12.01.2016
-,-,-,20.500,13.01.2016
-,-,-,20.500,14.01.2016
-,-,-,20.500,15.01.2016
-,-,-,20.500,18.01.2016
-,-,-,20.500,19.01.2016
-,-,-,20.500,20.01.2016
-,-,-,20.500,21.01.2016
-,-,-,20.500,22.01.2016
-,-,-,20.500,25.01.2016
25.030,25.030,25.030,25.030,26.01.2016
-,-,-,25.030,27.01.2016
-,-,-,25.030,28.01.2016
-,-,-,25.030,29.01.2016
-,-,-,25.030,01.02.2016
-,-,-,25.030,02.02.2016
-,-,-,25.030,03.02.2016
29.000,29.000,29.000,29.000,04.02.2016
-,-,-,29.000,05.02.2016
-,-,-,29.000,09.02.2016
-,-,-,29.000,10.02.2016
-,-,-,29.000,11.02.2016
-,-,-,29.000,12.02.2016
-,-,-,29.000,15.02.2016
30.000,30.000,30.000,30.000,16.02.2016
-,-,-,30.000,17.02.2016
-,-,-,30.000,18.02.2016
-,-,-,30.000,19.02.2016
27.000,27.000,27.000,27.000,22.02.2016
-,-,-,27.000,23.02.2016
-,-,-,27.000,24.02.2016
-,-,-,27.000,25.02.2016
25.000,25.000,25.000,25.000,26.02.2016
-,-,-,25.000,29.02.2016
-,-,-,25.000,01.03.2016
-,-,-,25.000,02.03.2016
-,-,-,25.000,03.03.2016
-,-,-,25.000,04.03.2016
-,-,-,25.000,07.03.2016
-,-,-,25.000,08.03.2016
-,-,-,25.000,09.03.2016
24.510,24.510,24.510,24.510,10.03.2016
-,-,-,24.510,11.03.2016
-,-,-,24.510,14.03.2016
-,-,-,24.510,15.03.2016
-,-,-,24.510,16.03.2016
-,-,-,24.510,17.03.2016
-,-,-,24.510,18.03.2016
-,-,-,24.510,21.03.2016
-,-,-,24.510,22.03.2016
-,-,-,24.510,23.03.2016
-,-,-,24.510,24.03.2016
-,-,-,24.510,29.03.2016
-,-,-,24.510,30.03.2016
-,-,-,24.510,31.03.2016
-,-,-,24.510,01.04.2016
-,-,-,24.510,04.04.2016
-,-,-,24.510,05.04.2016
-,-,-,24.510,06.04.2016
-,-,-,24.510,07.04.2016
-,-,-,24.510,08.04.2016
-,-,-,24.510,11.04.2016
-,-,-,24.510,12.04.2016
-,-,-,24.510,13.04.2016
-,-,-,24.510,14.04.2016
-,-,-,24.510,15.04.2016
-,-,-,24.510,18.04.2016
-,-,-,24.510,19.04.2016
-,-,-,24.510,20.04.2016
-,-,-,24.510,21.04.2016
-,-,-,24.510,22.04.2016
-,-,-,24.510,25.04.2016
-,-,-,24.510,26.04.2016
-,-,-,24.510,28.04.2016
-,-,-,24.510,29.04.2016
-,-,-,24.510,03.05.2016
-,-,-,24.510,04.05.2016
-,-,-,24.510,05.05.2016
-,-,-,24.510,06.05.2016
-,-,-,24.510,09.05.2016
-,-,-,24.510,10.05.2016
-,-,-,24.510,11.05.2016
-,-,-,24.510,12.05.2016
-,-,-,24.510,13.05.2016
-,-,-,24.510,16.05.2016
-,-,-,24.510,17.05.2016
-,-,-,24.510,18.05.2016
-,-,-,24.510,19.05.2016
-,-,-,24.510,20.05.2016
-,-,-,24.510,23.05.2016
-,-,-,24.510,24.05.2016
-,-,-,24.510,25.05.2016
-,-,-,24.510,26.05.2016
-,-,-,24.510,27.05.2016
-,-,-,24.510,30.05.2016
-,-,-,24.510,31.05.2016
-,-,-,24.510,01.06.2016
-,-,-,24.510,02.06.2016
-,-,-,24.510,03.06.2016
-,-,-,24.510,06.06.2016
-,-,-,24.510,07.06.2016
-,-,-,24.510,08.06.2016
-,-,-,24.510,09.06.2016
-,-,-,24.510,10.06.2016
-,-,-,24.510,13.06.2016
-,-,-,24.510,14.06.2016
-,-,-,24.510,15.06.2016
-,-,-,24.510,16.06.2016
-,-,-,24.510,17.06.2016
-,-,-,24.510,20.06.2016
-,-,-,24.510,21.06.2016
-,-,-,24.510,22.06.2016
-,-,-,24.510,23.06.2016
-,-,-,24.510,24.06.2016
-,-,-,24.510,27.06.2016
-,-,-,24.510,28.06.2016
-,-,-,24.510,29.06.2016
-,-,-,24.510,30.06.2016
-,-,-,24.510,01.07.2016
-,-,-,24.510,04.07.2016
-,-,-,24.510,05.07.2016
-,-,-,24.510,06.07.2016
-,-,-,24.510,07.07.2016
-,-,-,24.510,08.07.2016
-,-,-,24.510,11.07.2016
-,-,-,24.510,12.07.2016
-,-,-,24.510,13.07.2016
-,-,-,24.510,14.07.2016
-,-,-,24.510,15.07.2016
-,-,-,24.510,18.07.2016
-,-,-,24.510,19.07.2016
-,-,-,24.510,20.07.2016
-,-,-,24.510,21.07.2016
-,-,-,24.510,22.07.2016
-,-,-,24.510,25.07.2016
-,-,-,24.510,26.07.2016
-,-,-,24.510,27.07.2016
-,-,-,24.510,28.07.2016
-,-,-,24.510,29.07.2016
