najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,14.000,31.07.2015
-,-,-,14.000,03.08.2015
-,-,-,14.000,04.08.2015
-,-,-,14.000,05.08.2015
14.000,14.000,14.000,14.000,06.08.2015
-,-,-,14.000,07.08.2015
-,-,-,14.000,10.08.2015
-,-,-,14.000,11.08.2015
-,-,-,14.000,12.08.2015
-,-,-,14.000,13.08.2015
13.500,13.500,13.500,13.500,14.08.2015
-,-,-,13.500,17.08.2015
-,-,-,13.500,18.08.2015
13.500,13.500,13.500,13.500,19.08.2015
-,-,-,13.500,20.08.2015
-,-,-,13.500,21.08.2015
-,-,-,13.500,24.08.2015
-,-,-,13.500,25.08.2015
-,-,-,13.500,26.08.2015
-,-,-,13.500,27.08.2015
-,-,-,13.500,28.08.2015
-,-,-,13.500,31.08.2015
-,-,-,13.500,01.09.2015
-,-,-,13.500,02.09.2015
-,-,-,13.500,03.09.2015
13.200,13.200,13.200,13.200,04.09.2015
-,-,-,13.200,07.09.2015
-,-,-,13.200,08.09.2015
-,-,-,13.200,09.09.2015
-,-,-,13.200,10.09.2015
-,-,-,13.200,11.09.2015
12.900,12.900,12.900,12.900,14.09.2015
-,-,-,12.900,15.09.2015
-,-,-,12.900,16.09.2015
-,-,-,12.900,17.09.2015
-,-,-,12.900,18.09.2015
-,-,-,12.900,21.09.2015
-,-,-,12.900,22.09.2015
-,-,-,12.900,23.09.2015
-,-,-,12.900,24.09.2015
-,-,-,12.900,25.09.2015
-,-,-,12.900,28.09.2015
-,-,-,12.900,29.09.2015
-,-,-,12.900,30.09.2015
-,-,-,12.900,01.10.2015
-,-,-,12.900,02.10.2015
-,-,-,12.900,05.10.2015
-,-,-,12.900,06.10.2015
12.900,12.900,12.900,12.900,07.10.2015
-,-,-,12.900,08.10.2015
-,-,-,12.900,09.10.2015
-,-,-,12.900,12.10.2015
-,-,-,12.900,13.10.2015
-,-,-,12.900,14.10.2015
-,-,-,12.900,15.10.2015
-,-,-,12.900,16.10.2015
-,-,-,12.900,19.10.2015
-,-,-,12.900,20.10.2015
-,-,-,12.900,21.10.2015
-,-,-,12.900,22.10.2015
-,-,-,12.900,23.10.2015
-,-,-,12.900,26.10.2015
-,-,-,12.900,27.10.2015
-,-,-,12.900,28.10.2015
12.600,12.600,12.600,12.600,29.10.2015
12.595,12.595,12.595,12.595,30.10.2015
-,-,-,12.595,02.11.2015
-,-,-,12.595,03.11.2015
