najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
6.250,6.050,6.050,6.200,31.07.2015
-,-,-,6.200,03.08.2015
6.200,6.200,6.101,6.101,04.08.2015
6.100,6.100,6.001,6.001,05.08.2015
6.000,6.000,6.000,6.000,06.08.2015
6.000,6.000,5.875,5.875,07.08.2015
6.000,5.801,5.801,6.000,10.08.2015
6.050,6.000,5.990,6.000,11.08.2015
6.000,6.000,6.000,6.000,12.08.2015
5.825,5.825,5.825,5.825,13.08.2015
5.821,5.820,5.803,5.821,14.08.2015
5.900,5.900,5.800,5.800,17.08.2015
5.900,5.900,5.900,5.900,18.08.2015
5.820,5.810,5.800,5.820,19.08.2015
5.850,5.820,5.820,5.850,20.08.2015
5.800,5.750,5.750,5.800,21.08.2015
5.750,5.750,5.250,5.450,24.08.2015
5.450,5.255,5.250,5.450,25.08.2015
5.400,5.350,5.110,5.400,26.08.2015
5.570,5.570,5.290,5.560,27.08.2015
5.560,5.560,5.320,5.548,28.08.2015
5.559,5.500,5.500,5.559,31.08.2015
5.559,5.500,5.300,5.400,01.09.2015
5.495,5.490,5.200,5.430,02.09.2015
5.430,5.250,5.200,5.280,03.09.2015
5.298,5.190,5.110,5.298,04.09.2015
5.350,5.150,5.150,5.250,07.09.2015
5.340,5.300,5.150,5.190,08.09.2015
5.350,5.150,5.150,5.250,09.09.2015
5.350,5.350,5.195,5.300,10.09.2015
5.300,5.299,5.000,5.150,11.09.2015
5.330,5.300,5.200,5.288,14.09.2015
5.289,5.250,5.110,5.149,15.09.2015
5.110,5.110,5.050,5.100,16.09.2015
5.100,5.100,4.810,4.900,17.09.2015
4.990,4.603,4.600,4.990,18.09.2015
4.990,4.980,4.800,4.990,21.09.2015
5.100,5.100,4.820,4.900,22.09.2015
4.950,4.850,4.640,4.949,23.09.2015
4.979,4.970,4.733,4.971,24.09.2015
4.900,4.890,4.730,4.900,25.09.2015
5.000,5.000,4.990,4.990,28.09.2015
4.979,4.969,4.800,4.900,29.09.2015
5.000,4.989,4.810,5.000,30.09.2015
5.100,5.000,5.000,5.099,01.10.2015
5.170,5.000,5.000,5.170,02.10.2015
5.200,5.100,5.100,5.200,05.10.2015
4.903,4.850,4.830,4.900,06.10.2015
4.870,4.825,4.825,4.860,07.10.2015
4.860,4.860,4.750,4.780,08.10.2015
4.900,4.900,4.700,4.800,09.10.2015
4.850,4.850,4.720,4.750,12.10.2015
4.700,4.700,4.601,4.700,13.10.2015
4.750,4.699,4.600,4.600,14.10.2015
4.699,4.699,4.521,4.521,15.10.2015
4.600,4.600,4.600,4.600,16.10.2015
4.600,4.600,4.550,4.550,19.10.2015
4.600,4.550,4.550,4.550,20.10.2015
4.550,4.550,4.506,4.506,21.10.2015
4.560,4.510,4.500,4.501,22.10.2015
4.600,4.600,4.510,4.600,23.10.2015
4.700,4.600,4.510,4.650,26.10.2015
4.580,4.520,4.520,4.580,27.10.2015
4.600,4.600,4.501,4.503,28.10.2015
4.500,4.500,4.500,4.500,29.10.2015
4.600,4.500,4.500,4.500,30.10.2015
4.650,4.500,4.500,4.500,02.11.2015
4.650,4.650,4.400,4.550,03.11.2015
4.649,4.550,4.500,4.500,04.11.2015
4.500,4.500,4.480,4.500,05.11.2015
4.490,4.413,4.413,4.413,06.11.2015
4.410,4.410,4.301,4.301,09.11.2015
4.301,4.301,4.200,4.200,10.11.2015
4.200,4.100,4.040,4.150,11.11.2015
4.100,4.058,4.041,4.041,12.11.2015
4.100,4.031,4.000,4.000,13.11.2015
3.950,3.850,3.800,3.851,16.11.2015
4.000,3.990,3.990,4.000,17.11.2015
4.100,4.080,3.990,4.100,18.11.2015
4.150,4.030,4.030,4.150,19.11.2015
4.150,4.070,4.070,4.100,20.11.2015
4.150,4.150,4.070,4.070,23.11.2015
4.180,4.070,4.070,4.160,24.11.2015
4.150,4.100,4.090,4.149,25.11.2015
4.150,4.100,4.070,4.150,26.11.2015
4.150,4.041,4.041,4.150,27.11.2015
4.300,4.300,4.100,4.150,30.11.2015
4.150,4.052,4.052,4.110,01.12.2015
4.200,4.150,4.150,4.150,02.12.2015
4.250,4.130,4.130,4.200,03.12.2015
4.200,4.150,4.150,4.190,04.12.2015
4.280,4.150,4.150,4.164,07.12.2015
4.250,4.164,4.164,4.250,08.12.2015
4.250,4.199,4.199,4.250,09.12.2015
4.270,4.200,4.150,4.200,10.12.2015
4.249,4.150,4.100,4.249,11.12.2015
4.301,4.200,4.200,4.300,14.12.2015
4.500,4.300,4.300,4.490,15.12.2015
4.500,4.500,4.400,4.500,16.12.2015
4.590,4.400,4.350,4.590,17.12.2015
4.700,4.540,4.421,4.700,18.12.2015
4.698,4.670,4.560,4.698,21.12.2015
4.700,4.520,4.520,4.688,22.12.2015
4.650,4.550,4.550,4.620,23.12.2015
4.650,4.530,4.360,4.649,28.12.2015
4.700,4.500,4.500,4.697,29.12.2015
4.850,4.650,4.500,4.600,30.12.2015
4.550,4.550,4.500,4.500,04.01.2016
4.450,4.410,4.410,4.412,05.01.2016
4.500,4.200,4.200,4.500,06.01.2016
4.499,4.200,4.200,4.498,07.01.2016
4.500,4.320,4.250,4.500,08.01.2016
4.450,4.320,4.320,4.415,11.01.2016
4.495,4.300,4.300,4.495,12.01.2016
4.500,4.305,4.305,4.403,13.01.2016
4.500,4.500,4.402,4.490,14.01.2016
4.640,4.501,4.210,4.400,15.01.2016
4.400,4.390,4.225,4.400,18.01.2016
4.400,4.350,4.201,4.201,19.01.2016
4.215,4.215,4.100,4.200,20.01.2016
4.300,4.190,4.100,4.100,21.01.2016
4.477,4.040,4.040,4.477,22.01.2016
4.500,4.500,4.180,4.400,25.01.2016
4.399,4.399,4.230,4.350,26.01.2016
4.380,4.202,4.202,4.380,27.01.2016
4.498,4.390,4.240,4.395,28.01.2016
4.570,4.390,4.390,4.500,29.01.2016
4.400,4.400,4.310,4.310,01.02.2016
4.301,4.300,4.300,4.300,02.02.2016
4.400,4.300,4.300,4.400,03.02.2016
4.489,4.230,4.230,4.400,04.02.2016
4.470,4.300,4.300,4.463,05.02.2016
4.370,4.300,4.250,4.370,09.02.2016
4.445,4.230,4.230,4.400,10.02.2016
4.389,4.389,4.200,4.343,11.02.2016
4.385,4.350,4.290,4.300,12.02.2016
4.380,4.200,4.200,4.339,15.02.2016
4.300,4.024,4.024,4.280,16.02.2016
4.300,4.151,4.151,4.300,17.02.2016
4.300,4.160,4.053,4.270,18.02.2016
4.284,4.284,4.284,4.284,19.02.2016
4.399,4.130,4.130,4.300,22.02.2016
4.389,4.160,4.160,4.389,23.02.2016
4.300,4.300,4.133,4.295,24.02.2016
4.299,4.250,4.250,4.299,25.02.2016
4.400,4.160,4.160,4.400,26.02.2016
4.400,4.400,4.150,4.380,29.02.2016
-,-,-,4.380,01.03.2016
4.348,4.300,4.151,4.202,02.03.2016
4.380,4.380,4.156,4.330,03.03.2016
4.389,4.110,4.110,4.389,04.03.2016
4.374,4.120,4.120,4.251,07.03.2016
4.350,4.300,4.162,4.300,08.03.2016
4.280,4.231,4.230,4.280,09.03.2016
4.300,4.300,4.160,4.160,10.03.2016
4.320,4.180,4.170,4.320,11.03.2016
4.420,4.420,4.250,4.350,14.03.2016
4.375,4.303,4.302,4.310,15.03.2016
4.390,4.310,4.310,4.390,16.03.2016
4.345,4.313,4.300,4.301,17.03.2016
4.300,4.300,4.221,4.221,18.03.2016
4.380,4.310,4.212,4.250,21.03.2016
4.390,4.390,4.300,4.380,22.03.2016
4.450,4.221,4.221,4.398,23.03.2016
4.400,4.250,4.250,4.400,24.03.2016
4.400,4.300,4.300,4.350,29.03.2016
4.449,4.361,4.250,4.449,30.03.2016
4.449,4.280,4.280,4.430,31.03.2016
4.399,4.399,4.292,4.374,01.04.2016
4.360,4.131,4.131,4.339,04.04.2016
4.400,4.270,4.260,4.399,05.04.2016
4.420,4.420,4.331,4.400,06.04.2016
4.439,4.302,4.302,4.400,07.04.2016
4.420,4.400,4.311,4.420,08.04.2016
4.500,4.400,4.370,4.500,11.04.2016
4.500,4.500,4.330,4.330,12.04.2016
4.600,4.489,4.489,4.600,13.04.2016
4.501,4.250,4.250,4.501,14.04.2016
4.700,4.120,4.120,4.700,15.04.2016
4.800,4.620,4.380,4.700,18.04.2016
4.800,4.300,4.300,4.800,19.04.2016
4.890,4.250,4.250,4.890,20.04.2016
4.900,4.800,4.800,4.900,21.04.2016
4.900,4.900,4.800,4.800,22.04.2016
5.050,4.800,4.800,5.050,25.04.2016
5.250,5.000,5.000,5.002,26.04.2016
5.100,5.006,5.000,5.100,28.04.2016
5.200,4.950,4.950,5.200,29.04.2016
5.149,4.805,4.805,5.100,03.05.2016
5.100,4.760,4.760,5.100,04.05.2016
5.180,5.030,5.030,5.180,05.05.2016
5.200,4.980,4.901,5.200,06.05.2016
5.211,4.851,4.851,5.200,09.05.2016
5.250,5.200,5.200,5.250,10.05.2016
5.280,5.205,5.200,5.280,11.05.2016
5.300,5.200,5.200,5.300,12.05.2016
5.400,5.250,5.250,5.300,13.05.2016
5.400,5.310,5.300,5.400,16.05.2016
5.800,5.205,5.205,5.800,17.05.2016
5.820,5.820,5.500,5.600,18.05.2016
5.800,5.650,5.610,5.800,19.05.2016
5.951,5.601,5.601,5.951,20.05.2016
6.000,5.990,5.990,6.000,23.05.2016
6.000,6.000,5.915,6.000,24.05.2016
6.199,5.901,5.901,6.100,25.05.2016
6.300,6.100,6.000,6.200,26.05.2016
6.290,6.100,6.100,6.131,27.05.2016
6.300,6.150,6.021,6.300,30.05.2016
6.690,6.140,6.140,6.500,31.05.2016
6.410,6.400,6.251,6.261,01.06.2016
6.200,6.020,6.000,6.200,02.06.2016
6.179,6.001,5.700,6.179,03.06.2016
6.300,6.050,6.050,6.300,06.06.2016
6.300,6.120,6.120,6.300,07.06.2016
6.400,6.200,6.200,6.350,08.06.2016
6.500,6.177,6.176,6.500,09.06.2016
6.550,6.310,6.310,6.550,10.06.2016
6.318,6.310,6.300,6.300,13.06.2016
6.153,6.153,6.150,6.150,14.06.2016
6.400,6.290,6.100,6.154,15.06.2016
6.449,6.155,6.100,6.400,16.06.2016
6.430,6.400,6.400,6.420,17.06.2016
6.420,6.420,6.222,6.420,20.06.2016
6.400,6.170,6.170,6.231,21.06.2016
6.400,6.000,6.000,6.250,22.06.2016
6.400,6.200,6.200,6.400,23.06.2016
6.200,6.000,6.000,6.000,24.06.2016
6.000,5.720,5.720,5.880,27.06.2016
6.050,5.885,5.885,6.050,28.06.2016
6.200,6.000,6.000,6.076,29.06.2016
6.300,6.200,6.200,6.251,30.06.2016
6.250,6.060,6.060,6.250,01.07.2016
6.073,6.052,6.052,6.073,04.07.2016
6.200,6.081,6.001,6.200,05.07.2016
6.290,6.070,6.070,6.202,06.07.2016
6.400,6.200,6.200,6.400,07.07.2016
6.500,6.160,6.160,6.500,08.07.2016
6.650,6.320,6.311,6.501,11.07.2016
6.510,6.250,6.250,6.501,12.07.2016
6.500,6.480,6.343,6.500,13.07.2016
6.550,6.500,6.500,6.501,14.07.2016
6.650,6.500,6.500,6.650,15.07.2016
6.700,6.650,6.650,6.660,18.07.2016
6.750,6.750,6.550,6.660,19.07.2016
6.700,6.600,6.570,6.610,20.07.2016
6.625,6.520,6.520,6.625,21.07.2016
6.650,6.523,6.523,6.625,22.07.2016
6.750,6.750,6.570,6.581,25.07.2016
7.200,6.940,6.940,7.031,26.07.2016
7.450,7.110,7.110,7.450,27.07.2016
7.799,7.400,7.270,7.750,28.07.2016
7.790,7.650,7.599,7.700,29.07.2016
