najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,7.350,31.07.2015
-,-,-,7.350,03.08.2015
-,-,-,7.350,04.08.2015
-,-,-,7.350,05.08.2015
-,-,-,7.350,06.08.2015
-,-,-,7.350,07.08.2015
-,-,-,7.350,10.08.2015
-,-,-,7.350,11.08.2015
-,-,-,7.350,12.08.2015
-,-,-,7.350,13.08.2015
-,-,-,7.350,14.08.2015
-,-,-,7.350,17.08.2015
-,-,-,7.350,18.08.2015
-,-,-,7.350,19.08.2015
-,-,-,7.350,20.08.2015
-,-,-,7.350,21.08.2015
7.300,7.300,7.300,7.300,24.08.2015
7.160,7.160,7.160,7.160,25.08.2015
-,-,-,7.160,26.08.2015
-,-,-,7.160,27.08.2015
-,-,-,7.160,28.08.2015
-,-,-,7.160,31.08.2015
-,-,-,7.160,01.09.2015
-,-,-,7.160,02.09.2015
-,-,-,7.160,03.09.2015
-,-,-,7.160,04.09.2015
-,-,-,7.160,07.09.2015
-,-,-,7.160,08.09.2015
-,-,-,7.160,09.09.2015
7.000,7.000,7.000,7.000,10.09.2015
-,-,-,7.000,11.09.2015
-,-,-,7.000,14.09.2015
-,-,-,7.000,15.09.2015
-,-,-,7.000,16.09.2015
-,-,-,7.000,17.09.2015
-,-,-,7.000,18.09.2015
-,-,-,7.000,21.09.2015
-,-,-,7.000,22.09.2015
-,-,-,7.000,23.09.2015
-,-,-,7.000,24.09.2015
-,-,-,7.000,25.09.2015
-,-,-,7.000,28.09.2015
-,-,-,7.000,29.09.2015
-,-,-,7.000,30.09.2015
-,-,-,7.000,01.10.2015
-,-,-,7.000,02.10.2015
6.990,6.990,6.990,6.990,05.10.2015
-,-,-,6.990,06.10.2015
-,-,-,6.990,07.10.2015
-,-,-,6.990,08.10.2015
-,-,-,6.990,09.10.2015
-,-,-,6.990,12.10.2015
-,-,-,6.990,13.10.2015
-,-,-,6.990,14.10.2015
-,-,-,6.990,15.10.2015
-,-,-,6.990,16.10.2015
-,-,-,6.990,19.10.2015
-,-,-,6.990,20.10.2015
-,-,-,6.990,21.10.2015
-,-,-,6.990,22.10.2015
-,-,-,6.990,23.10.2015
-,-,-,6.990,26.10.2015
-,-,-,6.990,27.10.2015
-,-,-,6.990,28.10.2015
-,-,-,6.990,29.10.2015
-,-,-,6.990,30.10.2015
-,-,-,6.990,02.11.2015
-,-,-,6.990,03.11.2015
-,-,-,6.990,04.11.2015
-,-,-,6.990,05.11.2015
-,-,-,6.990,06.11.2015
-,-,-,6.990,09.11.2015
-,-,-,6.990,10.11.2015
-,-,-,6.990,11.11.2015
-,-,-,6.990,12.11.2015
-,-,-,6.990,13.11.2015
-,-,-,6.990,16.11.2015
-,-,-,6.990,17.11.2015
-,-,-,6.990,18.11.2015
-,-,-,6.990,19.11.2015
-,-,-,6.990,20.11.2015
-,-,-,6.990,23.11.2015
-,-,-,6.990,24.11.2015
-,-,-,6.990,25.11.2015
-,-,-,6.990,26.11.2015
-,-,-,6.990,27.11.2015
-,-,-,6.990,30.11.2015
-,-,-,6.990,01.12.2015
-,-,-,6.990,02.12.2015
-,-,-,6.990,03.12.2015
-,-,-,6.990,04.12.2015
-,-,-,6.990,07.12.2015
-,-,-,6.990,08.12.2015
-,-,-,6.990,09.12.2015
-,-,-,6.990,10.12.2015
-,-,-,6.990,11.12.2015
-,-,-,6.990,14.12.2015
-,-,-,6.990,15.12.2015
-,-,-,6.990,16.12.2015
-,-,-,6.990,17.12.2015
-,-,-,6.990,18.12.2015
-,-,-,6.990,21.12.2015
-,-,-,6.990,22.12.2015
-,-,-,6.990,23.12.2015
-,-,-,6.990,28.12.2015
-,-,-,6.990,29.12.2015
-,-,-,6.990,30.12.2015
-,-,-,6.990,04.01.2016
-,-,-,6.990,05.01.2016
-,-,-,6.990,06.01.2016
-,-,-,6.990,07.01.2016
-,-,-,6.990,08.01.2016
-,-,-,6.990,11.01.2016
-,-,-,6.990,12.01.2016
-,-,-,6.990,13.01.2016
-,-,-,6.990,14.01.2016
-,-,-,6.990,15.01.2016
-,-,-,6.990,18.01.2016
-,-,-,6.990,19.01.2016
-,-,-,6.990,20.01.2016
-,-,-,6.990,21.01.2016
-,-,-,6.990,22.01.2016
-,-,-,6.990,25.01.2016
-,-,-,6.990,26.01.2016
-,-,-,6.990,27.01.2016
-,-,-,6.990,28.01.2016
-,-,-,6.990,29.01.2016
-,-,-,6.990,01.02.2016
-,-,-,6.990,02.02.2016
-,-,-,6.990,03.02.2016
-,-,-,6.990,04.02.2016
-,-,-,6.990,05.02.2016
-,-,-,6.990,09.02.2016
-,-,-,6.990,10.02.2016
-,-,-,6.990,11.02.2016
-,-,-,6.990,12.02.2016
-,-,-,6.990,15.02.2016
-,-,-,6.990,16.02.2016
5.000,5.000,5.000,5.000,17.02.2016
-,-,-,5.000,18.02.2016
-,-,-,5.000,19.02.2016
-,-,-,5.000,22.02.2016
-,-,-,5.000,23.02.2016
-,-,-,5.000,24.02.2016
-,-,-,5.000,25.02.2016
-,-,-,5.000,26.02.2016
-,-,-,5.000,29.02.2016
-,-,-,5.000,01.03.2016
-,-,-,5.000,02.03.2016
-,-,-,5.000,03.03.2016
-,-,-,5.000,04.03.2016
-,-,-,5.000,07.03.2016
-,-,-,5.000,08.03.2016
-,-,-,5.000,09.03.2016
-,-,-,5.000,10.03.2016
-,-,-,5.000,11.03.2016
-,-,-,5.000,14.03.2016
-,-,-,5.000,15.03.2016
-,-,-,5.000,16.03.2016
-,-,-,5.000,17.03.2016
-,-,-,5.000,18.03.2016
5.000,5.000,5.000,5.000,21.03.2016
-,-,-,5.000,22.03.2016
-,-,-,5.000,23.03.2016
-,-,-,5.000,24.03.2016
-,-,-,5.000,29.03.2016
-,-,-,5.000,30.03.2016
-,-,-,5.000,31.03.2016
-,-,-,5.000,01.04.2016
-,-,-,5.000,04.04.2016
-,-,-,5.000,05.04.2016
-,-,-,5.000,06.04.2016
-,-,-,5.000,07.04.2016
-,-,-,5.000,08.04.2016
-,-,-,5.000,11.04.2016
-,-,-,5.000,12.04.2016
-,-,-,5.000,13.04.2016
-,-,-,5.000,14.04.2016
-,-,-,5.000,15.04.2016
-,-,-,5.000,18.04.2016
-,-,-,5.000,19.04.2016
-,-,-,5.000,20.04.2016
-,-,-,5.000,21.04.2016
-,-,-,5.000,22.04.2016
5.000,5.000,5.000,5.000,25.04.2016
-,-,-,5.000,26.04.2016
-,-,-,5.000,28.04.2016
-,-,-,5.000,29.04.2016
-,-,-,5.000,03.05.2016
-,-,-,5.000,04.05.2016
-,-,-,5.000,05.05.2016
-,-,-,5.000,06.05.2016
-,-,-,5.000,09.05.2016
-,-,-,5.000,10.05.2016
-,-,-,5.000,11.05.2016
-,-,-,5.000,12.05.2016
-,-,-,5.000,13.05.2016
-,-,-,5.000,16.05.2016
-,-,-,5.000,17.05.2016
-,-,-,5.000,18.05.2016
-,-,-,5.000,19.05.2016
-,-,-,5.000,20.05.2016
-,-,-,5.000,23.05.2016
-,-,-,5.000,24.05.2016
-,-,-,5.000,25.05.2016
-,-,-,5.000,26.05.2016
5.000,5.000,5.000,5.000,27.05.2016
-,-,-,5.000,30.05.2016
-,-,-,5.000,31.05.2016
-,-,-,5.000,01.06.2016
-,-,-,5.000,02.06.2016
-,-,-,5.000,03.06.2016
-,-,-,5.000,06.06.2016
-,-,-,5.000,07.06.2016
4.900,4.900,4.900,4.900,08.06.2016
-,-,-,4.900,09.06.2016
-,-,-,4.900,10.06.2016
-,-,-,4.900,13.06.2016
-,-,-,4.900,14.06.2016
-,-,-,4.900,15.06.2016
5.000,5.000,5.000,5.000,16.06.2016
-,-,-,5.000,17.06.2016
-,-,-,5.000,20.06.2016
-,-,-,5.000,21.06.2016
-,-,-,5.000,22.06.2016
-,-,-,5.000,23.06.2016
4.010,4.010,4.010,4.010,24.06.2016
4.000,4.000,4.000,4.000,27.06.2016
-,-,-,4.000,28.06.2016
-,-,-,4.000,29.06.2016
-,-,-,4.000,30.06.2016
-,-,-,4.000,01.07.2016
-,-,-,4.000,04.07.2016
4.999,4.999,4.999,4.999,05.07.2016
4.500,4.500,4.500,4.500,06.07.2016
4.500,4.500,4.500,4.500,07.07.2016
4.990,4.990,4.990,4.990,08.07.2016
5.000,5.000,5.000,5.000,11.07.2016
-,-,-,5.000,12.07.2016
5.000,5.000,5.000,5.000,13.07.2016
-,-,-,5.000,14.07.2016
-,-,-,5.000,15.07.2016
-,-,-,5.000,18.07.2016
5.000,5.000,5.000,5.000,19.07.2016
5.000,5.000,5.000,5.000,20.07.2016
5.000,5.000,5.000,5.000,21.07.2016
5.000,5.000,5.000,5.000,22.07.2016
-,-,-,5.000,25.07.2016
-,-,-,5.000,26.07.2016
-,-,-,5.000,27.07.2016
-,-,-,5.000,28.07.2016
-,-,-,5.000,29.07.2016
