najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,101.90,31.07.2015
102.50,102.50,102.50,102.50,03.08.2015
-,-,-,102.50,04.08.2015
-,-,-,102.50,05.08.2015
-,-,-,102.50,06.08.2015
-,-,-,102.50,07.08.2015
-,-,-,102.50,10.08.2015
-,-,-,102.50,11.08.2015
-,-,-,102.50,12.08.2015
-,-,-,102.50,13.08.2015
-,-,-,102.50,14.08.2015
-,-,-,102.50,17.08.2015
-,-,-,102.50,18.08.2015
-,-,-,102.50,19.08.2015
102.15,102.15,102.15,102.15,20.08.2015
-,-,-,102.15,21.08.2015
-,-,-,102.15,24.08.2015
-,-,-,102.15,25.08.2015
-,-,-,102.15,26.08.2015
-,-,-,102.15,27.08.2015
-,-,-,102.15,28.08.2015
102.50,102.50,102.50,102.50,31.08.2015
-,-,-,102.50,01.09.2015
-,-,-,102.50,02.09.2015
-,-,-,102.50,03.09.2015
-,-,-,102.50,04.09.2015
101.99,101.99,101.99,101.99,07.09.2015
-,-,-,101.99,08.09.2015
-,-,-,101.99,09.09.2015
-,-,-,101.99,10.09.2015
-,-,-,101.99,11.09.2015
-,-,-,101.99,14.09.2015
-,-,-,101.99,15.09.2015
-,-,-,101.99,16.09.2015
-,-,-,101.99,17.09.2015
-,-,-,101.99,18.09.2015
-,-,-,101.99,21.09.2015
101.99,101.99,101.99,101.99,22.09.2015
-,-,-,101.99,23.09.2015
101.99,101.99,101.99,101.99,24.09.2015
-,-,-,101.99,25.09.2015
101.85,101.85,101.85,101.85,28.09.2015
101.99,101.99,101.99,101.99,29.09.2015
-,-,-,101.99,30.09.2015
-,-,-,101.99,01.10.2015
-,-,-,101.99,02.10.2015
-,-,-,101.99,05.10.2015
-,-,-,101.99,06.10.2015
101.62,101.62,101.62,101.62,07.10.2015
-,-,-,101.62,08.10.2015
-,-,-,101.62,09.10.2015
101.75,101.75,101.75,101.75,12.10.2015
-,-,-,101.75,13.10.2015
101.75,101.75,101.75,101.75,14.10.2015
-,-,-,101.75,15.10.2015
-,-,-,101.75,16.10.2015
-,-,-,101.75,19.10.2015
-,-,-,101.75,20.10.2015
-,-,-,101.75,21.10.2015
