najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
1.000,1.000,1.000,1.000,31.07.2015
1.000,1.000,0.851,0.852,03.08.2015
-,-,-,0.852,04.08.2015
-,-,-,0.852,05.08.2015
0.990,0.990,0.990,0.990,06.08.2015
-,-,-,0.990,07.08.2015
-,-,-,0.990,10.08.2015
0.970,0.890,0.860,0.870,11.08.2015
0.900,0.900,0.900,0.900,12.08.2015
0.934,0.920,0.920,0.934,13.08.2015
-,-,-,0.934,14.08.2015
0.929,0.929,0.929,0.929,17.08.2015
0.900,0.900,0.900,0.900,18.08.2015
0.880,0.880,0.880,0.880,19.08.2015
0.929,0.880,0.880,0.880,20.08.2015
0.870,0.860,0.855,0.855,21.08.2015
0.820,0.820,0.820,0.820,24.08.2015
0.870,0.870,0.870,0.870,25.08.2015
0.801,0.801,0.801,0.801,26.08.2015
0.800,0.750,0.750,0.800,27.08.2015
-,-,-,0.800,28.08.2015
0.800,0.800,0.800,0.800,31.08.2015
0.800,0.760,0.760,0.800,01.09.2015
0.750,0.750,0.750,0.750,02.09.2015
0.800,0.800,0.800,0.800,03.09.2015
0.779,0.779,0.779,0.779,04.09.2015
0.850,0.850,0.850,0.850,07.09.2015
0.850,0.850,0.731,0.731,08.09.2015
-,-,-,0.731,09.09.2015
0.730,0.730,0.720,0.720,10.09.2015
0.750,0.713,0.713,0.750,11.09.2015
0.730,0.730,0.730,0.730,14.09.2015
0.750,0.750,0.685,0.691,15.09.2015
0.600,0.600,0.600,0.600,16.09.2015
-,-,-,0.600,17.09.2015
0.620,0.620,0.620,0.620,18.09.2015
-,-,-,0.620,21.09.2015
-,-,-,0.620,22.09.2015
-,-,-,0.620,23.09.2015
0.596,0.596,0.596,0.596,24.09.2015
-,-,-,0.596,25.09.2015
-,-,-,0.596,28.09.2015
-,-,-,0.596,29.09.2015
-,-,-,0.596,30.09.2015
-,-,-,0.596,01.10.2015
0.701,0.701,0.701,0.701,02.10.2015
0.705,0.700,0.700,0.705,05.10.2015
0.700,0.700,0.700,0.700,06.10.2015
0.700,0.700,0.700,0.700,07.10.2015
0.727,0.727,0.727,0.727,08.10.2015
-,-,-,0.727,09.10.2015
0.700,0.700,0.700,0.700,12.10.2015
-,-,-,0.700,13.10.2015
-,-,-,0.700,14.10.2015
-,-,-,0.700,15.10.2015
0.750,0.750,0.621,0.621,16.10.2015
0.621,0.621,0.621,0.621,19.10.2015
0.650,0.630,0.630,0.650,20.10.2015
-,-,-,0.650,21.10.2015
0.700,0.700,0.602,0.602,22.10.2015
0.750,0.650,0.650,0.750,23.10.2015
-,-,-,0.750,26.10.2015
0.650,0.650,0.650,0.650,27.10.2015
0.622,0.622,0.622,0.622,28.10.2015
-,-,-,0.622,29.10.2015
0.660,0.660,0.601,0.602,30.10.2015
-,-,-,0.602,02.11.2015
0.601,0.601,0.601,0.601,03.11.2015
-,-,-,0.601,04.11.2015
0.630,0.630,0.630,0.630,05.11.2015
-,-,-,0.630,06.11.2015
-,-,-,0.630,09.11.2015
0.645,0.641,0.640,0.645,10.11.2015
0.645,0.645,0.640,0.640,11.11.2015
0.620,0.620,0.600,0.600,12.11.2015
0.610,0.600,0.600,0.600,13.11.2015
