najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
101.01,101.01,101.01,101.01,18.12.2015
-,-,-,101.01,21.12.2015
-,-,-,101.01,22.12.2015
-,-,-,101.01,23.12.2015
-,-,-,101.01,28.12.2015
-,-,-,101.01,29.12.2015
-,-,-,101.01,30.12.2015
-,-,-,101.01,04.01.2016
-,-,-,101.01,05.01.2016
-,-,-,101.01,06.01.2016
-,-,-,101.01,07.01.2016
-,-,-,101.01,08.01.2016
-,-,-,101.01,11.01.2016
-,-,-,101.01,12.01.2016
-,-,-,101.01,13.01.2016
-,-,-,101.01,14.01.2016
-,-,-,101.01,15.01.2016
-,-,-,101.01,18.01.2016
-,-,-,101.01,19.01.2016
-,-,-,101.01,20.01.2016
-,-,-,101.01,21.01.2016
-,-,-,101.01,22.01.2016
-,-,-,101.01,25.01.2016
-,-,-,101.01,26.01.2016
-,-,-,101.01,27.01.2016
-,-,-,101.01,28.01.2016
-,-,-,101.01,29.01.2016
-,-,-,101.01,01.02.2016
-,-,-,101.01,02.02.2016
-,-,-,101.01,03.02.2016
-,-,-,101.01,04.02.2016
-,-,-,101.01,05.02.2016
-,-,-,101.01,09.02.2016
-,-,-,101.01,10.02.2016
-,-,-,101.01,11.02.2016
-,-,-,101.01,12.02.2016
-,-,-,101.01,15.02.2016
-,-,-,101.01,16.02.2016
-,-,-,101.01,17.02.2016
-,-,-,101.01,18.02.2016
-,-,-,101.01,19.02.2016
-,-,-,101.01,22.02.2016
-,-,-,101.01,23.02.2016
-,-,-,101.01,24.02.2016
-,-,-,101.01,25.02.2016
-,-,-,101.01,26.02.2016
-,-,-,101.01,29.02.2016
-,-,-,101.01,01.03.2016
-,-,-,101.01,02.03.2016
-,-,-,101.01,03.03.2016
-,-,-,101.01,04.03.2016
-,-,-,101.01,07.03.2016
-,-,-,101.01,08.03.2016
-,-,-,101.01,09.03.2016
-,-,-,101.01,10.03.2016
-,-,-,101.01,11.03.2016
-,-,-,101.01,14.03.2016
-,-,-,101.01,15.03.2016
-,-,-,101.01,16.03.2016
-,-,-,101.01,17.03.2016
-,-,-,101.01,18.03.2016
-,-,-,101.01,21.03.2016
-,-,-,101.01,22.03.2016
-,-,-,101.01,23.03.2016
-,-,-,101.01,24.03.2016
103.00,103.00,103.00,103.00,29.03.2016
-,-,-,103.00,30.03.2016
-,-,-,103.00,31.03.2016
-,-,-,103.00,01.04.2016
-,-,-,103.00,04.04.2016
-,-,-,103.00,05.04.2016
-,-,-,103.00,06.04.2016
-,-,-,103.00,07.04.2016
-,-,-,103.00,08.04.2016
-,-,-,103.00,11.04.2016
-,-,-,103.00,12.04.2016
-,-,-,103.00,13.04.2016
-,-,-,103.00,14.04.2016
-,-,-,103.00,15.04.2016
-,-,-,103.00,18.04.2016
-,-,-,103.00,19.04.2016
-,-,-,103.00,20.04.2016
-,-,-,103.00,21.04.2016
-,-,-,103.00,22.04.2016
-,-,-,103.00,25.04.2016
-,-,-,103.00,26.04.2016
-,-,-,103.00,28.04.2016
-,-,-,103.00,29.04.2016
-,-,-,103.00,03.05.2016
-,-,-,103.00,04.05.2016
-,-,-,103.00,05.05.2016
-,-,-,103.00,06.05.2016
-,-,-,103.00,09.05.2016
-,-,-,103.00,10.05.2016
-,-,-,103.00,11.05.2016
-,-,-,103.00,12.05.2016
-,-,-,103.00,13.05.2016
-,-,-,103.00,16.05.2016
-,-,-,103.00,17.05.2016
-,-,-,103.00,18.05.2016
-,-,-,103.00,19.05.2016
-,-,-,103.00,20.05.2016
-,-,-,103.00,23.05.2016
-,-,-,103.00,24.05.2016
-,-,-,103.00,25.05.2016
-,-,-,103.00,26.05.2016
-,-,-,103.00,27.05.2016
-,-,-,103.00,30.05.2016
-,-,-,103.00,31.05.2016
-,-,-,103.00,01.06.2016
-,-,-,103.00,02.06.2016
-,-,-,103.00,03.06.2016
-,-,-,103.00,06.06.2016
-,-,-,103.00,07.06.2016
-,-,-,103.00,08.06.2016
-,-,-,103.00,09.06.2016
-,-,-,103.00,10.06.2016
-,-,-,103.00,13.06.2016
-,-,-,103.00,14.06.2016
-,-,-,103.00,15.06.2016
-,-,-,103.00,16.06.2016
-,-,-,103.00,17.06.2016
-,-,-,103.00,20.06.2016
-,-,-,103.00,21.06.2016
-,-,-,103.00,22.06.2016
-,-,-,103.00,23.06.2016
-,-,-,103.00,24.06.2016
-,-,-,103.00,27.06.2016
-,-,-,103.00,28.06.2016
-,-,-,103.00,29.06.2016
-,-,-,103.00,30.06.2016
-,-,-,103.00,01.07.2016
-,-,-,103.00,04.07.2016
-,-,-,103.00,05.07.2016
-,-,-,103.00,06.07.2016
-,-,-,103.00,07.07.2016
-,-,-,103.00,08.07.2016
-,-,-,103.00,11.07.2016
-,-,-,103.00,12.07.2016
-,-,-,103.00,13.07.2016
-,-,-,103.00,14.07.2016
-,-,-,103.00,15.07.2016
-,-,-,103.00,18.07.2016
-,-,-,103.00,19.07.2016
-,-,-,103.00,20.07.2016
-,-,-,103.00,21.07.2016
-,-,-,103.00,22.07.2016
-,-,-,103.00,25.07.2016
-,-,-,103.00,26.07.2016
-,-,-,103.00,27.07.2016
-,-,-,103.00,28.07.2016
-,-,-,103.00,29.07.2016
