najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.202,31.07.2015
0.200,0.200,0.200,0.200,03.08.2015
0.200,0.200,0.200,0.200,04.08.2015
0.100,0.100,0.100,0.100,05.08.2015
0.560,0.560,0.560,0.560,06.08.2015
-,-,-,0.560,07.08.2015
-,-,-,0.560,10.08.2015
0.600,0.600,0.600,0.600,11.08.2015
-,-,-,0.600,12.08.2015
-,-,-,0.600,13.08.2015
-,-,-,0.600,14.08.2015
-,-,-,0.600,17.08.2015
-,-,-,0.600,18.08.2015
-,-,-,0.600,19.08.2015
0.130,0.130,0.130,0.130,20.08.2015
-,-,-,0.130,21.08.2015
-,-,-,0.130,24.08.2015
-,-,-,0.130,25.08.2015
-,-,-,0.130,26.08.2015
0.131,0.131,0.131,0.131,27.08.2015
-,-,-,0.131,28.08.2015
-,-,-,0.131,31.08.2015
-,-,-,0.131,01.09.2015
-,-,-,0.131,02.09.2015
0.131,0.131,0.131,0.131,03.09.2015
-,-,-,0.131,04.09.2015
0.400,0.400,0.400,0.400,07.09.2015
0.400,0.400,0.400,0.400,08.09.2015
0.400,0.400,0.400,0.400,09.09.2015
0.400,0.400,0.400,0.400,10.09.2015
0.400,0.400,0.400,0.400,11.09.2015
0.370,0.370,0.370,0.370,14.09.2015
-,-,-,0.370,15.09.2015
0.131,0.131,0.131,0.131,16.09.2015
0.131,0.131,0.131,0.131,17.09.2015
-,-,-,0.131,18.09.2015
0.131,0.131,0.131,0.131,21.09.2015
-,-,-,0.131,22.09.2015
-,-,-,0.131,23.09.2015
-,-,-,0.131,24.09.2015
0.131,0.131,0.131,0.131,25.09.2015
0.131,0.131,0.131,0.131,28.09.2015
0.100,0.100,0.100,0.100,29.09.2015
-,-,-,0.100,30.09.2015
0.100,0.100,0.100,0.100,01.10.2015
-,-,-,0.100,02.10.2015
-,-,-,0.100,05.10.2015
-,-,-,0.100,06.10.2015
-,-,-,0.100,07.10.2015
0.110,0.110,0.110,0.110,08.10.2015
0.110,0.110,0.110,0.110,09.10.2015
-,-,-,0.110,12.10.2015
-,-,-,0.110,13.10.2015
0.120,0.120,0.120,0.120,14.10.2015
0.110,0.110,0.110,0.110,15.10.2015
-,-,-,0.110,16.10.2015
