najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,68.50,31.07.2015
-,-,-,68.50,03.08.2015
-,-,-,68.50,04.08.2015
70.25,70.25,70.25,70.25,05.08.2015
-,-,-,70.25,06.08.2015
-,-,-,70.25,07.08.2015
-,-,-,70.25,10.08.2015
70.00,70.00,70.00,70.00,11.08.2015
70.01,70.01,70.01,70.01,12.08.2015
-,-,-,70.01,13.08.2015
-,-,-,70.01,14.08.2015
-,-,-,70.01,17.08.2015
70.00,70.00,70.00,70.00,18.08.2015
70.00,70.00,70.00,70.00,19.08.2015
-,-,-,70.00,20.08.2015
70.10,70.10,70.10,70.10,21.08.2015
-,-,-,70.10,24.08.2015
70.00,70.00,70.00,70.00,25.08.2015
-,-,-,70.00,26.08.2015
-,-,-,70.00,27.08.2015
-,-,-,70.00,28.08.2015
-,-,-,70.00,31.08.2015
-,-,-,70.00,01.09.2015
-,-,-,70.00,02.09.2015
-,-,-,70.00,03.09.2015
-,-,-,70.00,04.09.2015
-,-,-,70.00,07.09.2015
-,-,-,70.00,08.09.2015
70.00,70.00,70.00,70.00,09.09.2015
-,-,-,70.00,10.09.2015
-,-,-,70.00,11.09.2015
-,-,-,70.00,14.09.2015
-,-,-,70.00,15.09.2015
70.50,70.50,70.50,70.50,16.09.2015
70.51,70.51,70.51,70.51,17.09.2015
-,-,-,70.51,18.09.2015
70.00,70.00,70.00,70.00,21.09.2015
80.55,80.55,80.55,80.55,22.09.2015
-,-,-,80.55,23.09.2015
-,-,-,80.55,24.09.2015
80.55,80.55,80.55,80.55,25.09.2015
-,-,-,80.55,28.09.2015
-,-,-,80.55,29.09.2015
80.00,80.00,80.00,80.00,30.09.2015
80.60,80.60,80.60,80.60,01.10.2015
-,-,-,80.60,02.10.2015
-,-,-,80.60,05.10.2015
-,-,-,80.60,06.10.2015
-,-,-,80.60,07.10.2015
80.00,80.00,80.00,80.00,08.10.2015
-,-,-,80.00,09.10.2015
-,-,-,80.00,12.10.2015
-,-,-,80.00,13.10.2015
-,-,-,80.00,14.10.2015
-,-,-,80.00,15.10.2015
80.00,80.00,80.00,80.00,16.10.2015
-,-,-,80.00,19.10.2015
-,-,-,80.00,20.10.2015
76.02,76.02,76.02,76.02,21.10.2015
-,-,-,76.02,22.10.2015
99.90,99.90,99.90,99.90,23.10.2015
-,-,-,99.90,26.10.2015
-,-,-,99.90,27.10.2015
-,-,-,99.90,28.10.2015
90.00,90.00,90.00,90.00,29.10.2015
-,-,-,90.00,30.10.2015
-,-,-,90.00,02.11.2015
