najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,8.900,31.07.2015
-,-,-,8.900,03.08.2015
-,-,-,8.900,04.08.2015
9.000,9.000,9.000,9.000,05.08.2015
-,-,-,9.000,06.08.2015
9.010,9.010,9.010,9.010,07.08.2015
8.700,8.700,8.700,8.700,10.08.2015
-,-,-,8.700,11.08.2015
-,-,-,8.700,12.08.2015
8.650,8.650,8.650,8.650,13.08.2015
8.700,8.700,8.700,8.700,14.08.2015
-,-,-,8.700,17.08.2015
9.010,9.010,9.010,9.010,18.08.2015
-,-,-,9.010,19.08.2015
-,-,-,9.010,20.08.2015
-,-,-,9.010,21.08.2015
-,-,-,9.010,24.08.2015
-,-,-,9.010,25.08.2015
-,-,-,9.010,26.08.2015
-,-,-,9.010,27.08.2015
-,-,-,9.010,28.08.2015
8.700,8.700,8.700,8.700,31.08.2015
-,-,-,8.700,01.09.2015
-,-,-,8.700,02.09.2015
-,-,-,8.700,03.09.2015
-,-,-,8.700,04.09.2015
-,-,-,8.700,07.09.2015
-,-,-,8.700,08.09.2015
-,-,-,8.700,09.09.2015
-,-,-,8.700,10.09.2015
-,-,-,8.700,11.09.2015
8.360,8.360,8.360,8.360,14.09.2015
8.000,8.000,8.000,8.000,15.09.2015
7.500,7.500,7.500,7.500,16.09.2015
7.200,7.200,7.200,7.200,17.09.2015
-,-,-,7.200,18.09.2015
7.000,7.000,7.000,7.000,21.09.2015
7.000,7.000,7.000,7.000,22.09.2015
-,-,-,7.000,23.09.2015
-,-,-,7.000,24.09.2015
7.010,7.010,7.010,7.010,25.09.2015
-,-,-,7.010,28.09.2015
7.110,7.110,7.110,7.110,29.09.2015
-,-,-,7.110,30.09.2015
7.130,7.130,7.130,7.130,01.10.2015
-,-,-,7.130,02.10.2015
-,-,-,7.130,05.10.2015
7.150,7.150,7.150,7.150,06.10.2015
-,-,-,7.150,07.10.2015
7.200,7.200,7.200,7.200,08.10.2015
-,-,-,7.200,09.10.2015
-,-,-,7.200,12.10.2015
-,-,-,7.200,13.10.2015
-,-,-,7.200,14.10.2015
-,-,-,7.200,15.10.2015
7.000,7.000,7.000,7.000,16.10.2015
7.000,7.000,7.000,7.000,19.10.2015
6.730,6.730,6.730,6.730,20.10.2015
6.900,6.900,6.900,6.900,21.10.2015
6.650,6.650,6.650,6.650,22.10.2015
6.610,6.610,6.610,6.610,23.10.2015
-,-,-,6.610,26.10.2015
6.500,6.500,6.500,6.500,27.10.2015
6.510,6.510,6.510,6.510,28.10.2015
6.300,6.300,6.300,6.300,29.10.2015
-,-,-,6.300,30.10.2015
6.050,6.050,6.050,6.050,02.11.2015
6.050,6.050,6.050,6.050,03.11.2015
-,-,-,6.050,04.11.2015
-,-,-,6.050,05.11.2015
5.850,5.850,5.850,5.850,06.11.2015
5.650,5.650,5.650,5.650,09.11.2015
6.030,6.030,6.030,6.030,10.11.2015
6.040,6.040,6.040,6.040,11.11.2015
-,-,-,6.040,12.11.2015
6.050,6.050,6.050,6.050,13.11.2015
6.100,6.100,6.100,6.100,16.11.2015
6.800,6.800,6.800,6.800,17.11.2015
6.600,6.600,6.600,6.600,18.11.2015
6.510,6.510,6.510,6.510,19.11.2015
-,-,-,6.510,20.11.2015
6.320,6.320,6.320,6.320,23.11.2015
6.420,6.420,6.420,6.420,24.11.2015
