najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
65.75,65.50,65.45,65.75,31.07.2015
65.50,65.00,64.62,64.62,03.08.2015
64.12,64.01,64.01,64.03,04.08.2015
64.40,64.03,64.01,64.01,05.08.2015
64.10,64.10,64.00,64.09,06.08.2015
64.05,64.05,63.76,63.91,07.08.2015
64.44,64.00,64.00,64.20,10.08.2015
64.99,64.20,64.10,64.99,11.08.2015
64.90,64.60,64.45,64.84,12.08.2015
65.50,64.70,64.60,65.50,13.08.2015
65.50,64.71,64.71,65.11,14.08.2015
65.50,65.00,65.00,65.50,17.08.2015
65.50,65.01,65.00,65.35,18.08.2015
65.01,65.00,64.50,64.85,19.08.2015
65.20,64.50,64.50,65.20,20.08.2015
65.00,64.99,64.45,64.74,21.08.2015
62.00,61.00,61.00,61.30,24.08.2015
61.02,61.01,60.25,60.30,25.08.2015
60.50,60.00,59.90,60.00,26.08.2015
61.95,61.93,61.50,61.80,27.08.2015
62.50,62.00,61.82,62.30,28.08.2015
62.30,61.80,60.55,60.55,31.08.2015
61.00,60.60,60.60,60.61,01.09.2015
61.60,60.66,60.66,61.00,02.09.2015
61.00,60.54,60.54,60.99,03.09.2015
61.00,61.00,60.69,60.97,04.09.2015
61.49,60.50,60.50,61.00,07.09.2015
61.10,60.21,60.21,61.10,08.09.2015
61.40,61.00,60.50,60.50,09.09.2015
61.01,60.50,60.50,61.00,10.09.2015
61.00,61.00,60.60,60.60,11.09.2015
61.55,61.00,61.00,61.45,14.09.2015
61.45,61.00,60.50,60.90,15.09.2015
60.90,60.90,60.50,60.50,16.09.2015
60.99,60.70,60.50,60.50,17.09.2015
61.50,60.20,60.20,61.05,18.09.2015
61.05,61.00,60.85,61.00,21.09.2015
60.90,60.20,60.20,60.50,22.09.2015
60.70,60.50,60.50,60.60,23.09.2015
60.75,60.50,60.50,60.50,24.09.2015
60.70,60.50,60.50,60.50,25.09.2015
60.90,60.50,60.50,60.71,28.09.2015
60.70,60.55,60.50,60.65,29.09.2015
61.00,60.30,60.30,60.50,30.09.2015
61.10,60.50,60.50,60.55,01.10.2015
61.00,60.36,60.36,60.56,02.10.2015
60.70,60.60,60.50,60.50,05.10.2015
60.94,60.50,60.50,60.70,06.10.2015
60.70,60.60,60.50,60.50,07.10.2015
61.00,60.51,60.50,60.61,08.10.2015
60.80,60.60,60.60,60.80,09.10.2015
