najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.270,31.07.2015
-,-,-,0.270,03.08.2015
-,-,-,0.270,04.08.2015
-,-,-,0.270,05.08.2015
-,-,-,0.270,06.08.2015
0.270,0.270,0.270,0.270,07.08.2015
-,-,-,0.270,10.08.2015
-,-,-,0.270,11.08.2015
-,-,-,0.270,12.08.2015
0.262,0.262,0.262,0.262,13.08.2015
-,-,-,0.262,14.08.2015
-,-,-,0.262,17.08.2015
-,-,-,0.262,18.08.2015
-,-,-,0.262,19.08.2015
0.265,0.265,0.265,0.265,20.08.2015
-,-,-,0.265,21.08.2015
-,-,-,0.265,24.08.2015
-,-,-,0.265,25.08.2015
-,-,-,0.265,26.08.2015
0.260,0.260,0.260,0.260,27.08.2015
-,-,-,0.260,28.08.2015
-,-,-,0.260,31.08.2015
0.260,0.260,0.260,0.260,01.09.2015
-,-,-,0.260,02.09.2015
-,-,-,0.260,03.09.2015
-,-,-,0.260,04.09.2015
-,-,-,0.260,07.09.2015
0.260,0.260,0.260,0.260,08.09.2015
-,-,-,0.260,09.09.2015
-,-,-,0.260,10.09.2015
-,-,-,0.260,11.09.2015
-,-,-,0.260,14.09.2015
-,-,-,0.260,15.09.2015
0.260,0.260,0.260,0.260,16.09.2015
-,-,-,0.260,17.09.2015
-,-,-,0.260,18.09.2015
-,-,-,0.260,21.09.2015
-,-,-,0.260,22.09.2015
-,-,-,0.260,23.09.2015
0.260,0.260,0.260,0.260,24.09.2015
0.261,0.261,0.261,0.261,25.09.2015
-,-,-,0.261,28.09.2015
0.265,0.265,0.265,0.265,29.09.2015
-,-,-,0.265,30.09.2015
-,-,-,0.265,01.10.2015
-,-,-,0.265,02.10.2015
-,-,-,0.265,05.10.2015
-,-,-,0.265,06.10.2015
-,-,-,0.265,07.10.2015
-,-,-,0.265,08.10.2015
0.255,0.255,0.255,0.255,09.10.2015
0.250,0.250,0.250,0.250,12.10.2015
0.245,0.245,0.245,0.245,13.10.2015
-,-,-,0.245,14.10.2015
-,-,-,0.245,15.10.2015
-,-,-,0.245,16.10.2015
-,-,-,0.245,19.10.2015
0.246,0.246,0.246,0.246,20.10.2015
-,-,-,0.246,21.10.2015
-,-,-,0.246,22.10.2015
0.240,0.240,0.240,0.240,23.10.2015
0.231,0.231,0.231,0.231,26.10.2015
-,-,-,0.231,27.10.2015
-,-,-,0.231,28.10.2015
0.230,0.230,0.230,0.230,29.10.2015
-,-,-,0.230,30.10.2015
-,-,-,0.230,02.11.2015
-,-,-,0.230,03.11.2015
