najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
26.000,26.000,26.000,26.000,31.07.2015
26.000,25.800,24.970,25.990,03.08.2015
25.950,25.550,25.120,25.500,04.08.2015
26.000,25.210,25.210,26.000,05.08.2015
26.200,26.000,26.000,26.100,06.08.2015
26.300,26.100,26.100,26.100,07.08.2015
26.100,26.100,25.600,26.050,10.08.2015
26.600,26.290,26.200,26.595,11.08.2015
26.650,26.650,26.650,26.650,12.08.2015
26.550,26.200,26.200,26.550,13.08.2015
26.800,26.310,26.310,26.500,14.08.2015
26.800,26.700,26.700,26.700,17.08.2015
26.610,26.600,26.500,26.500,18.08.2015
26.500,26.400,26.320,26.450,19.08.2015
26.900,26.900,26.200,26.200,20.08.2015
26.250,26.250,26.000,26.100,21.08.2015
25.700,25.700,24.100,24.510,24.08.2015
24.900,24.500,24.200,24.450,25.08.2015
24.500,24.500,24.010,24.500,26.08.2015
25.200,24.015,24.015,25.200,27.08.2015
25.495,25.200,25.110,25.450,28.08.2015
25.450,25.450,25.000,25.000,31.08.2015
25.100,25.000,24.560,25.000,01.09.2015
25.000,24.800,24.500,24.900,02.09.2015
24.520,24.500,24.500,24.500,03.09.2015
24.450,23.810,23.810,24.450,04.09.2015
24.695,24.450,24.050,24.695,07.09.2015
24.500,24.500,24.500,24.500,08.09.2015
24.600,24.500,24.260,24.600,09.09.2015
24.600,24.250,24.250,24.600,10.09.2015
24.600,24.260,24.260,24.500,11.09.2015
24.990,24.990,24.500,24.500,14.09.2015
24.350,24.260,23.750,23.750,15.09.2015
24.625,24.300,23.250,23.250,16.09.2015
23.750,23.750,23.200,23.300,17.09.2015
23.400,23.200,22.510,23.000,18.09.2015
22.990,22.500,22.500,22.530,21.09.2015
23.000,22.500,22.500,23.000,22.09.2015
23.200,22.730,22.730,23.200,23.09.2015
23.300,23.300,23.300,23.300,24.09.2015
23.895,23.300,23.300,23.895,25.09.2015
23.500,23.500,23.210,23.210,28.09.2015
23.600,23.290,22.800,23.600,29.09.2015
23.650,23.600,23.300,23.300,30.09.2015
-,-,-,23.300,01.10.2015
23.500,23.200,22.910,23.100,02.10.2015
23.500,23.350,22.910,23.500,05.10.2015
23.500,23.000,23.000,23.050,06.10.2015
23.005,23.000,22.530,22.530,07.10.2015
22.890,22.600,22.510,22.775,08.10.2015
23.000,22.515,22.515,23.000,09.10.2015
23.000,23.000,22.700,22.900,12.10.2015
22.700,22.510,22.165,22.650,13.10.2015
22.610,22.300,22.300,22.610,14.10.2015
23.100,22.600,22.600,23.050,15.10.2015
23.200,23.050,22.500,22.990,16.10.2015
22.950,22.600,22.300,22.950,19.10.2015
22.950,22.850,22.805,22.805,20.10.2015
22.810,22.810,22.810,22.810,21.10.2015
23.000,23.000,22.990,23.000,22.10.2015
23.000,23.000,22.850,23.000,23.10.2015
23.000,23.000,23.000,23.000,26.10.2015
23.000,23.000,22.950,23.000,27.10.2015
23.000,23.000,22.990,22.990,28.10.2015
22.990,22.720,22.720,22.990,29.10.2015
22.990,22.900,22.900,22.990,30.10.2015
22.990,22.570,22.570,22.990,02.11.2015
23.000,22.560,22.560,23.000,03.11.2015
23.000,22.910,22.750,23.000,04.11.2015
23.000,23.000,22.750,23.000,05.11.2015
23.000,22.905,22.900,23.000,06.11.2015
22.900,22.900,22.900,22.900,09.11.2015
23.000,22.900,22.750,22.750,10.11.2015
22.995,22.500,22.500,22.800,11.11.2015
22.750,22.520,22.520,22.700,12.11.2015
22.720,22.700,22.700,22.720,13.11.2015
22.500,22.500,22.100,22.100,16.11.2015
22.500,22.150,22.150,22.495,17.11.2015
22.940,22.420,22.310,22.400,18.11.2015
22.400,22.255,22.200,22.250,19.11.2015
22.695,22.400,22.300,22.500,20.11.2015
22.550,22.550,22.500,22.510,23.11.2015
22.600,22.510,22.500,22.500,24.11.2015
22.700,22.300,22.300,22.550,25.11.2015
23.490,22.510,22.510,23.000,26.11.2015
23.100,23.000,23.000,23.000,27.11.2015
23.000,22.800,22.800,22.800,30.11.2015
23.000,22.900,22.370,22.800,01.12.2015
23.250,22.800,22.800,23.250,02.12.2015
24.000,23.000,22.900,23.500,03.12.2015
23.500,23.500,23.000,23.100,04.12.2015
23.100,23.005,23.000,23.040,07.12.2015
23.500,23.490,23.130,23.140,08.12.2015
23.600,23.005,23.005,23.300,09.12.2015
23.395,23.350,23.050,23.250,10.12.2015
23.700,23.005,23.005,23.160,11.12.2015
23.495,23.300,23.200,23.200,14.12.2015
23.000,23.000,22.800,23.000,15.12.2015
23.100,23.000,22.950,23.100,16.12.2015
23.200,23.000,23.000,23.200,17.12.2015
23.350,23.300,23.155,23.300,18.12.2015
24.000,24.000,23.000,23.150,21.12.2015
23.150,23.150,23.060,23.060,22.12.2015
23.100,23.050,22.910,23.000,23.12.2015
23.000,23.000,22.750,22.800,28.12.2015
23.000,22.500,22.460,22.510,29.12.2015
23.000,22.515,22.515,23.000,30.12.2015
23.000,23.000,22.510,22.795,04.01.2016
