najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,4.500,31.07.2015
-,-,-,4.500,03.08.2015
-,-,-,4.500,04.08.2015
-,-,-,4.500,05.08.2015
-,-,-,4.500,06.08.2015
-,-,-,4.500,07.08.2015
-,-,-,4.500,10.08.2015
-,-,-,4.500,11.08.2015
-,-,-,4.500,12.08.2015
-,-,-,4.500,13.08.2015
-,-,-,4.500,14.08.2015
-,-,-,4.500,17.08.2015
-,-,-,4.500,18.08.2015
-,-,-,4.500,19.08.2015
-,-,-,4.500,20.08.2015
-,-,-,4.500,21.08.2015
-,-,-,4.500,24.08.2015
-,-,-,4.500,25.08.2015
-,-,-,4.500,26.08.2015
-,-,-,4.500,27.08.2015
-,-,-,4.500,28.08.2015
-,-,-,4.500,31.08.2015
-,-,-,4.500,01.09.2015
-,-,-,4.500,02.09.2015
-,-,-,4.500,03.09.2015
-,-,-,4.500,04.09.2015
-,-,-,4.500,07.09.2015
-,-,-,4.500,08.09.2015
-,-,-,4.500,09.09.2015
-,-,-,4.500,10.09.2015
-,-,-,4.500,11.09.2015
-,-,-,4.500,14.09.2015
-,-,-,4.500,15.09.2015
4.500,4.500,4.500,4.500,16.09.2015
-,-,-,4.500,17.09.2015
-,-,-,4.500,18.09.2015
-,-,-,4.500,21.09.2015
-,-,-,4.500,22.09.2015
-,-,-,4.500,23.09.2015
-,-,-,4.500,24.09.2015
-,-,-,4.500,25.09.2015
-,-,-,4.500,28.09.2015
4.520,4.520,4.520,4.520,29.09.2015
-,-,-,4.520,30.09.2015
-,-,-,4.520,01.10.2015
4.590,4.590,4.590,4.590,02.10.2015
-,-,-,4.590,05.10.2015
-,-,-,4.590,06.10.2015
-,-,-,4.590,07.10.2015
-,-,-,4.590,08.10.2015
-,-,-,4.590,09.10.2015
-,-,-,4.590,12.10.2015
-,-,-,4.590,13.10.2015
-,-,-,4.590,14.10.2015
-,-,-,4.590,15.10.2015
-,-,-,4.590,16.10.2015
4.590,4.590,4.590,4.590,19.10.2015
-,-,-,4.590,20.10.2015
-,-,-,4.590,21.10.2015
-,-,-,4.590,22.10.2015
4.590,4.590,4.590,4.590,23.10.2015
4.590,4.590,4.590,4.590,26.10.2015
-,-,-,4.590,27.10.2015
-,-,-,4.590,28.10.2015
-,-,-,4.590,29.10.2015
-,-,-,4.590,30.10.2015
-,-,-,4.590,02.11.2015
4.590,4.590,4.590,4.590,03.11.2015
4.590,4.590,4.590,4.590,04.11.2015
-,-,-,4.590,05.11.2015
-,-,-,4.590,06.11.2015
4.580,4.580,4.580,4.580,09.11.2015
-,-,-,4.580,10.11.2015
-,-,-,4.580,11.11.2015
-,-,-,4.580,12.11.2015
-,-,-,4.580,13.11.2015
-,-,-,4.580,16.11.2015
-,-,-,4.580,17.11.2015
4.300,4.300,4.300,4.300,18.11.2015
-,-,-,4.300,19.11.2015
-,-,-,4.300,20.11.2015
-,-,-,4.300,23.11.2015
-,-,-,4.300,24.11.2015
-,-,-,4.300,25.11.2015
-,-,-,4.300,26.11.2015
4.580,4.580,4.580,4.580,27.11.2015
-,-,-,4.580,30.11.2015
-,-,-,4.580,01.12.2015
