najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,82.30,31.07.2015
82.00,82.00,82.00,82.00,03.08.2015
-,-,-,82.00,04.08.2015
-,-,-,82.00,05.08.2015
-,-,-,82.00,06.08.2015
82.00,82.00,82.00,82.00,07.08.2015
-,-,-,82.00,10.08.2015
-,-,-,82.00,11.08.2015
82.00,82.00,82.00,82.00,12.08.2015
82.00,82.00,82.00,82.00,13.08.2015
-,-,-,82.00,14.08.2015
-,-,-,82.00,17.08.2015
79.06,79.06,79.06,79.06,18.08.2015
79.10,79.10,79.06,79.06,19.08.2015
79.08,79.08,79.07,79.07,20.08.2015
82.00,82.00,82.00,82.00,21.08.2015
-,-,-,82.00,24.08.2015
82.50,74.00,74.00,82.50,25.08.2015
-,-,-,82.50,26.08.2015
-,-,-,82.50,27.08.2015
82.50,82.50,82.50,82.50,28.08.2015
74.62,74.62,74.62,74.62,31.08.2015
86.00,86.00,86.00,86.00,01.09.2015
82.50,82.50,82.50,82.50,02.09.2015
80.00,79.90,79.90,80.00,03.09.2015
77.17,77.17,77.17,77.17,04.09.2015
82.00,82.00,82.00,82.00,07.09.2015
-,-,-,82.00,08.09.2015
-,-,-,82.00,09.09.2015
-,-,-,82.00,10.09.2015
82.00,81.00,81.00,82.00,11.09.2015
78.80,78.76,78.76,78.76,14.09.2015
-,-,-,78.76,15.09.2015
-,-,-,78.76,16.09.2015
-,-,-,78.76,17.09.2015
-,-,-,78.76,18.09.2015
-,-,-,78.76,21.09.2015
-,-,-,78.76,22.09.2015
75.71,75.71,75.71,75.71,23.09.2015
-,-,-,75.71,24.09.2015
79.99,72.75,72.72,79.99,25.09.2015
-,-,-,79.99,28.09.2015
80.00,76.50,76.50,80.00,29.09.2015
80.00,76.80,76.80,80.00,30.09.2015
80.00,80.00,80.00,80.00,01.10.2015
77.00,77.00,77.00,77.00,02.10.2015
80.05,80.05,80.05,80.05,05.10.2015
-,-,-,80.05,06.10.2015
-,-,-,80.05,07.10.2015
80.00,76.85,76.85,79.00,08.10.2015
-,-,-,79.00,09.10.2015
-,-,-,79.00,12.10.2015
79.00,79.00,76.87,76.87,13.10.2015
80.00,80.00,80.00,80.00,14.10.2015
80.00,80.00,80.00,80.00,15.10.2015
-,-,-,80.00,16.10.2015
-,-,-,80.00,19.10.2015
80.00,80.00,80.00,80.00,20.10.2015
77.21,76.81,76.81,77.21,21.10.2015
-,-,-,77.21,22.10.2015
-,-,-,77.21,23.10.2015
-,-,-,77.21,26.10.2015
77.00,77.00,77.00,77.00,27.10.2015
-,-,-,77.00,28.10.2015
76.00,76.00,73.00,73.00,29.10.2015
-,-,-,73.00,30.10.2015
-,-,-,73.00,02.11.2015
-,-,-,73.00,03.11.2015
-,-,-,73.00,04.11.2015
75.00,75.00,75.00,75.00,05.11.2015
-,-,-,75.00,06.11.2015
75.00,75.00,75.00,75.00,09.11.2015
-,-,-,75.00,10.11.2015
75.21,75.21,75.21,75.21,11.11.2015
-,-,-,75.21,12.11.2015
75.31,75.31,75.30,75.30,13.11.2015
-,-,-,75.30,16.11.2015
75.50,75.50,75.30,75.30,17.11.2015
-,-,-,75.30,18.11.2015
-,-,-,75.30,19.11.2015
75.50,75.30,75.30,75.31,20.11.2015
-,-,-,75.31,23.11.2015
75.30,75.30,75.30,75.30,24.11.2015
-,-,-,75.30,25.11.2015
-,-,-,75.30,26.11.2015
75.02,75.02,75.02,75.02,27.11.2015
-,-,-,75.02,30.11.2015
77.00,75.05,75.05,77.00,01.12.2015
-,-,-,77.00,02.12.2015
80.00,78.00,78.00,80.00,03.12.2015
-,-,-,80.00,04.12.2015
80.00,80.00,80.00,80.00,07.12.2015
-,-,-,80.00,08.12.2015
-,-,-,80.00,09.12.2015
80.00,80.00,80.00,80.00,10.12.2015
80.00,77.10,77.10,80.00,11.12.2015
80.00,80.00,80.00,80.00,14.12.2015
80.00,80.00,80.00,80.00,15.12.2015
80.00,80.00,80.00,80.00,16.12.2015
80.00,80.00,80.00,80.00,17.12.2015
80.00,80.00,80.00,80.00,18.12.2015
80.00,80.00,80.00,80.00,21.12.2015
80.00,80.00,80.00,80.00,22.12.2015
80.00,80.00,80.00,80.00,23.12.2015
80.00,80.00,80.00,80.00,28.12.2015
80.00,80.00,80.00,80.00,29.12.2015
82.00,81.99,81.99,82.00,30.12.2015
82.00,82.00,82.00,82.00,04.01.2016
-,-,-,82.00,05.01.2016
-,-,-,82.00,06.01.2016
-,-,-,82.00,07.01.2016
82.00,82.00,82.00,82.00,08.01.2016
-,-,-,82.00,11.01.2016
82.00,82.00,82.00,82.00,12.01.2016
82.00,82.00,82.00,82.00,13.01.2016
82.00,82.00,82.00,82.00,14.01.2016
82.00,82.00,82.00,82.00,15.01.2016
82.01,82.00,82.00,82.00,18.01.2016
-,-,-,82.00,19.01.2016
82.00,82.00,82.00,82.00,20.01.2016
82.00,82.00,82.00,82.00,21.01.2016
-,-,-,82.00,22.01.2016
82.00,82.00,82.00,82.00,25.01.2016
82.00,82.00,82.00,82.00,26.01.2016
82.00,82.00,82.00,82.00,27.01.2016
-,-,-,82.00,28.01.2016
-,-,-,82.00,29.01.2016
82.00,82.00,82.00,82.00,01.02.2016
-,-,-,82.00,02.02.2016
82.00,82.00,82.00,82.00,03.02.2016
84.00,84.00,84.00,84.00,04.02.2016
-,-,-,84.00,05.02.2016
-,-,-,84.00,09.02.2016
-,-,-,84.00,10.02.2016
84.00,84.00,84.00,84.00,11.02.2016
-,-,-,84.00,12.02.2016
-,-,-,84.00,15.02.2016
-,-,-,84.00,16.02.2016
86.00,86.00,84.00,84.00,17.02.2016
-,-,-,84.00,18.02.2016
-,-,-,84.00,19.02.2016
-,-,-,84.00,22.02.2016
84.00,84.00,84.00,84.00,23.02.2016
-,-,-,84.00,24.02.2016
-,-,-,84.00,25.02.2016
84.00,84.00,84.00,84.00,26.02.2016
-,-,-,84.00,29.02.2016
-,-,-,84.00,01.03.2016
-,-,-,84.00,02.03.2016
-,-,-,84.00,03.03.2016
-,-,-,84.00,04.03.2016
-,-,-,84.00,07.03.2016
84.00,84.00,84.00,84.00,08.03.2016
-,-,-,84.00,09.03.2016
84.00,84.00,84.00,84.00,10.03.2016
-,-,-,84.00,11.03.2016
85.00,85.00,85.00,85.00,14.03.2016
85.00,85.00,85.00,85.00,15.03.2016
85.00,85.00,85.00,85.00,16.03.2016
-,-,-,85.00,17.03.2016
85.00,85.00,84.00,84.00,18.03.2016
84.00,84.00,84.00,84.00,21.03.2016
83.00,83.00,83.00,83.00,22.03.2016
-,-,-,83.00,23.03.2016
82.00,82.00,82.00,82.00,24.03.2016
-,-,-,82.00,29.03.2016
82.00,82.00,82.00,82.00,30.03.2016
82.00,82.00,82.00,82.00,31.03.2016
-,-,-,82.00,01.04.2016
-,-,-,82.00,04.04.2016
82.00,82.00,82.00,82.00,05.04.2016
82.00,82.00,82.00,82.00,06.04.2016
-,-,-,82.00,07.04.2016
82.00,82.00,82.00,82.00,08.04.2016
82.00,82.00,82.00,82.00,11.04.2016
82.00,82.00,82.00,82.00,12.04.2016
-,-,-,82.00,13.04.2016
-,-,-,82.00,14.04.2016
-,-,-,82.00,15.04.2016
82.00,82.00,82.00,82.00,18.04.2016
