najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,38.100,31.07.2015
-,-,-,38.100,03.08.2015
-,-,-,38.100,04.08.2015
-,-,-,38.100,05.08.2015
-,-,-,38.100,06.08.2015
-,-,-,38.100,07.08.2015
-,-,-,38.100,10.08.2015
-,-,-,38.100,11.08.2015
-,-,-,38.100,12.08.2015
-,-,-,38.100,13.08.2015
-,-,-,38.100,14.08.2015
-,-,-,38.100,17.08.2015
-,-,-,38.100,18.08.2015
-,-,-,38.100,19.08.2015
-,-,-,38.100,20.08.2015
-,-,-,38.100,21.08.2015
-,-,-,38.100,24.08.2015
-,-,-,38.100,25.08.2015
-,-,-,38.100,26.08.2015
-,-,-,38.100,27.08.2015
-,-,-,38.100,28.08.2015
-,-,-,38.100,31.08.2015
-,-,-,38.100,01.09.2015
-,-,-,38.100,02.09.2015
-,-,-,38.100,03.09.2015
-,-,-,38.100,04.09.2015
-,-,-,38.100,07.09.2015
-,-,-,38.100,08.09.2015
-,-,-,38.100,09.09.2015
38.000,38.000,38.000,38.000,10.09.2015
-,-,-,38.000,11.09.2015
-,-,-,38.000,14.09.2015
-,-,-,38.000,15.09.2015
-,-,-,38.000,16.09.2015
34.000,34.000,34.000,34.000,17.09.2015
-,-,-,34.000,18.09.2015
-,-,-,34.000,21.09.2015
-,-,-,34.000,22.09.2015
-,-,-,34.000,23.09.2015
-,-,-,34.000,24.09.2015
34.000,34.000,34.000,34.000,25.09.2015
-,-,-,34.000,28.09.2015
-,-,-,34.000,29.09.2015
-,-,-,34.000,30.09.2015
-,-,-,34.000,01.10.2015
-,-,-,34.000,02.10.2015
-,-,-,34.000,05.10.2015
-,-,-,34.000,06.10.2015
-,-,-,34.000,07.10.2015
-,-,-,34.000,08.10.2015
-,-,-,34.000,09.10.2015
-,-,-,34.000,12.10.2015
-,-,-,34.000,13.10.2015
-,-,-,34.000,14.10.2015
-,-,-,34.000,15.10.2015
-,-,-,34.000,16.10.2015
-,-,-,34.000,19.10.2015
-,-,-,34.000,20.10.2015
-,-,-,34.000,21.10.2015
-,-,-,34.000,22.10.2015
-,-,-,34.000,23.10.2015
-,-,-,34.000,26.10.2015
-,-,-,34.000,27.10.2015
-,-,-,34.000,28.10.2015
-,-,-,34.000,29.10.2015
-,-,-,34.000,30.10.2015
-,-,-,34.000,02.11.2015
-,-,-,34.000,03.11.2015
-,-,-,34.000,04.11.2015
-,-,-,34.000,05.11.2015
33.900,33.900,33.900,33.900,06.11.2015
-,-,-,33.900,09.11.2015
-,-,-,33.900,10.11.2015
-,-,-,33.900,11.11.2015
-,-,-,33.900,12.11.2015
-,-,-,33.900,13.11.2015
33.500,33.500,33.500,33.500,16.11.2015
-,-,-,33.500,17.11.2015
33.500,33.500,33.500,33.500,18.11.2015
33.500,33.500,33.500,33.500,19.11.2015
-,-,-,33.500,20.11.2015
-,-,-,33.500,23.11.2015
-,-,-,33.500,24.11.2015
-,-,-,33.500,25.11.2015
33.000,33.000,33.000,33.000,26.11.2015
-,-,-,33.000,27.11.2015
-,-,-,33.000,30.11.2015
-,-,-,33.000,01.12.2015
-,-,-,33.000,02.12.2015
-,-,-,33.000,03.12.2015
-,-,-,33.000,04.12.2015
-,-,-,33.000,07.12.2015
-,-,-,33.000,08.12.2015
-,-,-,33.000,09.12.2015
