najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.500,31.07.2015
-,-,-,0.500,03.08.2015
-,-,-,0.500,04.08.2015
-,-,-,0.500,05.08.2015
-,-,-,0.500,06.08.2015
0.500,0.500,0.500,0.500,07.08.2015
-,-,-,0.500,10.08.2015
-,-,-,0.500,11.08.2015
-,-,-,0.500,12.08.2015
-,-,-,0.500,13.08.2015
-,-,-,0.500,14.08.2015
-,-,-,0.500,17.08.2015
-,-,-,0.500,18.08.2015
-,-,-,0.500,19.08.2015
-,-,-,0.500,20.08.2015
-,-,-,0.500,21.08.2015
-,-,-,0.500,24.08.2015
-,-,-,0.500,25.08.2015
-,-,-,0.500,26.08.2015
-,-,-,0.500,27.08.2015
-,-,-,0.500,28.08.2015
-,-,-,0.500,31.08.2015
-,-,-,0.500,01.09.2015
-,-,-,0.500,02.09.2015
-,-,-,0.500,03.09.2015
-,-,-,0.500,04.09.2015
-,-,-,0.500,07.09.2015
-,-,-,0.500,08.09.2015
-,-,-,0.500,09.09.2015
-,-,-,0.500,10.09.2015
-,-,-,0.500,11.09.2015
-,-,-,0.500,14.09.2015
-,-,-,0.500,15.09.2015
-,-,-,0.500,16.09.2015
-,-,-,0.500,17.09.2015
-,-,-,0.500,18.09.2015
-,-,-,0.500,21.09.2015
-,-,-,0.500,22.09.2015
-,-,-,0.500,23.09.2015
-,-,-,0.500,24.09.2015
-,-,-,0.500,25.09.2015
-,-,-,0.500,28.09.2015
-,-,-,0.500,29.09.2015
-,-,-,0.500,30.09.2015
-,-,-,0.500,01.10.2015
-,-,-,0.500,02.10.2015
-,-,-,0.500,05.10.2015
-,-,-,0.500,06.10.2015
-,-,-,0.500,07.10.2015
-,-,-,0.500,08.10.2015
-,-,-,0.500,09.10.2015
-,-,-,0.500,12.10.2015
-,-,-,0.500,13.10.2015
-,-,-,0.500,14.10.2015
-,-,-,0.500,15.10.2015
-,-,-,0.500,16.10.2015
-,-,-,0.500,19.10.2015
-,-,-,0.500,20.10.2015
-,-,-,0.500,21.10.2015
-,-,-,0.500,22.10.2015
-,-,-,0.500,23.10.2015
-,-,-,0.500,26.10.2015
-,-,-,0.500,27.10.2015
-,-,-,0.500,28.10.2015
-,-,-,0.500,29.10.2015
-,-,-,0.500,30.10.2015
-,-,-,0.500,02.11.2015
-,-,-,0.500,03.11.2015
-,-,-,0.500,04.11.2015
0.400,0.400,0.400,0.400,05.11.2015
-,-,-,0.400,06.11.2015
-,-,-,0.400,09.11.2015
-,-,-,0.400,10.11.2015
0.250,0.250,0.250,0.250,11.11.2015
-,-,-,0.250,12.11.2015
-,-,-,0.250,13.11.2015
-,-,-,0.250,16.11.2015
-,-,-,0.250,17.11.2015
-,-,-,0.250,18.11.2015
-,-,-,0.250,19.11.2015
-,-,-,0.250,20.11.2015
-,-,-,0.250,23.11.2015
-,-,-,0.250,24.11.2015
0.300,0.300,0.300,0.300,25.11.2015
-,-,-,0.300,26.11.2015
-,-,-,0.300,27.11.2015
-,-,-,0.300,30.11.2015
-,-,-,0.300,01.12.2015
-,-,-,0.300,02.12.2015
-,-,-,0.300,03.12.2015
-,-,-,0.300,04.12.2015
-,-,-,0.300,07.12.2015
-,-,-,0.300,08.12.2015
-,-,-,0.300,09.12.2015
-,-,-,0.300,10.12.2015
-,-,-,0.300,11.12.2015
-,-,-,0.300,14.12.2015
-,-,-,0.300,15.12.2015
-,-,-,0.300,16.12.2015
-,-,-,0.300,17.12.2015
-,-,-,0.300,18.12.2015
-,-,-,0.300,21.12.2015
-,-,-,0.300,22.12.2015
0.500,0.500,0.500,0.500,23.12.2015
-,-,-,0.500,28.12.2015
-,-,-,0.500,29.12.2015
-,-,-,0.500,30.12.2015
-,-,-,0.500,04.01.2016
-,-,-,0.500,05.01.2016
-,-,-,0.500,06.01.2016
-,-,-,0.500,07.01.2016
-,-,-,0.500,08.01.2016
-,-,-,0.500,11.01.2016
-,-,-,0.500,12.01.2016
-,-,-,0.500,13.01.2016
-,-,-,0.500,14.01.2016
0.403,0.403,0.403,0.403,15.01.2016
-,-,-,0.403,18.01.2016
-,-,-,0.403,19.01.2016
-,-,-,0.403,20.01.2016
-,-,-,0.403,21.01.2016
-,-,-,0.403,22.01.2016
-,-,-,0.403,25.01.2016
-,-,-,0.403,26.01.2016
-,-,-,0.403,27.01.2016
-,-,-,0.403,28.01.2016
-,-,-,0.403,29.01.2016
-,-,-,0.403,01.02.2016
-,-,-,0.403,02.02.2016
-,-,-,0.403,03.02.2016
-,-,-,0.403,04.02.2016
-,-,-,0.403,05.02.2016
-,-,-,0.403,09.02.2016
-,-,-,0.403,10.02.2016
-,-,-,0.403,11.02.2016
-,-,-,0.403,12.02.2016
-,-,-,0.403,15.02.2016
-,-,-,0.403,16.02.2016
-,-,-,0.403,17.02.2016
0.403,0.403,0.403,0.403,18.02.2016
-,-,-,0.403,19.02.2016
-,-,-,0.403,22.02.2016
-,-,-,0.403,23.02.2016
-,-,-,0.403,24.02.2016
-,-,-,0.403,25.02.2016
-,-,-,0.403,26.02.2016
-,-,-,0.403,29.02.2016
0.402,0.402,0.402,0.402,01.03.2016
0.403,0.403,0.403,0.403,02.03.2016
0.402,0.402,0.402,0.402,03.03.2016
-,-,-,0.402,04.03.2016
-,-,-,0.402,07.03.2016
-,-,-,0.402,08.03.2016
-,-,-,0.402,09.03.2016
0.402,0.402,0.402,0.402,10.03.2016
-,-,-,0.402,11.03.2016
-,-,-,0.402,14.03.2016
-,-,-,0.402,15.03.2016
-,-,-,0.402,16.03.2016
-,-,-,0.402,17.03.2016
-,-,-,0.402,18.03.2016
-,-,-,0.402,21.03.2016
-,-,-,0.402,22.03.2016
-,-,-,0.402,23.03.2016
-,-,-,0.402,24.03.2016
-,-,-,0.402,29.03.2016
0.402,0.402,0.402,0.402,30.03.2016
-,-,-,0.402,31.03.2016
-,-,-,0.402,01.04.2016
-,-,-,0.402,04.04.2016
-,-,-,0.402,05.04.2016
-,-,-,0.402,06.04.2016
-,-,-,0.402,07.04.2016
-,-,-,0.402,08.04.2016
-,-,-,0.402,11.04.2016
-,-,-,0.402,12.04.2016
0.402,0.402,0.402,0.402,13.04.2016
-,-,-,0.402,14.04.2016
-,-,-,0.402,15.04.2016
-,-,-,0.402,18.04.2016
-,-,-,0.402,19.04.2016
-,-,-,0.402,20.04.2016
-,-,-,0.402,21.04.2016
-,-,-,0.402,22.04.2016
-,-,-,0.402,25.04.2016
-,-,-,0.402,26.04.2016
-,-,-,0.402,28.04.2016
-,-,-,0.402,29.04.2016
-,-,-,0.402,03.05.2016
-,-,-,0.402,04.05.2016
-,-,-,0.402,05.05.2016
-,-,-,0.402,06.05.2016
-,-,-,0.402,09.05.2016
-,-,-,0.402,10.05.2016
-,-,-,0.402,11.05.2016
-,-,-,0.402,12.05.2016
-,-,-,0.402,13.05.2016
-,-,-,0.402,16.05.2016
-,-,-,0.402,17.05.2016
-,-,-,0.402,18.05.2016
-,-,-,0.402,19.05.2016
-,-,-,0.402,20.05.2016
-,-,-,0.402,23.05.2016
-,-,-,0.402,24.05.2016
-,-,-,0.402,25.05.2016
0.402,0.402,0.402,0.402,26.05.2016
0.402,0.402,0.402,0.402,27.05.2016
-,-,-,0.402,30.05.2016
-,-,-,0.402,31.05.2016
0.402,0.402,0.402,0.402,01.06.2016
0.402,0.402,0.402,0.402,02.06.2016
-,-,-,0.402,03.06.2016
0.402,0.402,0.402,0.402,06.06.2016
-,-,-,0.402,07.06.2016
-,-,-,0.402,08.06.2016
-,-,-,0.402,09.06.2016
0.402,0.402,0.402,0.402,10.06.2016
0.402,0.402,0.402,0.402,13.06.2016
-,-,-,0.402,14.06.2016
0.402,0.402,0.402,0.402,15.06.2016
-,-,-,0.402,16.06.2016
0.402,0.402,0.402,0.402,17.06.2016
0.402,0.402,0.402,0.402,20.06.2016
0.402,0.402,0.402,0.402,21.06.2016
-,-,-,0.402,22.06.2016
-,-,-,0.402,23.06.2016
-,-,-,0.402,24.06.2016
-,-,-,0.402,27.06.2016
-,-,-,0.402,28.06.2016
-,-,-,0.402,29.06.2016
-,-,-,0.402,30.06.2016
0.402,0.402,0.402,0.402,01.07.2016
-,-,-,0.402,04.07.2016
0.402,0.402,0.402,0.402,05.07.2016
-,-,-,0.402,06.07.2016
0.402,0.402,0.402,0.402,07.07.2016
-,-,-,0.402,08.07.2016
-,-,-,0.402,11.07.2016
-,-,-,0.402,12.07.2016
0.402,0.402,0.402,0.402,13.07.2016
-,-,-,0.402,14.07.2016
-,-,-,0.402,15.07.2016
-,-,-,0.402,18.07.2016
0.402,0.402,0.402,0.402,19.07.2016
-,-,-,0.402,20.07.2016
0.402,0.402,0.402,0.402,21.07.2016
0.402,0.402,0.402,0.402,22.07.2016
-,-,-,0.402,25.07.2016
-,-,-,0.402,26.07.2016
-,-,-,0.402,27.07.2016
0.402,0.402,0.402,0.402,28.07.2016
-,-,-,0.402,29.07.2016
