najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,40.000,31.07.2015
-,-,-,40.000,03.08.2015
-,-,-,40.000,04.08.2015
-,-,-,40.000,05.08.2015
-,-,-,40.000,06.08.2015
-,-,-,40.000,07.08.2015
-,-,-,40.000,10.08.2015
-,-,-,40.000,11.08.2015
-,-,-,40.000,12.08.2015
-,-,-,40.000,13.08.2015
-,-,-,40.000,14.08.2015
-,-,-,40.000,17.08.2015
-,-,-,40.000,18.08.2015
-,-,-,40.000,19.08.2015
-,-,-,40.000,20.08.2015
-,-,-,40.000,21.08.2015
-,-,-,40.000,24.08.2015
-,-,-,40.000,25.08.2015
-,-,-,40.000,26.08.2015
-,-,-,40.000,27.08.2015
-,-,-,40.000,28.08.2015
-,-,-,40.000,31.08.2015
-,-,-,40.000,01.09.2015
-,-,-,40.000,02.09.2015
-,-,-,40.000,03.09.2015
-,-,-,40.000,04.09.2015
-,-,-,40.000,07.09.2015
-,-,-,40.000,08.09.2015
-,-,-,40.000,09.09.2015
-,-,-,40.000,10.09.2015
-,-,-,40.000,11.09.2015
-,-,-,40.000,14.09.2015
-,-,-,40.000,15.09.2015
-,-,-,40.000,16.09.2015
-,-,-,40.000,17.09.2015
-,-,-,40.000,18.09.2015
-,-,-,40.000,21.09.2015
-,-,-,40.000,22.09.2015
-,-,-,40.000,23.09.2015
-,-,-,40.000,24.09.2015
-,-,-,40.000,25.09.2015
-,-,-,40.000,28.09.2015
-,-,-,40.000,29.09.2015
-,-,-,40.000,30.09.2015
-,-,-,40.000,01.10.2015
-,-,-,40.000,02.10.2015
-,-,-,40.000,05.10.2015
-,-,-,40.000,06.10.2015
-,-,-,40.000,07.10.2015
-,-,-,40.000,08.10.2015
-,-,-,40.000,09.10.2015
-,-,-,40.000,12.10.2015
-,-,-,40.000,13.10.2015
-,-,-,40.000,14.10.2015
-,-,-,40.000,15.10.2015
36.790,36.790,36.790,36.790,16.10.2015
-,-,-,36.790,19.10.2015
-,-,-,36.790,20.10.2015
-,-,-,36.790,21.10.2015
-,-,-,36.790,22.10.2015
-,-,-,36.790,23.10.2015
-,-,-,36.790,26.10.2015
-,-,-,36.790,27.10.2015
-,-,-,36.790,28.10.2015
-,-,-,36.790,29.10.2015
-,-,-,36.790,30.10.2015
-,-,-,36.790,02.11.2015
-,-,-,36.790,03.11.2015
-,-,-,36.790,04.11.2015
-,-,-,36.790,05.11.2015
-,-,-,36.790,06.11.2015
-,-,-,36.790,09.11.2015
-,-,-,36.790,10.11.2015
-,-,-,36.790,11.11.2015
-,-,-,36.790,12.11.2015
-,-,-,36.790,13.11.2015
-,-,-,36.790,16.11.2015
-,-,-,36.790,17.11.2015
-,-,-,36.790,18.11.2015
-,-,-,36.790,19.11.2015
-,-,-,36.790,20.11.2015
25.000,25.000,25.000,25.000,23.11.2015
29.500,29.500,29.500,29.500,24.11.2015
-,-,-,29.500,25.11.2015
-,-,-,29.500,26.11.2015
-,-,-,29.500,27.11.2015
-,-,-,29.500,30.11.2015
-,-,-,29.500,01.12.2015
-,-,-,29.500,02.12.2015
-,-,-,29.500,03.12.2015
-,-,-,29.500,04.12.2015
-,-,-,29.500,07.12.2015
-,-,-,29.500,08.12.2015
-,-,-,29.500,09.12.2015
30.100,30.100,30.100,30.100,10.12.2015
-,-,-,30.100,11.12.2015
-,-,-,30.100,14.12.2015
-,-,-,30.100,15.12.2015
-,-,-,30.100,16.12.2015
-,-,-,30.100,17.12.2015
34.800,34.800,34.800,34.800,18.12.2015
-,-,-,34.800,21.12.2015
32.100,32.100,32.100,32.100,22.12.2015
-,-,-,32.100,23.12.2015
-,-,-,32.100,28.12.2015
-,-,-,32.100,29.12.2015
34.800,34.800,34.800,34.800,30.12.2015
-,-,-,34.800,04.01.2016
-,-,-,34.800,05.01.2016
-,-,-,34.800,06.01.2016
-,-,-,34.800,07.01.2016
-,-,-,34.800,08.01.2016
-,-,-,34.800,11.01.2016
-,-,-,34.800,12.01.2016
-,-,-,34.800,13.01.2016
-,-,-,34.800,14.01.2016
-,-,-,34.800,15.01.2016
-,-,-,34.800,18.01.2016
28.500,28.500,28.500,28.500,19.01.2016
-,-,-,28.500,20.01.2016
-,-,-,28.500,21.01.2016
-,-,-,28.500,22.01.2016
-,-,-,28.500,25.01.2016
-,-,-,28.500,26.01.2016
-,-,-,28.500,27.01.2016
-,-,-,28.500,28.01.2016
-,-,-,28.500,29.01.2016
-,-,-,28.500,01.02.2016
-,-,-,28.500,02.02.2016
-,-,-,28.500,03.02.2016
-,-,-,28.500,04.02.2016
-,-,-,28.500,05.02.2016
-,-,-,28.500,09.02.2016
-,-,-,28.500,10.02.2016
-,-,-,28.500,11.02.2016
-,-,-,28.500,12.02.2016
-,-,-,28.500,15.02.2016
-,-,-,28.500,16.02.2016
-,-,-,28.500,17.02.2016
-,-,-,28.500,18.02.2016
-,-,-,28.500,19.02.2016
-,-,-,28.500,22.02.2016
-,-,-,28.500,23.02.2016
-,-,-,28.500,24.02.2016
-,-,-,28.500,25.02.2016
-,-,-,28.500,26.02.2016
-,-,-,28.500,29.02.2016
-,-,-,28.500,01.03.2016
-,-,-,28.500,02.03.2016
-,-,-,28.500,03.03.2016
-,-,-,28.500,04.03.2016
-,-,-,28.500,07.03.2016
-,-,-,28.500,08.03.2016
-,-,-,28.500,09.03.2016
-,-,-,28.500,10.03.2016
-,-,-,28.500,11.03.2016
-,-,-,28.500,14.03.2016
-,-,-,28.500,15.03.2016
-,-,-,28.500,16.03.2016
-,-,-,28.500,17.03.2016
-,-,-,28.500,18.03.2016
-,-,-,28.500,21.03.2016
-,-,-,28.500,22.03.2016
-,-,-,28.500,23.03.2016
-,-,-,28.500,24.03.2016
-,-,-,28.500,29.03.2016
-,-,-,28.500,30.03.2016
-,-,-,28.500,31.03.2016
-,-,-,28.500,01.04.2016
-,-,-,28.500,04.04.2016
-,-,-,28.500,05.04.2016
-,-,-,28.500,06.04.2016
-,-,-,28.500,07.04.2016
-,-,-,28.500,08.04.2016
-,-,-,28.500,11.04.2016
-,-,-,28.500,12.04.2016
-,-,-,28.500,13.04.2016
-,-,-,28.500,14.04.2016
-,-,-,28.500,15.04.2016
-,-,-,28.500,18.04.2016
-,-,-,28.500,19.04.2016
-,-,-,28.500,20.04.2016
-,-,-,28.500,21.04.2016
-,-,-,28.500,22.04.2016
-,-,-,28.500,25.04.2016
-,-,-,28.500,26.04.2016
-,-,-,28.500,28.04.2016
-,-,-,28.500,29.04.2016
-,-,-,28.500,03.05.2016
-,-,-,28.500,04.05.2016
-,-,-,28.500,05.05.2016
-,-,-,28.500,06.05.2016
-,-,-,28.500,09.05.2016
-,-,-,28.500,10.05.2016
