najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,16.300,31.07.2015
-,-,-,16.300,03.08.2015
-,-,-,16.300,04.08.2015
-,-,-,16.300,05.08.2015
-,-,-,16.300,06.08.2015
-,-,-,16.300,07.08.2015
-,-,-,16.300,10.08.2015
-,-,-,16.300,11.08.2015
-,-,-,16.300,12.08.2015
-,-,-,16.300,13.08.2015
-,-,-,16.300,14.08.2015
-,-,-,16.300,17.08.2015
-,-,-,16.300,18.08.2015
-,-,-,16.300,19.08.2015
-,-,-,16.300,20.08.2015
-,-,-,16.300,21.08.2015
-,-,-,16.300,24.08.2015
-,-,-,16.300,25.08.2015
-,-,-,16.300,26.08.2015
-,-,-,16.300,27.08.2015
-,-,-,16.300,28.08.2015
-,-,-,16.300,31.08.2015
-,-,-,16.300,01.09.2015
-,-,-,16.300,02.09.2015
-,-,-,16.300,03.09.2015
-,-,-,16.300,04.09.2015
-,-,-,16.300,07.09.2015
-,-,-,16.300,08.09.2015
-,-,-,16.300,09.09.2015
-,-,-,16.300,10.09.2015
-,-,-,16.300,11.09.2015
-,-,-,16.300,14.09.2015
-,-,-,16.300,15.09.2015
-,-,-,16.300,16.09.2015
-,-,-,16.300,17.09.2015
-,-,-,16.300,18.09.2015
-,-,-,16.300,21.09.2015
-,-,-,16.300,22.09.2015
-,-,-,16.300,23.09.2015
-,-,-,16.300,24.09.2015
-,-,-,16.300,25.09.2015
-,-,-,16.300,28.09.2015
-,-,-,16.300,29.09.2015
-,-,-,16.300,30.09.2015
-,-,-,16.300,01.10.2015
-,-,-,16.300,02.10.2015
-,-,-,16.300,05.10.2015
-,-,-,16.300,06.10.2015
-,-,-,16.300,07.10.2015
-,-,-,16.300,08.10.2015
-,-,-,16.300,09.10.2015
-,-,-,16.300,12.10.2015
-,-,-,16.300,13.10.2015
-,-,-,16.300,14.10.2015
-,-,-,16.300,15.10.2015
-,-,-,16.300,16.10.2015
-,-,-,16.300,19.10.2015
-,-,-,16.300,20.10.2015
-,-,-,16.300,21.10.2015
-,-,-,16.300,22.10.2015
-,-,-,16.300,23.10.2015
-,-,-,16.300,26.10.2015
-,-,-,16.300,27.10.2015
-,-,-,16.300,28.10.2015
