najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,100.90,31.07.2015
-,-,-,100.90,03.08.2015
-,-,-,100.90,04.08.2015
-,-,-,100.90,05.08.2015
-,-,-,100.90,06.08.2015
-,-,-,100.90,07.08.2015
-,-,-,100.90,10.08.2015
-,-,-,100.90,11.08.2015
-,-,-,100.90,12.08.2015
-,-,-,100.90,13.08.2015
-,-,-,100.90,14.08.2015
-,-,-,100.90,17.08.2015
-,-,-,100.90,18.08.2015
-,-,-,100.90,19.08.2015
-,-,-,100.90,20.08.2015
-,-,-,100.90,21.08.2015
-,-,-,100.90,24.08.2015
-,-,-,100.90,25.08.2015
-,-,-,100.90,26.08.2015
-,-,-,100.90,27.08.2015
-,-,-,100.90,28.08.2015
-,-,-,100.90,31.08.2015
-,-,-,100.90,01.09.2015
-,-,-,100.90,02.09.2015
-,-,-,100.90,03.09.2015
-,-,-,100.90,04.09.2015
-,-,-,100.90,07.09.2015
-,-,-,100.90,08.09.2015
-,-,-,100.90,09.09.2015
-,-,-,100.90,10.09.2015
-,-,-,100.90,11.09.2015
-,-,-,100.90,14.09.2015
-,-,-,100.90,15.09.2015
-,-,-,100.90,16.09.2015
-,-,-,100.90,17.09.2015
-,-,-,100.90,18.09.2015
-,-,-,100.90,21.09.2015
-,-,-,100.90,22.09.2015
-,-,-,100.90,23.09.2015
-,-,-,100.90,24.09.2015
-,-,-,100.90,25.09.2015
-,-,-,100.90,28.09.2015
-,-,-,100.90,29.09.2015
-,-,-,100.90,30.09.2015
-,-,-,100.90,01.10.2015
-,-,-,100.90,02.10.2015
-,-,-,100.90,05.10.2015
-,-,-,100.90,06.10.2015
-,-,-,100.90,07.10.2015
-,-,-,100.90,08.10.2015
-,-,-,100.90,09.10.2015
-,-,-,100.90,12.10.2015
-,-,-,100.90,13.10.2015
-,-,-,100.90,14.10.2015
-,-,-,100.90,15.10.2015
-,-,-,100.90,16.10.2015
-,-,-,100.90,19.10.2015
-,-,-,100.90,20.10.2015
-,-,-,100.90,21.10.2015
-,-,-,100.90,22.10.2015
-,-,-,100.90,23.10.2015
-,-,-,100.90,26.10.2015
-,-,-,100.90,27.10.2015
-,-,-,100.90,28.10.2015
-,-,-,100.90,29.10.2015
-,-,-,100.90,30.10.2015
-,-,-,100.90,02.11.2015
-,-,-,100.90,03.11.2015
-,-,-,100.90,04.11.2015
-,-,-,100.90,05.11.2015
-,-,-,100.90,06.11.2015
-,-,-,100.90,09.11.2015
-,-,-,100.90,10.11.2015
-,-,-,100.90,11.11.2015
-,-,-,100.90,12.11.2015
-,-,-,100.90,13.11.2015
-,-,-,100.90,16.11.2015
-,-,-,100.90,17.11.2015
-,-,-,100.90,18.11.2015
-,-,-,100.90,19.11.2015
-,-,-,100.90,20.11.2015
-,-,-,100.90,23.11.2015
-,-,-,100.90,24.11.2015
-,-,-,100.90,25.11.2015
-,-,-,100.90,26.11.2015
-,-,-,100.90,27.11.2015
-,-,-,100.90,30.11.2015
-,-,-,100.90,01.12.2015
-,-,-,100.90,02.12.2015
-,-,-,100.90,03.12.2015
-,-,-,100.90,04.12.2015
-,-,-,100.90,07.12.2015
-,-,-,100.90,08.12.2015
-,-,-,100.90,09.12.2015
-,-,-,100.90,10.12.2015
-,-,-,100.90,11.12.2015
-,-,-,100.90,14.12.2015
-,-,-,100.90,15.12.2015
-,-,-,100.90,16.12.2015
-,-,-,100.90,17.12.2015
-,-,-,100.90,18.12.2015
-,-,-,100.90,21.12.2015
-,-,-,100.90,22.12.2015
-,-,-,100.90,23.12.2015
-,-,-,100.90,28.12.2015
-,-,-,100.90,29.12.2015
-,-,-,100.90,30.12.2015
-,-,-,100.90,04.01.2016
-,-,-,100.90,05.01.2016
-,-,-,100.90,06.01.2016
-,-,-,100.90,07.01.2016
-,-,-,100.90,08.01.2016
-,-,-,100.90,11.01.2016
-,-,-,100.90,12.01.2016
-,-,-,100.90,13.01.2016
-,-,-,100.90,14.01.2016
-,-,-,100.90,15.01.2016
-,-,-,100.90,18.01.2016
-,-,-,100.90,19.01.2016
-,-,-,100.90,20.01.2016
-,-,-,100.90,21.01.2016
-,-,-,100.90,22.01.2016
-,-,-,100.90,25.01.2016
-,-,-,100.90,26.01.2016
-,-,-,100.90,27.01.2016
-,-,-,100.90,28.01.2016
-,-,-,100.90,29.01.2016
-,-,-,100.90,01.02.2016
-,-,-,100.90,02.02.2016
-,-,-,100.90,03.02.2016
-,-,-,100.90,04.02.2016
-,-,-,100.90,05.02.2016
-,-,-,100.90,09.02.2016
-,-,-,100.90,10.02.2016
-,-,-,100.90,11.02.2016
-,-,-,100.90,12.02.2016
-,-,-,100.90,15.02.2016
