najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
256.00,250.60,250.60,256.00,31.07.2015
252.15,252.15,251.55,252.00,03.08.2015
-,-,-,252.00,04.08.2015
259.00,252.55,252.55,253.00,05.08.2015
260.00,255.00,252.35,252.40,06.08.2015
255.00,252.55,252.50,255.00,07.08.2015
259.95,255.00,254.10,259.95,10.08.2015
263.75,255.00,255.00,263.65,11.08.2015
263.70,263.70,258.10,258.10,12.08.2015
259.00,258.20,258.20,258.30,13.08.2015
260.00,258.35,255.10,257.10,14.08.2015
260.00,260.00,259.90,260.00,17.08.2015
259.95,258.00,257.00,259.90,18.08.2015
259.50,257.00,257.00,257.30,19.08.2015
259.00,257.50,255.00,255.00,20.08.2015
260.00,255.00,255.00,260.00,21.08.2015
254.00,254.00,243.15,250.00,24.08.2015
248.00,243.20,243.20,245.00,25.08.2015
248.00,245.00,244.50,245.10,26.08.2015
249.95,249.90,245.70,246.00,27.08.2015
255.00,250.00,250.00,255.00,28.08.2015
252.00,250.10,245.05,245.05,31.08.2015
248.00,246.30,245.50,245.50,01.09.2015
245.65,245.65,243.05,245.00,02.09.2015
245.30,244.15,244.15,245.00,03.09.2015
245.00,245.00,244.00,244.00,04.09.2015
244.00,244.00,240.05,242.90,07.09.2015
246.00,243.00,242.00,243.00,08.09.2015
245.00,244.00,244.00,244.05,09.09.2015
246.00,244.05,240.00,240.00,10.09.2015
244.95,241.45,241.45,242.50,11.09.2015
244.00,244.00,244.00,244.00,14.09.2015
245.00,243.00,240.00,240.00,15.09.2015
240.00,240.00,237.75,237.75,16.09.2015
239.00,239.00,235.00,235.00,17.09.2015
234.90,234.90,231.10,231.30,18.09.2015
230.00,230.00,223.05,225.00,21.09.2015
232.00,221.00,221.00,232.00,22.09.2015
233.00,225.00,225.00,233.00,23.09.2015
235.00,235.00,225.50,234.95,24.09.2015
235.95,235.95,234.00,235.00,25.09.2015
236.00,235.00,233.00,233.15,28.09.2015
235.00,233.00,230.00,235.00,29.09.2015
245.00,236.00,235.00,244.00,30.09.2015
240.00,236.00,236.00,240.00,01.10.2015
240.50,240.00,233.10,240.00,02.10.2015
245.00,242.00,240.10,245.00,05.10.2015
245.00,245.00,241.00,241.00,06.10.2015
243.95,241.05,240.00,240.00,07.10.2015
243.00,240.10,240.00,241.80,08.10.2015
248.00,242.05,242.05,248.00,09.10.2015
255.00,251.10,251.10,254.90,12.10.2015
258.00,256.10,250.10,251.00,13.10.2015
256.00,251.00,251.00,252.05,14.10.2015
