najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
14.100,14.100,14.100,14.100,31.07.2015
14.200,14.100,14.100,14.100,03.08.2015
14.100,14.100,14.000,14.000,04.08.2015
14.100,14.100,14.080,14.080,05.08.2015
14.195,14.195,13.900,13.900,06.08.2015
14.000,13.850,13.850,14.000,07.08.2015
14.000,14.000,13.850,13.850,10.08.2015
14.000,13.990,13.990,14.000,11.08.2015
14.000,14.000,14.000,14.000,12.08.2015
14.000,13.880,13.880,13.960,13.08.2015
14.000,13.850,13.850,14.000,14.08.2015
-,-,-,14.000,17.08.2015
13.815,13.700,13.700,13.800,18.08.2015
13.800,13.800,13.670,13.670,19.08.2015
13.870,13.700,13.700,13.800,20.08.2015
13.850,13.845,13.320,13.320,21.08.2015
13.000,13.000,12.880,12.880,24.08.2015
13.500,13.010,13.010,13.500,25.08.2015
13.500,13.400,13.055,13.055,26.08.2015
13.300,13.020,13.020,13.300,27.08.2015
13.500,13.500,13.150,13.150,28.08.2015
-,-,-,13.150,31.08.2015
13.010,13.010,13.000,13.000,01.09.2015
13.100,13.100,13.000,13.000,02.09.2015
-,-,-,13.000,03.09.2015
13.000,13.000,12.900,13.000,04.09.2015
13.395,12.910,12.900,13.100,07.09.2015
12.900,12.900,12.900,12.900,08.09.2015
13.400,13.400,13.400,13.400,09.09.2015
-,-,-,13.400,10.09.2015
13.000,13.000,12.900,13.000,11.09.2015
12.900,12.900,12.900,12.900,14.09.2015
12.995,12.810,12.800,12.800,15.09.2015
12.500,12.500,12.000,12.120,16.09.2015
12.700,12.700,12.145,12.145,17.09.2015
12.100,12.100,11.800,11.950,18.09.2015
11.850,11.850,11.850,11.850,21.09.2015
11.850,11.850,11.600,11.690,22.09.2015
11.715,11.690,11.640,11.710,23.09.2015
12.000,11.870,11.870,12.000,24.09.2015
12.500,12.000,12.000,12.300,25.09.2015
12.700,12.500,12.500,12.700,28.09.2015
12.400,12.070,12.070,12.400,29.09.2015
12.700,12.550,12.400,12.700,30.09.2015
13.200,12.900,12.900,12.950,01.10.2015
12.800,12.795,12.795,12.800,02.10.2015
12.770,12.770,12.750,12.750,05.10.2015
12.770,12.770,12.700,12.700,06.10.2015
12.710,12.710,12.705,12.705,07.10.2015
12.975,12.850,12.850,12.975,08.10.2015
-,-,-,12.975,09.10.2015
12.700,12.500,12.500,12.700,12.10.2015
12.700,12.560,12.420,12.590,13.10.2015
12.700,12.700,12.300,12.300,14.10.2015
12.530,12.530,12.530,12.530,15.10.2015
12.900,12.900,12.600,12.600,16.10.2015
12.650,12.100,12.100,12.650,19.10.2015
12.660,12.660,12.650,12.650,20.10.2015
12.800,12.800,12.800,12.800,21.10.2015
12.800,12.795,12.750,12.755,22.10.2015
13.000,12.750,12.750,13.000,23.10.2015
13.010,13.010,12.910,12.910,26.10.2015
12.990,12.990,12.900,12.900,27.10.2015
12.850,12.610,12.610,12.800,28.10.2015
12.990,12.990,12.640,12.640,29.10.2015
-,-,-,12.640,30.10.2015
-,-,-,12.640,02.11.2015
13.000,12.760,12.760,12.990,03.11.2015
13.300,13.250,13.005,13.005,04.11.2015
13.290,13.010,13.010,13.290,05.11.2015
13.050,13.050,13.050,13.050,06.11.2015
13.200,13.200,13.200,13.200,09.11.2015
13.500,13.200,13.200,13.400,10.11.2015
13.600,13.400,13.400,13.600,11.11.2015
13.700,13.610,13.610,13.700,12.11.2015
14.000,13.720,13.675,13.675,13.11.2015
13.500,13.210,13.210,13.420,16.11.2015
13.800,13.800,13.500,13.500,17.11.2015
13.500,13.500,13.500,13.500,18.11.2015
13.700,13.555,13.555,13.700,19.11.2015
13.750,13.750,13.700,13.700,20.11.2015
13.500,13.500,13.420,13.430,23.11.2015
13.790,13.430,13.430,13.790,24.11.2015
-,-,-,13.790,25.11.2015
13.840,13.410,13.410,13.840,26.11.2015
13.900,13.620,13.620,13.900,27.11.2015
13.920,13.920,13.565,13.565,30.11.2015
13.880,13.880,13.700,13.700,01.12.2015
13.700,13.580,13.580,13.700,02.12.2015
13.970,13.810,13.795,13.970,03.12.2015
13.720,13.720,13.720,13.720,04.12.2015
13.710,13.700,13.605,13.705,07.12.2015
13.800,13.795,13.795,13.800,08.12.2015
13.890,13.750,13.750,13.890,09.12.2015
-,-,-,13.890,10.12.2015
13.715,13.710,13.630,13.630,11.12.2015
13.420,13.420,13.080,13.160,14.12.2015
13.050,13.020,13.000,13.030,15.12.2015
13.200,13.100,13.100,13.150,16.12.2015
13.305,13.305,13.235,13.235,17.12.2015
13.300,13.300,13.210,13.210,18.12.2015
13.150,13.150,13.070,13.090,21.12.2015
13.000,13.000,13.000,13.000,22.12.2015
12.980,12.780,12.690,12.730,23.12.2015
12.800,12.800,12.715,12.735,28.12.2015
12.990,12.700,12.700,12.750,29.12.2015
12.950,12.700,12.620,12.950,30.12.2015
13.000,13.000,13.000,13.000,04.01.2016
13.200,12.970,12.970,13.200,05.01.2016
13.165,12.510,12.510,12.910,06.01.2016
12.575,12.575,12.555,12.555,07.01.2016
12.650,12.520,12.520,12.630,08.01.2016
12.550,12.550,12.500,12.500,11.01.2016
12.445,12.300,12.200,12.215,12.01.2016
12.550,12.215,12.215,12.400,13.01.2016
12.400,12.400,12.100,12.120,14.01.2016
12.280,12.120,12.110,12.200,15.01.2016
12.100,12.015,12.015,12.100,18.01.2016
12.105,12.105,12.100,12.100,19.01.2016
12.110,12.110,12.050,12.050,20.01.2016
12.050,12.050,12.000,12.000,21.01.2016
12.200,12.200,12.005,12.005,22.01.2016
12.480,12.480,12.480,12.480,25.01.2016
12.500,12.450,12.450,12.495,26.01.2016
12.795,12.795,12.795,12.795,27.01.2016
-,-,-,12.795,28.01.2016
12.890,12.500,12.500,12.885,29.01.2016
12.600,12.600,12.500,12.500,01.02.2016
12.530,12.500,12.500,12.500,02.02.2016
-,-,-,12.500,03.02.2016
12.500,12.260,12.260,12.500,04.02.2016
12.500,12.500,12.500,12.500,05.02.2016
12.500,12.500,12.200,12.200,09.02.2016
12.480,12.205,12.200,12.480,10.02.2016
12.350,12.320,12.100,12.100,11.02.2016
12.110,12.110,11.800,11.800,12.02.2016
12.020,12.000,11.920,11.920,15.02.2016
12.015,12.000,12.000,12.000,16.02.2016
12.300,12.300,11.915,11.950,17.02.2016
12.000,12.000,12.000,12.000,18.02.2016
11.950,11.950,11.940,11.940,19.02.2016
12.190,12.185,12.100,12.150,22.02.2016
12.150,12.000,11.925,11.925,23.02.2016
12.000,12.000,11.805,11.805,24.02.2016
12.440,12.440,12.440,12.440,25.02.2016
12.500,12.430,12.430,12.500,26.02.2016
12.500,12.350,12.350,12.485,29.02.2016
12.320,12.260,12.165,12.165,01.03.2016
12.500,12.500,12.200,12.360,02.03.2016
12.490,12.400,12.215,12.235,03.03.2016
12.490,12.205,12.205,12.490,04.03.2016
12.700,12.500,12.455,12.700,07.03.2016
12.940,12.700,12.700,12.940,08.03.2016
12.945,12.885,12.750,12.945,09.03.2016
12.950,12.945,12.945,12.950,10.03.2016
13.700,13.000,13.000,13.700,11.03.2016
14.070,13.700,13.700,14.000,14.03.2016
14.100,14.070,13.950,14.000,15.03.2016
13.900,13.555,13.555,13.900,16.03.2016
14.010,14.000,14.000,14.010,17.03.2016
14.020,14.020,14.010,14.010,18.03.2016
14.020,14.020,14.000,14.000,21.03.2016
14.100,14.100,13.900,14.000,22.03.2016
14.200,14.000,14.000,14.200,23.03.2016
14.300,14.300,14.300,14.300,24.03.2016
14.320,14.040,14.040,14.320,29.03.2016
14.500,14.350,14.350,14.500,30.03.2016
14.505,14.500,14.450,14.500,31.03.2016
14.500,14.500,14.500,14.500,01.04.2016
14.305,14.305,14.300,14.300,04.04.2016
14.320,14.300,13.800,14.290,05.04.2016
14.250,14.060,14.060,14.250,06.04.2016
14.105,14.010,14.010,14.050,07.04.2016
14.100,14.100,14.100,14.100,08.04.2016
14.360,14.150,14.150,14.360,11.04.2016
14.450,14.430,14.420,14.450,12.04.2016
14.410,14.410,14.155,14.155,13.04.2016
14.550,14.250,14.250,14.550,14.04.2016
-,-,-,14.550,15.04.2016
14.780,14.250,14.250,14.550,18.04.2016
14.550,14.550,14.545,14.550,19.04.2016
14.600,14.600,14.550,14.560,20.04.2016
14.600,14.600,14.600,14.600,21.04.2016
14.790,14.790,14.510,14.510,22.04.2016
14.610,14.520,14.520,14.600,25.04.2016
14.600,14.600,14.600,14.600,26.04.2016
14.600,14.600,14.590,14.590,28.04.2016
14.795,14.300,14.300,14.795,29.04.2016
14.795,14.795,14.795,14.795,03.05.2016
14.770,14.500,14.500,14.770,04.05.2016
14.780,14.600,14.600,14.600,05.05.2016
-,-,-,14.600,06.05.2016
14.795,14.500,14.500,14.795,09.05.2016
14.690,14.685,14.520,14.690,10.05.2016
14.500,14.500,14.500,14.500,11.05.2016
14.600,14.590,14.590,14.600,12.05.2016
14.600,14.560,14.560,14.600,13.05.2016
14.700,14.695,14.370,14.370,16.05.2016
14.700,14.695,14.500,14.550,17.05.2016
14.700,14.700,14.700,14.700,18.05.2016
14.610,14.610,14.600,14.600,19.05.2016
14.550,14.510,14.490,14.500,20.05.2016
14.695,14.550,14.510,14.600,23.05.2016
14.600,14.600,14.200,14.200,24.05.2016
14.600,14.400,14.400,14.600,25.05.2016
14.510,14.510,14.500,14.500,26.05.2016
14.600,14.600,14.405,14.595,27.05.2016
14.600,14.550,14.550,14.600,30.05.2016
14.560,14.560,14.550,14.550,31.05.2016
14.550,14.550,14.360,14.450,01.06.2016
-,-,-,14.450,02.06.2016
14.300,14.300,14.300,14.300,03.06.2016
14.600,14.600,14.600,14.600,06.06.2016
14.590,14.590,14.400,14.400,07.06.2016
14.410,14.410,14.310,14.310,08.06.2016
14.405,14.310,14.310,14.405,09.06.2016
14.490,14.490,14.400,14.400,10.06.2016
14.500,14.500,14.400,14.400,13.06.2016
14.400,14.400,14.400,14.400,14.06.2016
14.350,14.350,14.250,14.250,15.06.2016
14.400,14.400,14.400,14.400,16.06.2016
14.400,14.400,14.400,14.400,17.06.2016
14.300,14.300,14.200,14.300,20.06.2016
14.590,14.030,14.030,14.590,21.06.2016
14.220,14.220,14.210,14.210,22.06.2016
14.500,14.220,14.220,14.500,23.06.2016
14.250,14.200,13.990,14.250,24.06.2016
14.000,14.000,13.900,13.900,27.06.2016
14.100,14.100,14.015,14.025,28.06.2016
14.495,14.400,14.110,14.110,29.06.2016
14.390,14.100,14.060,14.390,30.06.2016
14.580,14.580,14.000,14.240,01.07.2016
14.540,14.500,14.100,14.100,04.07.2016
14.535,14.070,14.070,14.300,05.07.2016
14.500,14.500,14.400,14.400,06.07.2016
14.500,14.500,14.500,14.500,07.07.2016
14.500,14.500,14.500,14.500,08.07.2016
14.230,14.230,14.225,14.225,11.07.2016
14.300,14.260,14.250,14.250,12.07.2016
14.400,14.350,14.350,14.400,13.07.2016
14.750,14.400,14.300,14.300,14.07.2016
14.600,14.600,14.600,14.600,15.07.2016
14.300,14.300,14.300,14.300,18.07.2016
14.300,14.240,14.225,14.300,19.07.2016
14.310,14.305,14.300,14.300,20.07.2016
14.270,14.270,14.250,14.250,21.07.2016
14.300,14.230,14.230,14.300,22.07.2016
14.500,14.400,14.400,14.500,25.07.2016
14.500,14.360,14.220,14.500,26.07.2016
14.310,14.310,14.245,14.300,27.07.2016
14.305,14.305,14.230,14.300,28.07.2016
14.485,14.485,14.300,14.360,29.07.2016
