najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,17.950,31.07.2015
-,-,-,17.950,03.08.2015
-,-,-,17.950,04.08.2015
-,-,-,17.950,05.08.2015
-,-,-,17.950,06.08.2015
-,-,-,17.950,07.08.2015
-,-,-,17.950,10.08.2015
-,-,-,17.950,11.08.2015
-,-,-,17.950,12.08.2015
-,-,-,17.950,13.08.2015
-,-,-,17.950,14.08.2015
-,-,-,17.950,17.08.2015
-,-,-,17.950,18.08.2015
-,-,-,17.950,19.08.2015
-,-,-,17.950,20.08.2015
-,-,-,17.950,21.08.2015
-,-,-,17.950,24.08.2015
-,-,-,17.950,25.08.2015
-,-,-,17.950,26.08.2015
-,-,-,17.950,27.08.2015
-,-,-,17.950,28.08.2015
-,-,-,17.950,31.08.2015
-,-,-,17.950,01.09.2015
-,-,-,17.950,02.09.2015
-,-,-,17.950,03.09.2015
-,-,-,17.950,04.09.2015
-,-,-,17.950,07.09.2015
-,-,-,17.950,08.09.2015
-,-,-,17.950,09.09.2015
-,-,-,17.950,10.09.2015
-,-,-,17.950,11.09.2015
-,-,-,17.950,14.09.2015
-,-,-,17.950,15.09.2015
-,-,-,17.950,16.09.2015
-,-,-,17.950,17.09.2015
-,-,-,17.950,18.09.2015
-,-,-,17.950,21.09.2015
-,-,-,17.950,22.09.2015
-,-,-,17.950,23.09.2015
-,-,-,17.950,24.09.2015
-,-,-,17.950,25.09.2015
-,-,-,17.950,28.09.2015
-,-,-,17.950,29.09.2015
-,-,-,17.950,30.09.2015
-,-,-,17.950,01.10.2015
-,-,-,17.950,02.10.2015
-,-,-,17.950,05.10.2015
-,-,-,17.950,06.10.2015
-,-,-,17.950,07.10.2015
-,-,-,17.950,08.10.2015
-,-,-,17.950,09.10.2015
-,-,-,17.950,12.10.2015
-,-,-,17.950,13.10.2015
-,-,-,17.950,14.10.2015
-,-,-,17.950,15.10.2015
-,-,-,17.950,16.10.2015
-,-,-,17.950,19.10.2015
-,-,-,17.950,20.10.2015
-,-,-,17.950,21.10.2015
-,-,-,17.950,22.10.2015
-,-,-,17.950,23.10.2015
-,-,-,17.950,26.10.2015
-,-,-,17.950,27.10.2015
-,-,-,17.950,28.10.2015
-,-,-,17.950,29.10.2015
-,-,-,17.950,30.10.2015
-,-,-,17.950,02.11.2015
-,-,-,17.950,03.11.2015
-,-,-,17.950,04.11.2015
-,-,-,17.950,05.11.2015
-,-,-,17.950,06.11.2015
-,-,-,17.950,09.11.2015
-,-,-,17.950,10.11.2015
-,-,-,17.950,11.11.2015
-,-,-,17.950,12.11.2015
-,-,-,17.950,13.11.2015
-,-,-,17.950,16.11.2015
-,-,-,17.950,17.11.2015
-,-,-,17.950,18.11.2015
-,-,-,17.950,19.11.2015
-,-,-,17.950,20.11.2015
-,-,-,17.950,23.11.2015
-,-,-,17.950,24.11.2015
-,-,-,17.950,25.11.2015
-,-,-,17.950,26.11.2015
-,-,-,17.950,27.11.2015
-,-,-,17.950,30.11.2015
-,-,-,17.950,01.12.2015
-,-,-,17.950,02.12.2015
-,-,-,17.950,03.12.2015
-,-,-,17.950,04.12.2015
-,-,-,17.950,07.12.2015
-,-,-,17.950,08.12.2015
-,-,-,17.950,09.12.2015
-,-,-,17.950,10.12.2015
-,-,-,17.950,11.12.2015
-,-,-,17.950,14.12.2015
-,-,-,17.950,15.12.2015
-,-,-,17.950,16.12.2015
-,-,-,17.950,17.12.2015
-,-,-,17.950,18.12.2015
-,-,-,17.950,21.12.2015
-,-,-,17.950,22.12.2015
-,-,-,17.950,23.12.2015
-,-,-,17.950,28.12.2015
-,-,-,17.950,29.12.2015
-,-,-,17.950,30.12.2015
-,-,-,17.950,04.01.2016
-,-,-,17.950,05.01.2016
-,-,-,17.950,06.01.2016
-,-,-,17.950,07.01.2016
-,-,-,17.950,08.01.2016
-,-,-,17.950,11.01.2016
-,-,-,17.950,12.01.2016
-,-,-,17.950,13.01.2016
-,-,-,17.950,14.01.2016
-,-,-,17.950,15.01.2016
-,-,-,17.950,18.01.2016
-,-,-,17.950,19.01.2016
-,-,-,17.950,20.01.2016
-,-,-,17.950,21.01.2016
-,-,-,17.950,22.01.2016
-,-,-,17.950,25.01.2016
-,-,-,17.950,26.01.2016
-,-,-,17.950,27.01.2016
-,-,-,17.950,28.01.2016
-,-,-,17.950,29.01.2016
17.950,17.950,17.950,17.950,01.02.2016
-,-,-,17.950,02.02.2016
-,-,-,17.950,03.02.2016
-,-,-,17.950,04.02.2016
-,-,-,17.950,05.02.2016
-,-,-,17.950,09.02.2016
