najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,2.510,31.07.2015
-,-,-,2.510,03.08.2015
-,-,-,2.510,04.08.2015
-,-,-,2.510,05.08.2015
-,-,-,2.510,06.08.2015
-,-,-,2.510,07.08.2015
-,-,-,2.510,10.08.2015
-,-,-,2.510,11.08.2015
-,-,-,2.510,12.08.2015
-,-,-,2.510,13.08.2015
-,-,-,2.510,14.08.2015
-,-,-,2.510,17.08.2015
-,-,-,2.510,18.08.2015
-,-,-,2.510,19.08.2015
-,-,-,2.510,20.08.2015
-,-,-,2.510,21.08.2015
-,-,-,2.510,24.08.2015
-,-,-,2.510,25.08.2015
-,-,-,2.510,26.08.2015
-,-,-,2.510,27.08.2015
-,-,-,2.510,28.08.2015
-,-,-,2.510,31.08.2015
-,-,-,2.510,01.09.2015
-,-,-,2.510,02.09.2015
-,-,-,2.510,03.09.2015
-,-,-,2.510,04.09.2015
-,-,-,2.510,07.09.2015
-,-,-,2.510,08.09.2015
-,-,-,2.510,09.09.2015
-,-,-,2.510,10.09.2015
-,-,-,2.510,11.09.2015
-,-,-,2.510,14.09.2015
-,-,-,2.510,15.09.2015
-,-,-,2.510,16.09.2015
-,-,-,2.510,17.09.2015
-,-,-,2.510,18.09.2015
-,-,-,2.510,21.09.2015
-,-,-,2.510,22.09.2015
-,-,-,2.510,23.09.2015
-,-,-,2.510,24.09.2015
-,-,-,2.510,25.09.2015
-,-,-,2.510,28.09.2015
-,-,-,2.510,29.09.2015
-,-,-,2.510,30.09.2015
-,-,-,2.510,01.10.2015
-,-,-,2.510,02.10.2015
-,-,-,2.510,05.10.2015
-,-,-,2.510,06.10.2015
-,-,-,2.510,07.10.2015
-,-,-,2.510,08.10.2015
-,-,-,2.510,09.10.2015
-,-,-,2.510,12.10.2015
-,-,-,2.510,13.10.2015
-,-,-,2.510,14.10.2015
-,-,-,2.510,15.10.2015
-,-,-,2.510,16.10.2015
-,-,-,2.510,19.10.2015
-,-,-,2.510,20.10.2015
-,-,-,2.510,21.10.2015
-,-,-,2.510,22.10.2015
-,-,-,2.510,23.10.2015
-,-,-,2.510,26.10.2015
-,-,-,2.510,27.10.2015
-,-,-,2.510,28.10.2015
-,-,-,2.510,29.10.2015
-,-,-,2.510,30.10.2015
-,-,-,2.510,02.11.2015
-,-,-,2.510,03.11.2015
-,-,-,2.510,04.11.2015
-,-,-,2.510,05.11.2015
-,-,-,2.510,06.11.2015
-,-,-,2.510,09.11.2015
-,-,-,2.510,10.11.2015
-,-,-,2.510,11.11.2015
-,-,-,2.510,12.11.2015
-,-,-,2.510,13.11.2015
-,-,-,2.510,16.11.2015
-,-,-,2.510,17.11.2015
-,-,-,2.510,18.11.2015
-,-,-,2.510,19.11.2015
-,-,-,2.510,20.11.2015
-,-,-,2.510,23.11.2015
-,-,-,2.510,24.11.2015
-,-,-,2.510,25.11.2015
-,-,-,2.510,26.11.2015
-,-,-,2.510,27.11.2015
-,-,-,2.510,30.11.2015
-,-,-,2.510,01.12.2015
-,-,-,2.510,02.12.2015
-,-,-,2.510,03.12.2015
-,-,-,2.510,04.12.2015
-,-,-,2.510,07.12.2015
-,-,-,2.510,08.12.2015
-,-,-,2.510,09.12.2015
-,-,-,2.510,10.12.2015
-,-,-,2.510,11.12.2015
-,-,-,2.510,14.12.2015
-,-,-,2.510,15.12.2015
-,-,-,2.510,16.12.2015
-,-,-,2.510,17.12.2015
-,-,-,2.510,18.12.2015
-,-,-,2.510,21.12.2015
-,-,-,2.510,22.12.2015
-,-,-,2.510,23.12.2015
-,-,-,2.510,28.12.2015
-,-,-,2.510,29.12.2015
-,-,-,2.510,30.12.2015
-,-,-,2.510,04.01.2016
-,-,-,2.510,05.01.2016
-,-,-,2.510,06.01.2016
-,-,-,2.510,07.01.2016
-,-,-,2.510,08.01.2016
-,-,-,2.510,11.01.2016
-,-,-,2.510,12.01.2016
-,-,-,2.510,13.01.2016
-,-,-,2.510,14.01.2016
