najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,99.65,31.07.2015
-,-,-,99.65,03.08.2015
-,-,-,99.65,04.08.2015
-,-,-,99.65,05.08.2015
-,-,-,99.65,06.08.2015
-,-,-,99.65,07.08.2015
-,-,-,99.65,10.08.2015
-,-,-,99.65,11.08.2015
-,-,-,99.65,12.08.2015
-,-,-,99.65,13.08.2015
-,-,-,99.65,14.08.2015
-,-,-,99.65,17.08.2015
-,-,-,99.65,18.08.2015
-,-,-,99.65,19.08.2015
-,-,-,99.65,20.08.2015
-,-,-,99.65,21.08.2015
-,-,-,99.65,24.08.2015
-,-,-,99.65,25.08.2015
-,-,-,99.65,26.08.2015
-,-,-,99.65,27.08.2015
-,-,-,99.65,28.08.2015
-,-,-,99.65,31.08.2015
-,-,-,99.65,01.09.2015
-,-,-,99.65,02.09.2015
-,-,-,99.65,03.09.2015
-,-,-,99.65,04.09.2015
-,-,-,99.65,07.09.2015
-,-,-,99.65,08.09.2015
-,-,-,99.65,09.09.2015
-,-,-,99.65,10.09.2015
-,-,-,99.65,11.09.2015
-,-,-,99.65,14.09.2015
-,-,-,99.65,15.09.2015
-,-,-,99.65,16.09.2015
-,-,-,99.65,17.09.2015
-,-,-,99.65,18.09.2015
-,-,-,99.65,21.09.2015
-,-,-,99.65,22.09.2015
-,-,-,99.65,23.09.2015
-,-,-,99.65,24.09.2015
-,-,-,99.65,25.09.2015
-,-,-,99.65,28.09.2015
-,-,-,99.65,29.09.2015
-,-,-,99.65,30.09.2015
-,-,-,99.65,01.10.2015
-,-,-,99.65,02.10.2015
-,-,-,99.65,05.10.2015
-,-,-,99.65,06.10.2015
-,-,-,99.65,07.10.2015
-,-,-,99.65,08.10.2015
-,-,-,99.65,09.10.2015
-,-,-,99.65,12.10.2015
-,-,-,99.65,13.10.2015
-,-,-,99.65,14.10.2015
-,-,-,99.65,15.10.2015
-,-,-,99.65,16.10.2015
-,-,-,99.65,19.10.2015
-,-,-,99.65,20.10.2015
-,-,-,99.65,21.10.2015
-,-,-,99.65,22.10.2015
-,-,-,99.65,23.10.2015
-,-,-,99.65,26.10.2015
-,-,-,99.65,27.10.2015
-,-,-,99.65,28.10.2015
-,-,-,99.65,29.10.2015
-,-,-,99.65,30.10.2015
-,-,-,99.65,02.11.2015
-,-,-,99.65,03.11.2015
-,-,-,99.65,04.11.2015
-,-,-,99.65,05.11.2015
-,-,-,99.65,06.11.2015
-,-,-,99.65,09.11.2015
-,-,-,99.65,10.11.2015
-,-,-,99.65,11.11.2015
-,-,-,99.65,12.11.2015
-,-,-,99.65,13.11.2015
-,-,-,99.65,16.11.2015
-,-,-,99.65,17.11.2015
-,-,-,99.65,18.11.2015
-,-,-,99.65,19.11.2015
-,-,-,99.65,20.11.2015
-,-,-,99.65,23.11.2015
-,-,-,99.65,24.11.2015
-,-,-,99.65,25.11.2015
-,-,-,99.65,26.11.2015
-,-,-,99.65,27.11.2015
-,-,-,99.65,30.11.2015
-,-,-,99.65,01.12.2015
-,-,-,99.65,02.12.2015
-,-,-,99.65,03.12.2015
-,-,-,99.65,04.12.2015
-,-,-,99.65,07.12.2015
-,-,-,99.65,08.12.2015
-,-,-,99.65,09.12.2015
-,-,-,99.65,10.12.2015
-,-,-,99.65,11.12.2015
-,-,-,99.65,14.12.2015
-,-,-,99.65,15.12.2015
-,-,-,99.65,16.12.2015
-,-,-,99.65,17.12.2015
-,-,-,99.65,18.12.2015
-,-,-,99.65,21.12.2015
-,-,-,99.65,22.12.2015
-,-,-,99.65,23.12.2015
-,-,-,99.65,28.12.2015
-,-,-,99.65,29.12.2015
-,-,-,99.65,30.12.2015
-,-,-,99.65,04.01.2016
-,-,-,99.65,05.01.2016
-,-,-,99.65,06.01.2016
-,-,-,99.65,07.01.2016
-,-,-,99.65,08.01.2016
-,-,-,99.65,11.01.2016
-,-,-,99.65,12.01.2016
-,-,-,99.65,13.01.2016
-,-,-,99.65,14.01.2016
-,-,-,99.65,15.01.2016
-,-,-,99.65,18.01.2016
-,-,-,99.65,19.01.2016
-,-,-,99.65,20.01.2016
-,-,-,99.65,21.01.2016
-,-,-,99.65,22.01.2016
-,-,-,99.65,25.01.2016
-,-,-,99.65,26.01.2016
-,-,-,99.65,27.01.2016
-,-,-,99.65,28.01.2016
-,-,-,99.65,29.01.2016
-,-,-,99.65,01.02.2016
-,-,-,99.65,02.02.2016
-,-,-,99.65,03.02.2016
-,-,-,99.65,04.02.2016
-,-,-,99.65,05.02.2016
-,-,-,99.65,09.02.2016
-,-,-,99.65,10.02.2016
-,-,-,99.65,11.02.2016
-,-,-,99.65,12.02.2016
-,-,-,99.65,15.02.2016
-,-,-,99.65,16.02.2016
-,-,-,99.65,17.02.2016
-,-,-,99.65,18.02.2016
-,-,-,99.65,19.02.2016
-,-,-,99.65,22.02.2016
-,-,-,99.65,23.02.2016
-,-,-,99.65,24.02.2016
-,-,-,99.65,25.02.2016
-,-,-,99.65,26.02.2016
-,-,-,99.65,29.02.2016
-,-,-,99.65,01.03.2016
-,-,-,99.65,02.03.2016
-,-,-,99.65,03.03.2016
-,-,-,99.65,04.03.2016
-,-,-,99.65,07.03.2016
-,-,-,99.65,08.03.2016
-,-,-,99.65,09.03.2016
-,-,-,99.65,10.03.2016
-,-,-,99.65,11.03.2016
-,-,-,99.65,14.03.2016
-,-,-,99.65,15.03.2016
-,-,-,99.65,16.03.2016
-,-,-,99.65,17.03.2016
-,-,-,99.65,18.03.2016
-,-,-,99.65,21.03.2016
-,-,-,99.65,22.03.2016
-,-,-,99.65,23.03.2016
-,-,-,99.65,24.03.2016
-,-,-,99.65,29.03.2016
-,-,-,99.65,30.03.2016
-,-,-,99.65,31.03.2016
-,-,-,99.65,01.04.2016
-,-,-,99.65,04.04.2016
-,-,-,99.65,05.04.2016
-,-,-,99.65,06.04.2016
-,-,-,99.65,07.04.2016
-,-,-,99.65,08.04.2016
-,-,-,99.65,11.04.2016
-,-,-,99.65,12.04.2016
-,-,-,99.65,13.04.2016
-,-,-,99.65,14.04.2016
-,-,-,99.65,15.04.2016
-,-,-,99.65,18.04.2016
-,-,-,99.65,19.04.2016
-,-,-,99.65,20.04.2016
-,-,-,99.65,21.04.2016
-,-,-,99.65,22.04.2016
-,-,-,99.65,25.04.2016
-,-,-,99.65,26.04.2016
-,-,-,99.65,28.04.2016
-,-,-,99.65,29.04.2016
-,-,-,99.65,03.05.2016
-,-,-,99.65,04.05.2016
-,-,-,99.65,05.05.2016
-,-,-,99.65,06.05.2016
-,-,-,99.65,09.05.2016
-,-,-,99.65,10.05.2016
-,-,-,99.65,11.05.2016
-,-,-,99.65,12.05.2016
-,-,-,99.65,13.05.2016
-,-,-,99.65,16.05.2016
-,-,-,99.65,17.05.2016
-,-,-,99.65,18.05.2016
-,-,-,99.65,19.05.2016
-,-,-,99.65,20.05.2016
-,-,-,99.65,23.05.2016
-,-,-,99.65,24.05.2016
-,-,-,99.65,25.05.2016
-,-,-,99.65,26.05.2016
-,-,-,99.65,27.05.2016
-,-,-,99.65,30.05.2016
-,-,-,99.65,31.05.2016
-,-,-,99.65,01.06.2016
-,-,-,99.65,02.06.2016
-,-,-,99.65,03.06.2016
-,-,-,99.65,06.06.2016
-,-,-,99.65,07.06.2016
-,-,-,99.65,08.06.2016
-,-,-,99.65,09.06.2016
-,-,-,99.65,10.06.2016
-,-,-,99.65,13.06.2016
-,-,-,99.65,14.06.2016
-,-,-,99.65,15.06.2016
-,-,-,99.65,16.06.2016
-,-,-,99.65,17.06.2016
-,-,-,99.65,20.06.2016
-,-,-,99.65,21.06.2016
-,-,-,99.65,22.06.2016
-,-,-,99.65,23.06.2016
-,-,-,99.65,24.06.2016
-,-,-,99.65,27.06.2016
-,-,-,99.65,28.06.2016
-,-,-,99.65,29.06.2016
-,-,-,99.65,30.06.2016
-,-,-,99.65,01.07.2016
-,-,-,99.65,04.07.2016
-,-,-,99.65,05.07.2016
-,-,-,99.65,06.07.2016
-,-,-,99.65,07.07.2016
-,-,-,99.65,08.07.2016
-,-,-,99.65,11.07.2016
-,-,-,99.65,12.07.2016
-,-,-,99.65,13.07.2016
-,-,-,99.65,14.07.2016
-,-,-,99.65,15.07.2016
-,-,-,99.65,18.07.2016
-,-,-,99.65,19.07.2016
-,-,-,99.65,20.07.2016
-,-,-,99.65,21.07.2016
-,-,-,99.65,22.07.2016
-,-,-,99.65,25.07.2016
-,-,-,99.65,26.07.2016
-,-,-,99.65,27.07.2016
-,-,-,99.65,28.07.2016
-,-,-,99.65,29.07.2016
