najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
339.00,339.00,339.00,339.00,31.07.2015
335.10,335.10,335.00,335.00,03.08.2015
-,-,-,335.00,04.08.2015
335.00,335.00,335.00,335.00,05.08.2015
337.00,331.60,331.60,337.00,06.08.2015
-,-,-,337.00,07.08.2015
337.00,337.00,337.00,337.00,10.08.2015
337.00,337.00,337.00,337.00,11.08.2015
-,-,-,337.00,12.08.2015
-,-,-,337.00,13.08.2015
380.00,380.00,337.50,337.50,14.08.2015
-,-,-,337.50,17.08.2015
-,-,-,337.50,18.08.2015
-,-,-,337.50,19.08.2015
337.50,337.50,333.00,333.00,20.08.2015
337.50,332.00,332.00,337.50,21.08.2015
331.00,331.00,320.00,330.00,24.08.2015
-,-,-,330.00,25.08.2015
-,-,-,330.00,26.08.2015
-,-,-,330.00,27.08.2015
325.00,325.00,325.00,325.00,28.08.2015
325.00,325.00,325.00,325.00,31.08.2015
-,-,-,325.00,01.09.2015
325.10,325.10,325.00,325.00,02.09.2015
335.00,335.00,335.00,335.00,03.09.2015
330.00,330.00,330.00,330.00,04.09.2015
330.00,330.00,330.00,330.00,07.09.2015
-,-,-,330.00,08.09.2015
-,-,-,330.00,09.09.2015
-,-,-,330.00,10.09.2015
325.00,325.00,325.00,325.00,11.09.2015
-,-,-,325.00,14.09.2015
-,-,-,325.00,15.09.2015
319.00,319.00,319.00,319.00,16.09.2015
320.00,320.00,320.00,320.00,17.09.2015
320.00,320.00,320.00,320.00,18.09.2015
-,-,-,320.00,21.09.2015
325.00,325.00,325.00,325.00,22.09.2015
-,-,-,325.00,23.09.2015
-,-,-,325.00,24.09.2015
-,-,-,325.00,25.09.2015
325.00,325.00,325.00,325.00,28.09.2015
-,-,-,325.00,29.09.2015
-,-,-,325.00,30.09.2015
320.50,320.50,320.50,320.50,01.10.2015
-,-,-,320.50,02.10.2015
325.00,325.00,325.00,325.00,05.10.2015
-,-,-,325.00,06.10.2015
326.00,326.00,326.00,326.00,07.10.2015
378.95,334.50,334.50,378.95,08.10.2015
-,-,-,378.95,09.10.2015
359.95,359.95,359.95,359.95,12.10.2015
-,-,-,359.95,13.10.2015
-,-,-,359.95,14.10.2015
-,-,-,359.95,15.10.2015
355.00,354.85,349.90,349.90,16.10.2015
-,-,-,349.90,19.10.2015
327.00,327.00,327.00,327.00,20.10.2015
330.00,330.00,327.00,327.00,21.10.2015
327.20,327.20,327.20,327.20,22.10.2015
340.00,340.00,340.00,340.00,23.10.2015
-,-,-,340.00,26.10.2015
-,-,-,340.00,27.10.2015
-,-,-,340.00,28.10.2015
-,-,-,340.00,29.10.2015
-,-,-,340.00,30.10.2015
-,-,-,340.00,02.11.2015
-,-,-,340.00,03.11.2015
-,-,-,340.00,04.11.2015
-,-,-,340.00,05.11.2015
340.00,339.00,339.00,340.00,06.11.2015
350.00,348.00,348.00,350.00,09.11.2015
350.00,350.00,350.00,350.00,10.11.2015
360.00,350.00,350.00,360.00,11.11.2015
-,-,-,360.00,12.11.2015
358.00,358.00,358.00,358.00,13.11.2015
360.00,358.00,357.00,360.00,16.11.2015
-,-,-,360.00,17.11.2015
356.00,355.55,355.55,356.00,18.11.2015
350.00,340.05,340.05,350.00,19.11.2015
-,-,-,350.00,20.11.2015
-,-,-,350.00,23.11.2015
-,-,-,350.00,24.11.2015
-,-,-,350.00,25.11.2015
340.05,340.05,340.00,340.00,26.11.2015
346.00,346.00,345.00,345.00,27.11.2015
342.10,342.10,342.00,342.00,30.11.2015
349.50,340.00,340.00,349.50,01.12.2015
341.00,341.00,341.00,341.00,02.12.2015
350.00,350.00,341.05,341.05,03.12.2015
342.00,342.00,341.05,341.05,04.12.2015
340.00,340.00,340.00,340.00,07.12.2015
340.00,340.00,340.00,340.00,08.12.2015
359.95,345.00,345.00,359.95,09.12.2015
354.00,354.00,345.00,345.00,10.12.2015
347.00,347.00,342.00,342.00,11.12.2015
342.00,342.00,342.00,342.00,14.12.2015
340.00,340.00,340.00,340.00,15.12.2015
342.00,342.00,342.00,342.00,16.12.2015
-,-,-,342.00,17.12.2015
-,-,-,342.00,18.12.2015
344.00,344.00,342.00,342.00,21.12.2015
342.00,342.00,342.00,342.00,22.12.2015
342.00,341.95,341.95,342.00,23.12.2015
342.00,342.00,342.00,342.00,28.12.2015
342.05,342.00,340.50,341.00,29.12.2015
342.00,340.00,338.00,342.00,30.12.2015
342.00,342.00,342.00,342.00,04.01.2016
342.15,342.15,342.00,342.00,05.01.2016
-,-,-,342.00,06.01.2016
343.50,342.00,342.00,343.50,07.01.2016
343.50,340.50,338.00,343.50,08.01.2016
343.50,343.50,335.00,341.00,11.01.2016
340.00,340.00,330.00,330.00,12.01.2016
-,-,-,330.00,13.01.2016
330.00,330.00,330.00,330.00,14.01.2016
-,-,-,330.00,15.01.2016
-,-,-,330.00,18.01.2016
330.05,330.05,330.00,330.00,19.01.2016
330.00,330.00,330.00,330.00,20.01.2016
329.95,329.95,329.95,329.95,21.01.2016
-,-,-,329.95,22.01.2016
-,-,-,329.95,25.01.2016
335.00,335.00,335.00,335.00,26.01.2016
340.00,340.00,340.00,340.00,27.01.2016
-,-,-,340.00,28.01.2016
340.00,340.00,340.00,340.00,29.01.2016
340.00,340.00,340.00,340.00,01.02.2016
-,-,-,340.00,02.02.2016
336.00,330.10,330.10,336.00,03.02.2016
-,-,-,336.00,04.02.2016
340.00,339.95,339.95,340.00,05.02.2016
-,-,-,340.00,09.02.2016
-,-,-,340.00,10.02.2016
340.00,336.05,336.05,340.00,11.02.2016
340.00,340.00,340.00,340.00,12.02.2016
343.00,343.00,343.00,343.00,15.02.2016
340.10,340.10,340.10,340.10,16.02.2016
-,-,-,340.10,17.02.2016
342.90,340.15,340.00,342.90,18.02.2016
342.95,336.20,330.00,336.10,19.02.2016
340.00,339.00,339.00,340.00,22.02.2016
340.00,340.00,340.00,340.00,23.02.2016
340.00,340.00,340.00,340.00,24.02.2016
345.00,345.00,345.00,345.00,25.02.2016
-,-,-,345.00,26.02.2016
345.00,345.00,345.00,345.00,29.02.2016
345.00,345.00,337.20,337.20,01.03.2016
337.50,337.50,335.50,335.50,02.03.2016
340.00,340.00,340.00,340.00,03.03.2016
340.15,340.00,340.00,340.10,04.03.2016
-,-,-,340.10,07.03.2016
350.00,345.00,345.00,350.00,08.03.2016
-,-,-,350.00,09.03.2016
-,-,-,350.00,10.03.2016
-,-,-,350.00,11.03.2016
-,-,-,350.00,14.03.2016
345.00,345.00,345.00,345.00,15.03.2016
360.00,358.50,358.50,360.00,16.03.2016
-,-,-,360.00,17.03.2016
355.00,355.00,355.00,355.00,18.03.2016
-,-,-,355.00,21.03.2016
362.00,362.00,362.00,362.00,22.03.2016
-,-,-,362.00,23.03.2016
366.00,363.00,363.00,366.00,24.03.2016
365.00,365.00,365.00,365.00,29.03.2016
-,-,-,365.00,30.03.2016
365.00,365.00,365.00,365.00,31.03.2016
-,-,-,365.00,01.04.2016
-,-,-,365.00,04.04.2016
-,-,-,365.00,05.04.2016
360.00,360.00,360.00,360.00,06.04.2016
-,-,-,360.00,07.04.2016
374.80,368.50,368.50,374.80,08.04.2016
