najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.350,31.07.2015
0.350,0.350,0.350,0.350,03.08.2015
-,-,-,0.350,04.08.2015
-,-,-,0.350,05.08.2015
-,-,-,0.350,06.08.2015
-,-,-,0.350,07.08.2015
-,-,-,0.350,10.08.2015
-,-,-,0.350,11.08.2015
-,-,-,0.350,12.08.2015
-,-,-,0.350,13.08.2015
-,-,-,0.350,14.08.2015
0.176,0.176,0.176,0.176,17.08.2015
-,-,-,0.176,18.08.2015
0.177,0.177,0.177,0.177,19.08.2015
0.177,0.177,0.177,0.177,20.08.2015
0.180,0.180,0.180,0.180,21.08.2015
-,-,-,0.180,24.08.2015
-,-,-,0.180,25.08.2015
-,-,-,0.180,26.08.2015
0.180,0.180,0.180,0.180,27.08.2015
0.180,0.180,0.180,0.180,28.08.2015
-,-,-,0.180,31.08.2015
-,-,-,0.180,01.09.2015
-,-,-,0.180,02.09.2015
-,-,-,0.180,03.09.2015
0.180,0.180,0.180,0.180,04.09.2015
0.319,0.319,0.319,0.319,07.09.2015
-,-,-,0.319,08.09.2015
0.319,0.319,0.319,0.319,09.09.2015
0.319,0.319,0.319,0.319,10.09.2015
0.319,0.319,0.319,0.319,11.09.2015
-,-,-,0.319,14.09.2015
-,-,-,0.319,15.09.2015
-,-,-,0.319,16.09.2015
-,-,-,0.319,17.09.2015
-,-,-,0.319,18.09.2015
-,-,-,0.319,21.09.2015
-,-,-,0.319,22.09.2015
-,-,-,0.319,23.09.2015
0.030,0.030,0.030,0.030,24.09.2015
0.031,0.031,0.031,0.031,25.09.2015
-,-,-,0.031,28.09.2015
0.041,0.041,0.041,0.041,29.09.2015
-,-,-,0.041,30.09.2015
0.050,0.050,0.050,0.050,01.10.2015
-,-,-,0.050,02.10.2015
0.240,0.240,0.240,0.240,05.10.2015
0.052,0.052,0.052,0.052,06.10.2015
0.050,0.050,0.050,0.050,07.10.2015
-,-,-,0.050,08.10.2015
-,-,-,0.050,09.10.2015
0.051,0.051,0.051,0.051,12.10.2015
0.110,0.110,0.110,0.110,13.10.2015
0.300,0.300,0.300,0.300,14.10.2015
0.300,0.300,0.300,0.300,15.10.2015
0.300,0.300,0.300,0.300,16.10.2015
0.175,0.175,0.175,0.175,19.10.2015
0.069,0.069,0.069,0.069,20.10.2015
-,-,-,0.069,21.10.2015
