tocke,datum
"749,58",31.07.2015
"742,76",03.08.2015
"735,35",05.08.2015
"731,42",06.08.2015
"729,92",10.08.2015
"738,39",11.08.2015
"735,13",12.08.2015
"737,16",13.08.2015
"738,07",14.08.2015
"744,14",17.08.2015
"739,96",18.08.2015
"731,73",21.08.2015
"697,09",24.08.2015
"688,15",26.08.2015
"692,44",31.08.2015
"690,18",01.09.2015
"690,68",02.09.2015
"686,35",04.09.2015
"686,86",07.09.2015
"685,23",08.09.2015
"685,21",09.09.2015
"684,58",10.09.2015
"680,40",11.09.2015
"685,47",14.09.2015
"673,98",15.09.2015
"665,95",16.09.2015
"658,31",17.09.2015
"653,84",18.09.2015
"646,68",21.09.2015
"650,62",22.09.2015
"653,30",23.09.2015
"663,32",24.09.2015
"669,74",25.09.2015
"668,33",28.09.2015
"668,61",29.09.2015
"668,47",30.09.2015
"670,97",01.10.2015
"670,77",02.10.2015
"675,64",05.10.2015
"670,10",06.10.2015
"664,19",07.10.2015
"666,68",08.10.2015
"673,74",09.10.2015
"678,53",12.10.2015
"675,53",13.10.2015
"673,76",14.10.2015
"672,09",15.10.2015
"675,28",16.10.2015
"678,53",19.10.2015
"679,91",20.10.2015
"681,70",21.10.2015
"676,88",22.10.2015
"688,04",23.10.2015
"693,30",26.10.2015
"693,37",27.10.2015
"690,97",28.10.2015
"692,12",29.10.2015
"691,94",30.10.2015
"694,72",02.11.2015
"699,54",03.11.2015
"702,28",04.11.2015
"703,17",05.11.2015
"703,72",06.11.2015
"705,40",09.11.2015
"707,78",10.11.2015
"708,49",11.11.2015
"703,24",13.11.2015
"690,55",16.11.2015
"690,87",17.11.2015
"690,65",18.11.2015
"694,62",19.11.2015
"701,13",20.11.2015
"698,98",23.11.2015
"701,53",24.11.2015
"699,48",25.11.2015
"702,61",26.11.2015
"703,76",27.11.2015
"693,72",30.11.2015
"694,13",01.12.2015
"696,14",02.12.2015
"702,20",03.12.2015
"699,01",04.12.2015
"697,13",07.12.2015
"693,30",08.12.2015
"689,55",09.12.2015
"684,94",10.12.2015
"682,93",11.12.2015
"676,70",14.12.2015
"678,40",15.12.2015
"683,04",16.12.2015
"690,15",17.12.2015
"688,24",18.12.2015
"685,02",22.12.2015
"690,19",23.12.2015
"692,40",28.12.2015
"689,27",29.12.2015
"696,15",30.12.2015
"705,18",04.01.2016
"702,75",05.01.2016
"695,39",06.01.2016
"684,96",07.01.2016
"681,03",08.01.2016
"680,53",11.01.2016
"676,09",12.01.2016
"679,41",13.01.2016
"668,03",14.01.2016
"670,11",15.01.2016
