najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
101.75,101.75,101.75,101.75,05.02.2016
-,-,-,101.75,09.02.2016
-,-,-,101.75,10.02.2016
-,-,-,101.75,11.02.2016
-,-,-,101.75,12.02.2016
-,-,-,101.75,15.02.2016
-,-,-,101.75,16.02.2016
-,-,-,101.75,17.02.2016
-,-,-,101.75,18.02.2016
-,-,-,101.75,19.02.2016
-,-,-,101.75,22.02.2016
-,-,-,101.75,23.02.2016
-,-,-,101.75,24.02.2016
-,-,-,101.75,25.02.2016
-,-,-,101.75,26.02.2016
-,-,-,101.75,29.02.2016
-,-,-,101.75,01.03.2016
-,-,-,101.75,02.03.2016
-,-,-,101.75,03.03.2016
-,-,-,101.75,04.03.2016
-,-,-,101.75,07.03.2016
101.80,101.80,101.80,101.80,08.03.2016
101.80,101.80,101.80,101.80,09.03.2016
-,-,-,101.80,10.03.2016
-,-,-,101.80,11.03.2016
-,-,-,101.80,14.03.2016
-,-,-,101.80,15.03.2016
-,-,-,101.80,16.03.2016
-,-,-,101.80,17.03.2016
-,-,-,101.80,18.03.2016
-,-,-,101.80,21.03.2016
-,-,-,101.80,22.03.2016
103.00,103.00,103.00,103.00,23.03.2016
-,-,-,103.00,24.03.2016
-,-,-,103.00,29.03.2016
105.09,105.09,105.09,105.09,30.03.2016
-,-,-,105.09,31.03.2016
-,-,-,105.09,01.04.2016
-,-,-,105.09,04.04.2016
-,-,-,105.09,05.04.2016
-,-,-,105.09,06.04.2016
-,-,-,105.09,07.04.2016
-,-,-,105.09,08.04.2016
104.00,104.00,104.00,104.00,11.04.2016
-,-,-,104.00,12.04.2016
-,-,-,104.00,13.04.2016
104.00,104.00,104.00,104.00,14.04.2016
104.00,104.00,104.00,104.00,15.04.2016
-,-,-,104.00,18.04.2016
-,-,-,104.00,19.04.2016
-,-,-,104.00,20.04.2016
-,-,-,104.00,21.04.2016
-,-,-,104.00,22.04.2016
-,-,-,104.00,25.04.2016
-,-,-,104.00,26.04.2016
-,-,-,104.00,28.04.2016
-,-,-,104.00,29.04.2016
-,-,-,104.00,03.05.2016
-,-,-,104.00,04.05.2016
-,-,-,104.00,05.05.2016
-,-,-,104.00,06.05.2016
-,-,-,104.00,09.05.2016
-,-,-,104.00,10.05.2016
-,-,-,104.00,11.05.2016
-,-,-,104.00,12.05.2016
104.00,104.00,104.00,104.00,13.05.2016
-,-,-,104.00,16.05.2016
-,-,-,104.00,17.05.2016
-,-,-,104.00,18.05.2016
-,-,-,104.00,19.05.2016
-,-,-,104.00,20.05.2016
103.50,103.50,103.50,103.50,23.05.2016
-,-,-,103.50,24.05.2016
-,-,-,103.50,25.05.2016
-,-,-,103.50,26.05.2016
-,-,-,103.50,27.05.2016
-,-,-,103.50,30.05.2016
103.50,103.50,103.50,103.50,31.05.2016
-,-,-,103.50,01.06.2016
-,-,-,103.50,02.06.2016
103.51,103.51,103.51,103.51,03.06.2016
-,-,-,103.51,06.06.2016
-,-,-,103.51,07.06.2016
-,-,-,103.51,08.06.2016
-,-,-,103.51,09.06.2016
-,-,-,103.51,10.06.2016
-,-,-,103.51,13.06.2016
103.50,103.50,103.50,103.50,14.06.2016
-,-,-,103.50,15.06.2016
104.00,104.00,104.00,104.00,16.06.2016
-,-,-,104.00,17.06.2016
-,-,-,104.00,20.06.2016
-,-,-,104.00,21.06.2016
105.00,105.00,105.00,105.00,22.06.2016
-,-,-,105.00,23.06.2016
-,-,-,105.00,24.06.2016
-,-,-,105.00,27.06.2016
-,-,-,105.00,28.06.2016
-,-,-,105.00,29.06.2016
105.00,105.00,105.00,105.00,30.06.2016
-,-,-,105.00,01.07.2016
104.00,104.00,104.00,104.00,04.07.2016
-,-,-,104.00,05.07.2016
-,-,-,104.00,06.07.2016
-,-,-,104.00,07.07.2016
-,-,-,104.00,08.07.2016
-,-,-,104.00,11.07.2016
104.00,104.00,104.00,104.00,12.07.2016
-,-,-,104.00,13.07.2016
-,-,-,104.00,14.07.2016
-,-,-,104.00,15.07.2016
-,-,-,104.00,18.07.2016
104.00,104.00,104.00,104.00,19.07.2016
-,-,-,104.00,20.07.2016
-,-,-,104.00,21.07.2016
-,-,-,104.00,22.07.2016
-,-,-,104.00,25.07.2016
-,-,-,104.00,26.07.2016
104.00,104.00,104.00,104.00,27.07.2016
-,-,-,104.00,28.07.2016
-,-,-,104.00,29.07.2016
