najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.300,31.07.2015
-,-,-,0.300,03.08.2015
-,-,-,0.300,04.08.2015
-,-,-,0.300,05.08.2015
0.300,0.300,0.300,0.300,06.08.2015
-,-,-,0.300,07.08.2015
-,-,-,0.300,10.08.2015
-,-,-,0.300,11.08.2015
-,-,-,0.300,12.08.2015
-,-,-,0.300,13.08.2015
-,-,-,0.300,14.08.2015
-,-,-,0.300,17.08.2015
-,-,-,0.300,18.08.2015
-,-,-,0.300,19.08.2015
-,-,-,0.300,20.08.2015
-,-,-,0.300,21.08.2015
-,-,-,0.300,24.08.2015
-,-,-,0.300,25.08.2015
-,-,-,0.300,26.08.2015
-,-,-,0.300,27.08.2015
-,-,-,0.300,28.08.2015
0.310,0.310,0.310,0.310,31.08.2015
-,-,-,0.310,01.09.2015
-,-,-,0.310,02.09.2015
-,-,-,0.310,03.09.2015
-,-,-,0.310,04.09.2015
-,-,-,0.310,07.09.2015
0.310,0.310,0.310,0.310,08.09.2015
-,-,-,0.310,09.09.2015
0.310,0.310,0.310,0.310,10.09.2015
-,-,-,0.310,11.09.2015
-,-,-,0.310,14.09.2015
-,-,-,0.310,15.09.2015
-,-,-,0.310,16.09.2015
-,-,-,0.310,17.09.2015
-,-,-,0.310,18.09.2015
-,-,-,0.310,21.09.2015
-,-,-,0.310,22.09.2015
-,-,-,0.310,23.09.2015
-,-,-,0.310,24.09.2015
0.310,0.310,0.310,0.310,25.09.2015
0.310,0.310,0.310,0.310,28.09.2015
-,-,-,0.310,29.09.2015
-,-,-,0.310,30.09.2015
-,-,-,0.310,01.10.2015
-,-,-,0.310,02.10.2015
-,-,-,0.310,05.10.2015
-,-,-,0.310,06.10.2015
-,-,-,0.310,07.10.2015
-,-,-,0.310,08.10.2015
-,-,-,0.310,09.10.2015
-,-,-,0.310,12.10.2015
-,-,-,0.310,13.10.2015
0.310,0.310,0.310,0.310,14.10.2015
-,-,-,0.310,15.10.2015
-,-,-,0.310,16.10.2015
-,-,-,0.310,19.10.2015
-,-,-,0.310,20.10.2015
-,-,-,0.310,21.10.2015
-,-,-,0.310,22.10.2015
-,-,-,0.310,23.10.2015
-,-,-,0.310,26.10.2015
-,-,-,0.310,27.10.2015
-,-,-,0.310,28.10.2015
0.310,0.310,0.310,0.310,29.10.2015
-,-,-,0.310,30.10.2015
-,-,-,0.310,02.11.2015
-,-,-,0.310,03.11.2015
-,-,-,0.310,04.11.2015
-,-,-,0.310,05.11.2015
-,-,-,0.310,06.11.2015
-,-,-,0.310,09.11.2015
-,-,-,0.310,10.11.2015
-,-,-,0.310,11.11.2015
-,-,-,0.310,12.11.2015
-,-,-,0.310,13.11.2015
0.310,0.310,0.310,0.310,16.11.2015
-,-,-,0.310,17.11.2015
-,-,-,0.310,18.11.2015
-,-,-,0.310,19.11.2015
-,-,-,0.310,20.11.2015
-,-,-,0.310,23.11.2015
0.310,0.310,0.310,0.310,24.11.2015
-,-,-,0.310,25.11.2015
-,-,-,0.310,26.11.2015
-,-,-,0.310,27.11.2015
0.320,0.320,0.320,0.320,30.11.2015
-,-,-,0.320,01.12.2015
-,-,-,0.320,02.12.2015
-,-,-,0.320,03.12.2015
-,-,-,0.320,04.12.2015
-,-,-,0.320,07.12.2015
-,-,-,0.320,08.12.2015
-,-,-,0.320,09.12.2015
-,-,-,0.320,10.12.2015
-,-,-,0.320,11.12.2015
0.320,0.320,0.320,0.320,14.12.2015
-,-,-,0.320,15.12.2015
-,-,-,0.320,16.12.2015
-,-,-,0.320,17.12.2015
-,-,-,0.320,18.12.2015
-,-,-,0.320,21.12.2015
-,-,-,0.320,22.12.2015
-,-,-,0.320,23.12.2015
-,-,-,0.320,28.12.2015
-,-,-,0.320,29.12.2015
-,-,-,0.320,30.12.2015
-,-,-,0.320,04.01.2016
0.310,0.310,0.310,0.310,05.01.2016
-,-,-,0.310,06.01.2016
-,-,-,0.310,07.01.2016
-,-,-,0.310,08.01.2016
0.300,0.300,0.300,0.300,11.01.2016
-,-,-,0.300,12.01.2016
0.300,0.300,0.300,0.300,13.01.2016
-,-,-,0.300,14.01.2016
0.300,0.300,0.300,0.300,15.01.2016
-,-,-,0.300,18.01.2016
-,-,-,0.300,19.01.2016
-,-,-,0.300,20.01.2016
-,-,-,0.300,21.01.2016
-,-,-,0.300,22.01.2016
-,-,-,0.300,25.01.2016
-,-,-,0.300,26.01.2016
-,-,-,0.300,27.01.2016
-,-,-,0.300,28.01.2016
0.300,0.300,0.300,0.300,29.01.2016
0.300,0.300,0.300,0.300,01.02.2016
-,-,-,0.300,02.02.2016
-,-,-,0.300,03.02.2016
-,-,-,0.300,04.02.2016
-,-,-,0.300,05.02.2016
-,-,-,0.300,09.02.2016
-,-,-,0.300,10.02.2016
-,-,-,0.300,11.02.2016
-,-,-,0.300,12.02.2016
-,-,-,0.300,15.02.2016
-,-,-,0.300,16.02.2016
0.300,0.300,0.300,0.300,17.02.2016
-,-,-,0.300,18.02.2016
-,-,-,0.300,19.02.2016
-,-,-,0.300,22.02.2016
-,-,-,0.300,23.02.2016
-,-,-,0.300,24.02.2016
-,-,-,0.300,25.02.2016
-,-,-,0.300,26.02.2016
-,-,-,0.300,29.02.2016
-,-,-,0.300,01.03.2016
-,-,-,0.300,02.03.2016
0.300,0.300,0.300,0.300,03.03.2016
-,-,-,0.300,04.03.2016
-,-,-,0.300,07.03.2016
0.300,0.300,0.300,0.300,08.03.2016
-,-,-,0.300,09.03.2016
0.300,0.300,0.300,0.300,10.03.2016
-,-,-,0.300,11.03.2016
-,-,-,0.300,14.03.2016
-,-,-,0.300,15.03.2016
-,-,-,0.300,16.03.2016
-,-,-,0.300,17.03.2016
-,-,-,0.300,18.03.2016
-,-,-,0.300,21.03.2016
-,-,-,0.300,22.03.2016
-,-,-,0.300,23.03.2016
-,-,-,0.300,24.03.2016
-,-,-,0.300,29.03.2016
-,-,-,0.300,30.03.2016
-,-,-,0.300,31.03.2016
0.300,0.300,0.300,0.300,01.04.2016
-,-,-,0.300,04.04.2016
0.300,0.300,0.300,0.300,05.04.2016
-,-,-,0.300,06.04.2016
-,-,-,0.300,07.04.2016
-,-,-,0.300,08.04.2016
-,-,-,0.300,11.04.2016
-,-,-,0.300,12.04.2016
-,-,-,0.300,13.04.2016
-,-,-,0.300,14.04.2016
-,-,-,0.300,15.04.2016
-,-,-,0.300,18.04.2016
-,-,-,0.300,19.04.2016
-,-,-,0.300,20.04.2016
-,-,-,0.300,21.04.2016
-,-,-,0.300,22.04.2016
-,-,-,0.300,25.04.2016
-,-,-,0.300,26.04.2016
-,-,-,0.300,28.04.2016
-,-,-,0.300,29.04.2016
-,-,-,0.300,03.05.2016
