najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,66.00,31.07.2015
-,-,-,66.00,03.08.2015
-,-,-,66.00,04.08.2015
-,-,-,66.00,05.08.2015
-,-,-,66.00,06.08.2015
-,-,-,66.00,07.08.2015
66.00,66.00,66.00,66.00,10.08.2015
-,-,-,66.00,11.08.2015
66.00,66.00,66.00,66.00,12.08.2015
-,-,-,66.00,13.08.2015
-,-,-,66.00,14.08.2015
-,-,-,66.00,17.08.2015
-,-,-,66.00,18.08.2015
-,-,-,66.00,19.08.2015
-,-,-,66.00,20.08.2015
-,-,-,66.00,21.08.2015
-,-,-,66.00,24.08.2015
-,-,-,66.00,25.08.2015
-,-,-,66.00,26.08.2015
-,-,-,66.00,27.08.2015
68.00,68.00,68.00,68.00,28.08.2015
-,-,-,68.00,31.08.2015
-,-,-,68.00,01.09.2015
-,-,-,68.00,02.09.2015
-,-,-,68.00,03.09.2015
-,-,-,68.00,04.09.2015
-,-,-,68.00,07.09.2015
-,-,-,68.00,08.09.2015
60.00,60.00,60.00,60.00,09.09.2015
-,-,-,60.00,10.09.2015
-,-,-,60.00,11.09.2015
-,-,-,60.00,14.09.2015
-,-,-,60.00,15.09.2015
58.10,58.10,58.10,58.10,16.09.2015
-,-,-,58.10,17.09.2015
-,-,-,58.10,18.09.2015
65.50,65.50,65.50,65.50,21.09.2015
-,-,-,65.50,22.09.2015
-,-,-,65.50,23.09.2015
-,-,-,65.50,24.09.2015
-,-,-,65.50,25.09.2015
-,-,-,65.50,28.09.2015
-,-,-,65.50,29.09.2015
-,-,-,65.50,30.09.2015
65.50,65.50,65.50,65.50,01.10.2015
-,-,-,65.50,02.10.2015
65.50,65.50,65.50,65.50,05.10.2015
65.72,65.72,65.72,65.72,06.10.2015
-,-,-,65.72,07.10.2015
-,-,-,65.72,08.10.2015
-,-,-,65.72,09.10.2015
-,-,-,65.72,12.10.2015
-,-,-,65.72,13.10.2015
-,-,-,65.72,14.10.2015
-,-,-,65.72,15.10.2015
63.13,63.13,63.13,63.13,16.10.2015
61.00,61.00,61.00,61.00,19.10.2015
-,-,-,61.00,20.10.2015
-,-,-,61.00,21.10.2015
61.30,61.30,61.30,61.30,22.10.2015
-,-,-,61.30,23.10.2015
63.40,63.40,63.40,63.40,26.10.2015
-,-,-,63.40,27.10.2015
-,-,-,63.40,28.10.2015
-,-,-,63.40,29.10.2015
61.00,61.00,61.00,61.00,30.10.2015
-,-,-,61.00,02.11.2015
-,-,-,61.00,03.11.2015
-,-,-,61.00,04.11.2015
-,-,-,61.00,05.11.2015
-,-,-,61.00,06.11.2015
58.60,58.60,58.60,58.60,09.11.2015
-,-,-,58.60,10.11.2015
-,-,-,58.60,11.11.2015
70.03,70.03,70.03,70.03,12.11.2015
-,-,-,70.03,13.11.2015
-,-,-,70.03,16.11.2015
-,-,-,70.03,17.11.2015
-,-,-,70.03,18.11.2015
-,-,-,70.03,19.11.2015
-,-,-,70.03,20.11.2015
-,-,-,70.03,23.11.2015
-,-,-,70.03,24.11.2015
-,-,-,70.03,25.11.2015
-,-,-,70.03,26.11.2015
70.03,70.03,70.03,70.03,27.11.2015
-,-,-,70.03,30.11.2015
-,-,-,70.03,01.12.2015
