najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.660,31.07.2015
-,-,-,0.660,03.08.2015
-,-,-,0.660,04.08.2015
-,-,-,0.660,05.08.2015
-,-,-,0.660,06.08.2015
-,-,-,0.660,07.08.2015
-,-,-,0.660,10.08.2015
-,-,-,0.660,11.08.2015
-,-,-,0.660,12.08.2015
-,-,-,0.660,13.08.2015
-,-,-,0.660,14.08.2015
-,-,-,0.660,17.08.2015
-,-,-,0.660,18.08.2015
-,-,-,0.660,19.08.2015
-,-,-,0.660,20.08.2015
-,-,-,0.660,21.08.2015
-,-,-,0.660,24.08.2015
-,-,-,0.660,25.08.2015
-,-,-,0.660,26.08.2015
-,-,-,0.660,27.08.2015
-,-,-,0.660,28.08.2015
-,-,-,0.660,31.08.2015
-,-,-,0.660,01.09.2015
-,-,-,0.660,02.09.2015
-,-,-,0.660,03.09.2015
-,-,-,0.660,04.09.2015
-,-,-,0.660,07.09.2015
0.660,0.660,0.660,0.660,08.09.2015
-,-,-,0.660,09.09.2015
0.660,0.660,0.660,0.660,10.09.2015
-,-,-,0.660,11.09.2015
-,-,-,0.660,14.09.2015
-,-,-,0.660,15.09.2015
-,-,-,0.660,16.09.2015
-,-,-,0.660,17.09.2015
-,-,-,0.660,18.09.2015
0.750,0.750,0.750,0.750,21.09.2015
-,-,-,0.750,22.09.2015
-,-,-,0.750,23.09.2015
-,-,-,0.750,24.09.2015
-,-,-,0.750,25.09.2015
-,-,-,0.750,28.09.2015
-,-,-,0.750,29.09.2015
-,-,-,0.750,30.09.2015
-,-,-,0.750,01.10.2015
-,-,-,0.750,02.10.2015
-,-,-,0.750,05.10.2015
-,-,-,0.750,06.10.2015
-,-,-,0.750,07.10.2015
-,-,-,0.750,08.10.2015
0.660,0.660,0.660,0.660,09.10.2015
0.700,0.700,0.700,0.700,12.10.2015
-,-,-,0.700,13.10.2015
-,-,-,0.700,14.10.2015
0.660,0.660,0.660,0.660,15.10.2015
-,-,-,0.660,16.10.2015
0.660,0.660,0.660,0.660,19.10.2015
0.660,0.660,0.660,0.660,20.10.2015
-,-,-,0.660,21.10.2015
-,-,-,0.660,22.10.2015
-,-,-,0.660,23.10.2015
-,-,-,0.660,26.10.2015
-,-,-,0.660,27.10.2015
-,-,-,0.660,28.10.2015
-,-,-,0.660,29.10.2015
-,-,-,0.660,30.10.2015
-,-,-,0.660,02.11.2015
-,-,-,0.660,03.11.2015
-,-,-,0.660,04.11.2015
-,-,-,0.660,05.11.2015
0.660,0.660,0.660,0.660,06.11.2015
-,-,-,0.660,09.11.2015
-,-,-,0.660,10.11.2015
-,-,-,0.660,11.11.2015
-,-,-,0.660,12.11.2015
0.660,0.660,0.660,0.660,13.11.2015
-,-,-,0.660,16.11.2015
-,-,-,0.660,17.11.2015
-,-,-,0.660,18.11.2015
-,-,-,0.660,19.11.2015
0.660,0.660,0.660,0.660,20.11.2015
-,-,-,0.660,23.11.2015
-,-,-,0.660,24.11.2015
-,-,-,0.660,25.11.2015
0.660,0.660,0.660,0.660,26.11.2015
-,-,-,0.660,27.11.2015
-,-,-,0.660,30.11.2015
-,-,-,0.660,01.12.2015
-,-,-,0.660,02.12.2015
-,-,-,0.660,03.12.2015
-,-,-,0.660,04.12.2015
-,-,-,0.660,07.12.2015
-,-,-,0.660,08.12.2015
-,-,-,0.660,09.12.2015
-,-,-,0.660,10.12.2015
-,-,-,0.660,11.12.2015
-,-,-,0.660,14.12.2015
-,-,-,0.660,15.12.2015
-,-,-,0.660,16.12.2015
-,-,-,0.660,17.12.2015
-,-,-,0.660,18.12.2015
-,-,-,0.660,21.12.2015
-,-,-,0.660,22.12.2015
-,-,-,0.660,23.12.2015
0.660,0.660,0.660,0.660,28.12.2015
-,-,-,0.660,29.12.2015
-,-,-,0.660,30.12.2015
-,-,-,0.660,04.01.2016
-,-,-,0.660,05.01.2016
-,-,-,0.660,06.01.2016
-,-,-,0.660,07.01.2016
-,-,-,0.660,08.01.2016
-,-,-,0.660,11.01.2016
-,-,-,0.660,12.01.2016
-,-,-,0.660,13.01.2016
-,-,-,0.660,14.01.2016
-,-,-,0.660,15.01.2016
-,-,-,0.660,18.01.2016
0.660,0.660,0.660,0.660,19.01.2016
-,-,-,0.660,20.01.2016
-,-,-,0.660,21.01.2016
0.660,0.660,0.660,0.660,22.01.2016
0.770,0.770,0.770,0.770,25.01.2016
-,-,-,0.770,26.01.2016
-,-,-,0.770,27.01.2016
0.600,0.600,0.600,0.600,28.01.2016
-,-,-,0.600,29.01.2016
-,-,-,0.600,01.02.2016
0.720,0.720,0.720,0.720,02.02.2016
-,-,-,0.720,03.02.2016
-,-,-,0.720,04.02.2016
-,-,-,0.720,05.02.2016
-,-,-,0.720,09.02.2016
-,-,-,0.720,10.02.2016
-,-,-,0.720,11.02.2016
-,-,-,0.720,12.02.2016
-,-,-,0.720,15.02.2016
-,-,-,0.720,16.02.2016
-,-,-,0.720,17.02.2016
-,-,-,0.720,18.02.2016
-,-,-,0.720,19.02.2016
0.660,0.660,0.660,0.660,22.02.2016
-,-,-,0.660,23.02.2016
0.660,0.660,0.660,0.660,24.02.2016
0.720,0.720,0.720,0.720,25.02.2016
-,-,-,0.720,26.02.2016
-,-,-,0.720,29.02.2016
0.650,0.650,0.650,0.650,01.03.2016
0.700,0.700,0.700,0.700,02.03.2016
0.650,0.650,0.650,0.650,03.03.2016
-,-,-,0.650,04.03.2016
-,-,-,0.650,07.03.2016
-,-,-,0.650,08.03.2016
-,-,-,0.650,09.03.2016
-,-,-,0.650,10.03.2016
0.660,0.660,0.660,0.660,11.03.2016
-,-,-,0.660,14.03.2016
-,-,-,0.660,15.03.2016
-,-,-,0.660,16.03.2016
-,-,-,0.660,17.03.2016
-,-,-,0.660,18.03.2016
-,-,-,0.660,21.03.2016
-,-,-,0.660,22.03.2016
-,-,-,0.660,23.03.2016
-,-,-,0.660,24.03.2016
-,-,-,0.660,29.03.2016
-,-,-,0.660,30.03.2016
-,-,-,0.660,31.03.2016
-,-,-,0.660,01.04.2016
0.660,0.660,0.660,0.660,04.04.2016
-,-,-,0.660,05.04.2016
-,-,-,0.660,06.04.2016
-,-,-,0.660,07.04.2016
-,-,-,0.660,08.04.2016
-,-,-,0.660,11.04.2016
-,-,-,0.660,12.04.2016
-,-,-,0.660,13.04.2016
-,-,-,0.660,14.04.2016
-,-,-,0.660,15.04.2016
-,-,-,0.660,18.04.2016
-,-,-,0.660,19.04.2016
-,-,-,0.660,20.04.2016
-,-,-,0.660,21.04.2016
-,-,-,0.660,22.04.2016
-,-,-,0.660,25.04.2016
-,-,-,0.660,26.04.2016
0.634,0.634,0.634,0.634,28.04.2016
0.660,0.660,0.660,0.660,29.04.2016
-,-,-,0.660,03.05.2016
-,-,-,0.660,04.05.2016
-,-,-,0.660,05.05.2016
-,-,-,0.660,06.05.2016
-,-,-,0.660,09.05.2016
-,-,-,0.660,10.05.2016
-,-,-,0.660,11.05.2016
-,-,-,0.660,12.05.2016
-,-,-,0.660,13.05.2016
-,-,-,0.660,16.05.2016
0.660,0.660,0.660,0.660,17.05.2016
-,-,-,0.660,18.05.2016
-,-,-,0.660,19.05.2016
-,-,-,0.660,20.05.2016
-,-,-,0.660,23.05.2016
-,-,-,0.660,24.05.2016
-,-,-,0.660,25.05.2016
-,-,-,0.660,26.05.2016
0.700,0.700,0.700,0.700,27.05.2016
-,-,-,0.700,30.05.2016
-,-,-,0.700,31.05.2016
-,-,-,0.700,01.06.2016
-,-,-,0.700,02.06.2016
-,-,-,0.700,03.06.2016
-,-,-,0.700,06.06.2016
0.700,0.700,0.700,0.700,07.06.2016
-,-,-,0.700,08.06.2016
-,-,-,0.700,09.06.2016
-,-,-,0.700,10.06.2016
-,-,-,0.700,13.06.2016
-,-,-,0.700,14.06.2016
-,-,-,0.700,15.06.2016
-,-,-,0.700,16.06.2016
-,-,-,0.700,17.06.2016
-,-,-,0.700,20.06.2016
-,-,-,0.700,21.06.2016
-,-,-,0.700,22.06.2016
-,-,-,0.700,23.06.2016
0.600,0.600,0.600,0.600,24.06.2016
0.660,0.660,0.660,0.660,27.06.2016
-,-,-,0.660,28.06.2016
-,-,-,0.660,29.06.2016
0.528,0.528,0.528,0.528,30.06.2016
0.659,0.659,0.659,0.659,01.07.2016
-,-,-,0.659,04.07.2016
-,-,-,0.659,05.07.2016
-,-,-,0.659,06.07.2016
-,-,-,0.659,07.07.2016
0.650,0.650,0.650,0.650,08.07.2016
-,-,-,0.650,11.07.2016
-,-,-,0.650,12.07.2016
0.660,0.660,0.660,0.660,13.07.2016
-,-,-,0.660,14.07.2016
-,-,-,0.660,15.07.2016
-,-,-,0.660,18.07.2016
-,-,-,0.660,19.07.2016
0.650,0.650,0.650,0.650,20.07.2016
-,-,-,0.650,21.07.2016
-,-,-,0.650,22.07.2016
-,-,-,0.650,25.07.2016
-,-,-,0.650,26.07.2016
-,-,-,0.650,27.07.2016
-,-,-,0.650,28.07.2016
-,-,-,0.650,29.07.2016
