najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,37.000,31.07.2015
-,-,-,37.000,03.08.2015
-,-,-,37.000,04.08.2015
-,-,-,37.000,05.08.2015
-,-,-,37.000,06.08.2015
-,-,-,37.000,07.08.2015
-,-,-,37.000,10.08.2015
-,-,-,37.000,11.08.2015
-,-,-,37.000,12.08.2015
-,-,-,37.000,13.08.2015
-,-,-,37.000,14.08.2015
-,-,-,37.000,17.08.2015
-,-,-,37.000,18.08.2015
-,-,-,37.000,19.08.2015
40.000,40.000,40.000,40.000,20.08.2015
-,-,-,40.000,21.08.2015
-,-,-,40.000,24.08.2015
-,-,-,40.000,25.08.2015
-,-,-,40.000,26.08.2015
-,-,-,40.000,27.08.2015
-,-,-,40.000,28.08.2015
-,-,-,40.000,31.08.2015
-,-,-,40.000,01.09.2015
-,-,-,40.000,02.09.2015
-,-,-,40.000,03.09.2015
39.000,39.000,39.000,39.000,04.09.2015
39.500,39.500,39.500,39.500,07.09.2015
38.950,38.950,38.950,38.950,08.09.2015
38.050,38.050,38.050,38.050,09.09.2015
38.990,38.990,38.990,38.990,10.09.2015
-,-,-,38.990,11.09.2015
-,-,-,38.990,14.09.2015
-,-,-,38.990,15.09.2015
-,-,-,38.990,16.09.2015
-,-,-,38.990,17.09.2015
-,-,-,38.990,18.09.2015
-,-,-,38.990,21.09.2015
36.900,36.900,36.900,36.900,22.09.2015
-,-,-,36.900,23.09.2015
-,-,-,36.900,24.09.2015
33.000,33.000,33.000,33.000,25.09.2015
-,-,-,33.000,28.09.2015
-,-,-,33.000,29.09.2015
33.000,33.000,33.000,33.000,30.09.2015
-,-,-,33.000,01.10.2015
33.030,33.030,33.030,33.030,02.10.2015
-,-,-,33.030,05.10.2015
-,-,-,33.030,06.10.2015
-,-,-,33.030,07.10.2015
-,-,-,33.030,08.10.2015
-,-,-,33.030,09.10.2015
-,-,-,33.030,12.10.2015
-,-,-,33.030,13.10.2015
-,-,-,33.030,14.10.2015
-,-,-,33.030,15.10.2015
-,-,-,33.030,16.10.2015
-,-,-,33.030,19.10.2015
-,-,-,33.030,20.10.2015
-,-,-,33.030,21.10.2015
-,-,-,33.030,22.10.2015
-,-,-,33.030,23.10.2015
-,-,-,33.030,26.10.2015
31.710,31.710,31.710,31.710,27.10.2015
-,-,-,31.710,28.10.2015
-,-,-,31.710,29.10.2015
32.500,32.500,32.500,32.500,30.10.2015
-,-,-,32.500,02.11.2015
-,-,-,32.500,03.11.2015
32.500,32.500,32.500,32.500,04.11.2015
-,-,-,32.500,05.11.2015
32.500,32.500,32.500,32.500,06.11.2015
-,-,-,32.500,09.11.2015
-,-,-,32.500,10.11.2015
32.500,32.500,32.500,32.500,11.11.2015
32.600,32.600,32.600,32.600,12.11.2015
32.600,32.600,32.600,32.600,13.11.2015
-,-,-,32.600,16.11.2015
32.600,32.600,32.600,32.600,17.11.2015
32.500,32.500,32.500,32.500,18.11.2015
-,-,-,32.500,19.11.2015
-,-,-,32.500,20.11.2015
-,-,-,32.500,23.11.2015
-,-,-,32.500,24.11.2015
-,-,-,32.500,25.11.2015
-,-,-,32.500,26.11.2015
-,-,-,32.500,27.11.2015
-,-,-,32.500,30.11.2015
-,-,-,32.500,01.12.2015
-,-,-,32.500,02.12.2015
34.500,34.500,34.500,34.500,03.12.2015
-,-,-,34.500,04.12.2015
30.030,30.030,30.030,30.030,07.12.2015
-,-,-,30.030,08.12.2015
-,-,-,30.030,09.12.2015
32.200,32.200,32.200,32.200,10.12.2015
-,-,-,32.200,11.12.2015
-,-,-,32.200,14.12.2015
-,-,-,32.200,15.12.2015
-,-,-,32.200,16.12.2015
32.200,32.200,32.200,32.200,17.12.2015
33.000,33.000,33.000,33.000,18.12.2015
34.000,34.000,34.000,34.000,21.12.2015
-,-,-,34.000,22.12.2015
34.000,34.000,34.000,34.000,23.12.2015
34.000,34.000,34.000,34.000,28.12.2015
34.200,34.200,34.200,34.200,29.12.2015
34.000,34.000,34.000,34.000,30.12.2015
-,-,-,34.000,04.01.2016
-,-,-,34.000,05.01.2016
-,-,-,34.000,06.01.2016
-,-,-,34.000,07.01.2016
-,-,-,34.000,08.01.2016
-,-,-,34.000,11.01.2016
-,-,-,34.000,12.01.2016
35.550,35.550,35.550,35.550,13.01.2016
-,-,-,35.550,14.01.2016
36.100,36.100,36.100,36.100,15.01.2016
37.900,37.900,37.900,37.900,18.01.2016
-,-,-,37.900,19.01.2016
-,-,-,37.900,20.01.2016
-,-,-,37.900,21.01.2016
-,-,-,37.900,22.01.2016
-,-,-,37.900,25.01.2016
-,-,-,37.900,26.01.2016
-,-,-,37.900,27.01.2016
-,-,-,37.900,28.01.2016
-,-,-,37.900,29.01.2016
-,-,-,37.900,01.02.2016
37.900,37.900,37.900,37.900,02.02.2016
-,-,-,37.900,03.02.2016
-,-,-,37.900,04.02.2016
-,-,-,37.900,05.02.2016
-,-,-,37.900,09.02.2016
-,-,-,37.900,10.02.2016
-,-,-,37.900,11.02.2016
-,-,-,37.900,12.02.2016
-,-,-,37.900,15.02.2016
-,-,-,37.900,16.02.2016
-,-,-,37.900,17.02.2016
-,-,-,37.900,18.02.2016
-,-,-,37.900,19.02.2016
-,-,-,37.900,22.02.2016
33.000,33.000,33.000,33.000,23.02.2016
-,-,-,33.000,24.02.2016
-,-,-,33.000,25.02.2016
-,-,-,33.000,26.02.2016
-,-,-,33.000,29.02.2016
-,-,-,33.000,01.03.2016
-,-,-,33.000,02.03.2016
-,-,-,33.000,03.03.2016
-,-,-,33.000,04.03.2016
-,-,-,33.000,07.03.2016
-,-,-,33.000,08.03.2016
-,-,-,33.000,09.03.2016
-,-,-,33.000,10.03.2016
-,-,-,33.000,11.03.2016
-,-,-,33.000,14.03.2016
-,-,-,33.000,15.03.2016
32.150,32.150,32.150,32.150,16.03.2016
-,-,-,32.150,17.03.2016
32.150,32.150,32.150,32.150,18.03.2016
-,-,-,32.150,21.03.2016
-,-,-,32.150,22.03.2016
-,-,-,32.150,23.03.2016
-,-,-,32.150,24.03.2016
36.050,36.050,36.050,36.050,29.03.2016
38.010,38.010,38.010,38.010,30.03.2016
40.000,40.000,40.000,40.000,31.03.2016
-,-,-,40.000,01.04.2016
-,-,-,40.000,04.04.2016
-,-,-,40.000,05.04.2016
-,-,-,40.000,06.04.2016
-,-,-,40.000,07.04.2016
-,-,-,40.000,08.04.2016
40.000,40.000,40.000,40.000,11.04.2016
37.050,37.050,37.050,37.050,12.04.2016
-,-,-,37.050,13.04.2016
-,-,-,37.050,14.04.2016
-,-,-,37.050,15.04.2016
-,-,-,37.050,18.04.2016
-,-,-,37.050,19.04.2016
-,-,-,37.050,20.04.2016
-,-,-,37.050,21.04.2016
-,-,-,37.050,22.04.2016
37.000,37.000,37.000,37.000,25.04.2016
-,-,-,37.000,26.04.2016
-,-,-,37.000,28.04.2016
-,-,-,37.000,29.04.2016
-,-,-,37.000,03.05.2016
-,-,-,37.000,04.05.2016
37.000,37.000,37.000,37.000,05.05.2016
-,-,-,37.000,06.05.2016
-,-,-,37.000,09.05.2016
-,-,-,37.000,10.05.2016
31.000,31.000,31.000,31.000,11.05.2016
-,-,-,31.000,12.05.2016
-,-,-,31.000,13.05.2016
-,-,-,31.000,16.05.2016
-,-,-,31.000,17.05.2016
-,-,-,31.000,18.05.2016
-,-,-,31.000,19.05.2016
-,-,-,31.000,20.05.2016
-,-,-,31.000,23.05.2016
-,-,-,31.000,24.05.2016
-,-,-,31.000,25.05.2016
-,-,-,31.000,26.05.2016
-,-,-,31.000,27.05.2016
-,-,-,31.000,30.05.2016
-,-,-,31.000,31.05.2016
40.020,40.020,40.020,40.020,01.06.2016
-,-,-,40.020,02.06.2016
-,-,-,40.020,03.06.2016
-,-,-,40.020,06.06.2016
-,-,-,40.020,07.06.2016
-,-,-,40.020,08.06.2016
-,-,-,40.020,09.06.2016
-,-,-,40.020,10.06.2016
-,-,-,40.020,13.06.2016
-,-,-,40.020,14.06.2016
-,-,-,40.020,15.06.2016
-,-,-,40.020,16.06.2016
-,-,-,40.020,17.06.2016
-,-,-,40.020,20.06.2016
-,-,-,40.020,21.06.2016
-,-,-,40.020,22.06.2016
-,-,-,40.020,23.06.2016
-,-,-,40.020,24.06.2016
33.100,33.100,33.100,33.100,27.06.2016
-,-,-,33.100,28.06.2016
-,-,-,33.100,29.06.2016
-,-,-,33.100,30.06.2016
33.100,33.100,33.100,33.100,01.07.2016
-,-,-,33.100,04.07.2016
33.100,33.100,33.100,33.100,05.07.2016
-,-,-,33.100,06.07.2016
-,-,-,33.100,07.07.2016
-,-,-,33.100,08.07.2016
-,-,-,33.100,11.07.2016
-,-,-,33.100,12.07.2016
-,-,-,33.100,13.07.2016
-,-,-,33.100,14.07.2016
-,-,-,33.100,15.07.2016
-,-,-,33.100,18.07.2016
-,-,-,33.100,19.07.2016
-,-,-,33.100,20.07.2016
-,-,-,33.100,21.07.2016
-,-,-,33.100,22.07.2016
-,-,-,33.100,25.07.2016
33.000,33.000,33.000,33.000,26.07.2016
-,-,-,33.000,27.07.2016
-,-,-,33.000,28.07.2016
-,-,-,33.000,29.07.2016
