najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.100,31.07.2015
-,-,-,0.100,03.08.2015
-,-,-,0.100,04.08.2015
-,-,-,0.100,05.08.2015
-,-,-,0.100,06.08.2015
-,-,-,0.100,07.08.2015
-,-,-,0.100,10.08.2015
-,-,-,0.100,11.08.2015
-,-,-,0.100,12.08.2015
-,-,-,0.100,13.08.2015
-,-,-,0.100,14.08.2015
-,-,-,0.100,17.08.2015
-,-,-,0.100,18.08.2015
-,-,-,0.100,19.08.2015
-,-,-,0.100,20.08.2015
-,-,-,0.100,21.08.2015
-,-,-,0.100,24.08.2015
-,-,-,0.100,25.08.2015
-,-,-,0.100,26.08.2015
-,-,-,0.100,27.08.2015
-,-,-,0.100,28.08.2015
-,-,-,0.100,31.08.2015
-,-,-,0.100,01.09.2015
-,-,-,0.100,02.09.2015
-,-,-,0.100,03.09.2015
-,-,-,0.100,04.09.2015
-,-,-,0.100,07.09.2015
-,-,-,0.100,08.09.2015
-,-,-,0.100,09.09.2015
-,-,-,0.100,10.09.2015
-,-,-,0.100,11.09.2015
1.020,1.020,1.020,1.020,14.09.2015
-,-,-,1.020,15.09.2015
-,-,-,1.020,16.09.2015
-,-,-,1.020,17.09.2015
-,-,-,1.020,18.09.2015
-,-,-,1.020,21.09.2015
-,-,-,1.020,22.09.2015
-,-,-,1.020,23.09.2015
-,-,-,1.020,24.09.2015
-,-,-,1.020,25.09.2015
1.000,1.000,1.000,1.000,28.09.2015
-,-,-,1.000,29.09.2015
-,-,-,1.000,30.09.2015
-,-,-,1.000,01.10.2015
-,-,-,1.000,02.10.2015
-,-,-,1.000,05.10.2015
-,-,-,1.000,06.10.2015
-,-,-,1.000,07.10.2015
-,-,-,1.000,08.10.2015
-,-,-,1.000,09.10.2015
-,-,-,1.000,12.10.2015
-,-,-,1.000,13.10.2015
-,-,-,1.000,14.10.2015
-,-,-,1.000,15.10.2015
-,-,-,1.000,16.10.2015
-,-,-,1.000,19.10.2015
-,-,-,1.000,20.10.2015
-,-,-,1.000,21.10.2015
-,-,-,1.000,22.10.2015
-,-,-,1.000,23.10.2015
-,-,-,1.000,26.10.2015
-,-,-,1.000,27.10.2015
-,-,-,1.000,28.10.2015
-,-,-,1.000,29.10.2015
-,-,-,1.000,30.10.2015
-,-,-,1.000,02.11.2015
