najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
94.00,93.80,93.00,94.00,31.07.2015
94.00,93.00,92.00,94.00,03.08.2015
95.90,95.90,94.00,94.00,04.08.2015
89.00,89.00,87.00,87.99,05.08.2015
87.99,87.99,84.96,84.96,06.08.2015
83.50,83.50,80.00,80.00,07.08.2015
80.50,80.10,79.20,80.10,10.08.2015
82.00,80.13,80.00,81.10,11.08.2015
83.00,83.00,81.60,81.60,12.08.2015
83.90,82.01,82.01,83.90,13.08.2015
85.99,83.00,83.00,85.99,14.08.2015
89.12,85.51,85.50,89.00,17.08.2015
88.99,85.55,85.55,86.20,18.08.2015
86.20,86.20,86.00,86.00,19.08.2015
86.99,86.00,84.52,86.00,20.08.2015
86.00,85.55,85.50,86.00,21.08.2015
86.00,86.00,82.00,82.00,24.08.2015
81.50,81.15,81.10,81.42,25.08.2015
81.21,81.21,81.21,81.21,26.08.2015
83.05,81.60,81.60,83.00,27.08.2015
84.94,83.21,83.21,83.90,28.08.2015
83.90,83.90,81.10,81.10,31.08.2015
81.50,81.50,81.20,81.20,01.09.2015
81.50,81.50,81.20,81.50,02.09.2015
81.00,80.00,80.00,80.50,03.09.2015
80.50,80.10,80.05,80.05,04.09.2015
81.50,81.50,80.50,80.50,07.09.2015
80.90,80.50,80.50,80.90,08.09.2015
80.98,80.90,80.00,80.00,09.09.2015
80.25,80.21,80.10,80.10,10.09.2015
80.00,80.00,79.40,79.50,11.09.2015
80.00,79.70,79.51,79.99,14.09.2015
79.00,79.00,77.50,78.00,15.09.2015
77.00,77.00,73.05,75.00,16.09.2015
75.95,75.95,73.50,73.55,17.09.2015
73.00,73.00,71.64,71.64,18.09.2015
72.00,71.02,71.00,71.00,21.09.2015
73.00,72.00,71.00,72.21,22.09.2015
72.75,72.21,72.00,72.50,23.09.2015
77.80,75.00,75.00,77.80,24.09.2015
79.90,79.90,77.50,79.50,25.09.2015
80.00,80.00,77.50,77.50,28.09.2015
77.00,77.00,74.05,77.00,29.09.2015
78.00,77.39,73.00,73.00,30.09.2015
76.00,76.00,74.00,74.50,01.10.2015
74.12,74.12,73.83,73.83,02.10.2015
76.00,76.00,74.50,74.50,05.10.2015
75.18,75.15,74.80,75.01,06.10.2015
75.10,75.10,73.23,73.24,07.10.2015
74.50,74.50,73.00,73.01,08.10.2015
73.10,73.01,73.00,73.06,09.10.2015
75.51,73.01,73.01,75.51,12.10.2015
76.50,74.50,74.50,76.50,13.10.2015
77.00,75.00,74.00,77.00,14.10.2015
76.50,76.50,75.10,75.10,15.10.2015
76.50,75.03,75.03,76.00,16.10.2015
78.00,78.00,76.00,76.00,19.10.2015
77.50,77.00,76.50,77.50,20.10.2015
77.00,77.00,77.00,77.00,21.10.2015
76.50,76.50,76.00,76.50,22.10.2015
77.98,77.98,77.80,77.80,23.10.2015
78.99,77.51,77.51,78.99,26.10.2015
81.00,81.00,78.99,79.50,27.10.2015
79.79,77.50,77.50,78.00,28.10.2015
80.75,78.00,78.00,80.75,29.10.2015
82.77,79.21,79.21,81.21,30.10.2015
82.99,82.99,78.16,78.16,02.11.2015
81.50,81.50,81.00,81.50,03.11.2015
82.48,81.50,81.50,82.48,04.11.2015
83.00,82.30,82.00,83.00,05.11.2015
84.85,82.01,82.00,84.85,06.11.2015
88.00,85.00,85.00,85.99,09.11.2015
87.00,87.00,85.00,85.50,10.11.2015
86.90,86.00,83.80,83.80,11.11.2015
86.00,85.00,84.39,85.40,12.11.2015
85.40,85.39,83.55,84.90,13.11.2015
84.00,84.00,81.00,81.00,16.11.2015
81.86,81.86,78.60,80.00,17.11.2015
80.50,79.95,79.95,80.00,18.11.2015
80.50,80.10,79.22,79.25,19.11.2015
81.74,80.00,80.00,80.50,20.11.2015
80.50,80.50,80.05,80.10,23.11.2015
81.00,80.00,79.16,80.12,24.11.2015
80.25,80.10,80.10,80.25,25.11.2015
81.50,81.50,80.54,81.30,26.11.2015
82.00,81.21,81.21,82.00,27.11.2015
82.01,82.01,80.00,80.00,30.11.2015
80.00,80.00,79.50,79.60,01.12.2015
79.51,79.51,78.55,78.55,02.12.2015
79.40,79.00,78.56,79.00,03.12.2015
79.00,78.61,78.61,79.00,04.12.2015
80.00,80.00,78.55,78.55,07.12.2015
78.95,78.49,77.50,77.50,08.12.2015
77.30,77.30,75.21,75.60,09.12.2015
76.00,75.80,74.22,75.20,10.12.2015
75.20,75.07,74.15,74.45,11.12.2015
75.00,74.00,73.00,73.80,14.12.2015
74.00,73.30,72.15,73.60,15.12.2015
73.90,73.03,73.03,73.80,16.12.2015
75.00,74.10,73.73,74.50,17.12.2015
75.00,74.95,74.22,74.25,18.12.2015
74.90,74.00,74.00,74.00,21.12.2015
74.40,74.01,73.74,74.00,22.12.2015
74.01,74.01,73.50,73.95,23.12.2015
73.90,73.78,72.57,73.05,28.12.2015
73.40,73.12,72.86,73.35,29.12.2015
73.70,73.40,73.01,73.01,30.12.2015
82.90,82.90,82.90,82.90,04.01.2016
77.90,77.90,75.01,77.00,05.01.2016
77.50,77.20,76.00,76.00,06.01.2016
75.07,75.07,73.50,73.60,07.01.2016
75.00,75.00,73.50,73.95,08.01.2016
74.98,73.12,73.12,74.98,11.01.2016
74.98,73.53,73.52,74.01,12.01.2016
74.50,74.00,73.21,74.50,13.01.2016
74.50,73.70,73.07,73.60,14.01.2016
74.00,73.08,72.80,73.19,15.01.2016
72.80,72.80,72.10,72.74,18.01.2016
72.74,72.21,72.20,72.74,19.01.2016
72.25,72.25,71.00,71.00,20.01.2016
71.49,70.05,70.02,70.50,21.01.2016
74.50,72.50,72.10,72.50,22.01.2016
74.00,72.50,72.50,73.10,25.01.2016
74.50,73.01,72.00,72.02,26.01.2016
73.00,72.00,72.00,73.00,27.01.2016
73.00,73.00,72.75,72.99,28.01.2016
73.00,73.00,72.50,72.50,29.01.2016
73.50,73.00,73.00,73.00,01.02.2016
73.50,73.50,72.80,72.80,02.02.2016
72.99,72.50,72.25,72.99,03.02.2016
73.00,72.50,72.50,72.50,04.02.2016
73.69,72.50,72.50,73.50,05.02.2016
73.00,72.60,72.30,72.50,09.02.2016
74.48,72.50,72.50,74.48,10.02.2016
74.80,72.21,72.21,73.00,11.02.2016
73.00,73.00,72.20,72.21,12.02.2016
73.39,72.80,72.65,73.39,15.02.2016
74.00,73.99,73.00,73.00,16.02.2016
73.40,73.25,72.50,72.55,17.02.2016
73.00,72.50,72.41,72.41,18.02.2016
72.51,72.50,72.23,72.51,19.02.2016
73.44,73.00,72.70,73.43,22.02.2016
73.40,73.00,73.00,73.40,23.02.2016
73.38,73.00,72.80,72.99,24.02.2016
73.90,73.00,73.00,73.90,25.02.2016
74.00,73.00,73.00,73.49,26.02.2016
73.50,73.13,73.11,73.25,29.02.2016
74.90,74.90,73.38,74.20,01.03.2016
