najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,11.000,31.07.2015
11.000,11.000,11.000,11.000,03.08.2015
-,-,-,11.000,04.08.2015
10.010,10.010,10.010,10.010,05.08.2015
10.000,10.000,10.000,10.000,06.08.2015
-,-,-,10.000,07.08.2015
10.000,10.000,10.000,10.000,10.08.2015
-,-,-,10.000,11.08.2015
10.000,10.000,10.000,10.000,12.08.2015
10.000,10.000,10.000,10.000,13.08.2015
-,-,-,10.000,14.08.2015
-,-,-,10.000,17.08.2015
10.010,10.010,10.010,10.010,18.08.2015
-,-,-,10.010,19.08.2015
-,-,-,10.010,20.08.2015
-,-,-,10.010,21.08.2015
-,-,-,10.010,24.08.2015
-,-,-,10.010,25.08.2015
-,-,-,10.010,26.08.2015
-,-,-,10.010,27.08.2015
-,-,-,10.010,28.08.2015
-,-,-,10.010,31.08.2015
10.000,10.000,10.000,10.000,01.09.2015
-,-,-,10.000,02.09.2015
-,-,-,10.000,03.09.2015
-,-,-,10.000,04.09.2015
-,-,-,10.000,07.09.2015
-,-,-,10.000,08.09.2015
8.500,8.500,8.500,8.500,09.09.2015
-,-,-,8.500,10.09.2015
8.600,8.600,8.600,8.600,11.09.2015
-,-,-,8.600,14.09.2015
-,-,-,8.600,15.09.2015
8.510,8.510,8.510,8.510,16.09.2015
-,-,-,8.510,17.09.2015
8.500,8.500,8.500,8.500,18.09.2015
8.600,8.600,8.600,8.600,21.09.2015
-,-,-,8.600,22.09.2015
8.600,8.600,8.600,8.600,23.09.2015
8.610,8.610,8.610,8.610,24.09.2015
8.600,8.600,8.600,8.600,25.09.2015
-,-,-,8.600,28.09.2015
-,-,-,8.600,29.09.2015
-,-,-,8.600,30.09.2015
-,-,-,8.600,01.10.2015
-,-,-,8.600,02.10.2015
-,-,-,8.600,05.10.2015
-,-,-,8.600,06.10.2015
9.600,9.600,9.600,9.600,07.10.2015
9.220,9.220,9.220,9.220,08.10.2015
9.300,9.300,9.300,9.300,09.10.2015
-,-,-,9.300,12.10.2015
9.650,9.100,9.000,9.650,13.10.2015
-,-,-,9.650,14.10.2015
-,-,-,9.650,15.10.2015
-,-,-,9.650,16.10.2015
-,-,-,9.650,19.10.2015
-,-,-,9.650,20.10.2015
-,-,-,9.650,21.10.2015
-,-,-,9.650,22.10.2015
-,-,-,9.650,23.10.2015
-,-,-,9.650,26.10.2015
-,-,-,9.650,27.10.2015
-,-,-,9.650,28.10.2015
-,-,-,9.650,29.10.2015
-,-,-,9.650,30.10.2015
-,-,-,9.650,02.11.2015
-,-,-,9.650,03.11.2015
-,-,-,9.650,04.11.2015
-,-,-,9.650,05.11.2015
-,-,-,9.650,06.11.2015
-,-,-,9.650,09.11.2015
8.200,8.200,8.200,8.200,10.11.2015
-,-,-,8.200,11.11.2015
-,-,-,8.200,12.11.2015
-,-,-,8.200,13.11.2015
-,-,-,8.200,16.11.2015
-,-,-,8.200,17.11.2015
-,-,-,8.200,18.11.2015
8.500,8.500,8.500,8.500,19.11.2015
8.900,8.840,8.840,8.900,20.11.2015
9.000,8.900,8.900,9.000,23.11.2015
9.890,9.200,9.000,9.890,24.11.2015
9.250,8.500,8.500,9.200,25.11.2015
9.200,9.200,9.200,9.200,26.11.2015
9.100,9.100,9.100,9.100,27.11.2015
9.800,9.800,9.800,9.800,30.11.2015
10.500,10.000,9.800,10.045,01.12.2015
10.640,10.450,10.300,10.300,02.12.2015
10.950,10.710,10.520,10.520,03.12.2015
11.000,10.500,10.500,11.000,04.12.2015
11.000,10.950,10.810,10.810,07.12.2015
11.490,11.240,11.000,11.000,08.12.2015
11.000,11.000,10.700,10.950,09.12.2015
11.000,11.000,11.000,11.000,10.12.2015
-,-,-,11.000,11.12.2015
9.150,9.150,9.150,9.150,14.12.2015
10.500,10.500,10.500,10.500,15.12.2015
-,-,-,10.500,16.12.2015
10.920,10.500,10.500,10.920,17.12.2015
-,-,-,10.920,18.12.2015
10.870,10.870,10.600,10.600,21.12.2015
10.950,10.950,10.720,10.950,22.12.2015
11.300,10.990,10.990,11.010,23.12.2015
11.200,10.810,10.810,11.200,28.12.2015
11.150,11.150,11.150,11.150,29.12.2015
11.150,11.150,11.150,11.150,30.12.2015
11.000,11.000,11.000,11.000,04.01.2016
11.400,11.250,11.250,11.400,05.01.2016
11.115,11.115,11.115,11.115,06.01.2016
-,-,-,11.115,07.01.2016
-,-,-,11.115,08.01.2016
-,-,-,11.115,11.01.2016
11.000,11.000,11.000,11.000,12.01.2016
-,-,-,11.000,13.01.2016
-,-,-,11.000,14.01.2016
11.250,10.500,10.500,11.250,15.01.2016
-,-,-,11.250,18.01.2016
-,-,-,11.250,19.01.2016
-,-,-,11.250,20.01.2016
-,-,-,11.250,21.01.2016
10.800,10.800,10.800,10.800,22.01.2016
