najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,0.147,31.07.2015
-,-,-,0.147,03.08.2015
-,-,-,0.147,04.08.2015
-,-,-,0.147,05.08.2015
-,-,-,0.147,06.08.2015
-,-,-,0.147,07.08.2015
-,-,-,0.147,10.08.2015
-,-,-,0.147,11.08.2015
-,-,-,0.147,12.08.2015
-,-,-,0.147,13.08.2015
-,-,-,0.147,14.08.2015
-,-,-,0.147,17.08.2015
-,-,-,0.147,18.08.2015
-,-,-,0.147,19.08.2015
-,-,-,0.147,20.08.2015
-,-,-,0.147,21.08.2015
-,-,-,0.147,24.08.2015
-,-,-,0.147,25.08.2015
-,-,-,0.147,26.08.2015
-,-,-,0.147,27.08.2015
-,-,-,0.147,28.08.2015
-,-,-,0.147,31.08.2015
-,-,-,0.147,01.09.2015
-,-,-,0.147,02.09.2015
-,-,-,0.147,03.09.2015
-,-,-,0.147,04.09.2015
-,-,-,0.147,07.09.2015
-,-,-,0.147,08.09.2015
-,-,-,0.147,09.09.2015
-,-,-,0.147,10.09.2015
-,-,-,0.147,11.09.2015
-,-,-,0.147,14.09.2015
-,-,-,0.147,15.09.2015
-,-,-,0.147,16.09.2015
-,-,-,0.147,17.09.2015
-,-,-,0.147,18.09.2015
-,-,-,0.147,21.09.2015
-,-,-,0.147,22.09.2015
-,-,-,0.147,23.09.2015
-,-,-,0.147,24.09.2015
-,-,-,0.147,25.09.2015
-,-,-,0.147,28.09.2015
-,-,-,0.147,29.09.2015
-,-,-,0.147,30.09.2015
-,-,-,0.147,01.10.2015
-,-,-,0.147,02.10.2015
-,-,-,0.147,05.10.2015
-,-,-,0.147,06.10.2015
-,-,-,0.147,07.10.2015
-,-,-,0.147,08.10.2015
-,-,-,0.147,09.10.2015
-,-,-,0.147,12.10.2015
-,-,-,0.147,13.10.2015
-,-,-,0.147,14.10.2015
-,-,-,0.147,15.10.2015
-,-,-,0.147,16.10.2015
-,-,-,0.147,19.10.2015
-,-,-,0.147,20.10.2015
-,-,-,0.147,21.10.2015
-,-,-,0.147,22.10.2015
-,-,-,0.147,23.10.2015
-,-,-,0.147,26.10.2015
-,-,-,0.147,27.10.2015
-,-,-,0.147,28.10.2015
-,-,-,0.147,29.10.2015
-,-,-,0.147,30.10.2015
-,-,-,0.147,02.11.2015
-,-,-,0.147,03.11.2015
-,-,-,0.147,04.11.2015
-,-,-,0.147,05.11.2015
-,-,-,0.147,06.11.2015
-,-,-,0.147,09.11.2015
-,-,-,0.147,10.11.2015
-,-,-,0.147,11.11.2015
0.099,0.099,0.099,0.099,12.11.2015
-,-,-,0.099,13.11.2015
-,-,-,0.099,16.11.2015
0.099,0.099,0.099,0.099,17.11.2015
-,-,-,0.099,18.11.2015
-,-,-,0.099,19.11.2015
-,-,-,0.099,20.11.2015
-,-,-,0.099,23.11.2015
-,-,-,0.099,24.11.2015
-,-,-,0.099,25.11.2015
-,-,-,0.099,26.11.2015
-,-,-,0.099,27.11.2015
-,-,-,0.099,30.11.2015
-,-,-,0.099,01.12.2015
-,-,-,0.099,02.12.2015
-,-,-,0.099,03.12.2015
-,-,-,0.099,04.12.2015
-,-,-,0.099,07.12.2015
-,-,-,0.099,08.12.2015
-,-,-,0.099,09.12.2015
-,-,-,0.099,10.12.2015
-,-,-,0.099,11.12.2015
-,-,-,0.099,14.12.2015
-,-,-,0.099,15.12.2015
-,-,-,0.099,16.12.2015
-,-,-,0.099,17.12.2015
-,-,-,0.099,18.12.2015
-,-,-,0.099,21.12.2015
-,-,-,0.099,22.12.2015
-,-,-,0.099,23.12.2015
-,-,-,0.099,28.12.2015
-,-,-,0.099,29.12.2015
-,-,-,0.099,30.12.2015
-,-,-,0.099,04.01.2016
0.099,0.099,0.099,0.099,05.01.2016
-,-,-,0.099,06.01.2016
-,-,-,0.099,07.01.2016
0.100,0.100,0.100,0.100,08.01.2016
-,-,-,0.100,11.01.2016
-,-,-,0.100,12.01.2016
-,-,-,0.100,13.01.2016
-,-,-,0.100,14.01.2016
-,-,-,0.100,15.01.2016
-,-,-,0.100,18.01.2016
0.150,0.150,0.150,0.150,19.01.2016
-,-,-,0.150,20.01.2016
-,-,-,0.150,21.01.2016
-,-,-,0.150,22.01.2016
-,-,-,0.150,25.01.2016
-,-,-,0.150,26.01.2016
-,-,-,0.150,27.01.2016
-,-,-,0.150,28.01.2016
-,-,-,0.150,29.01.2016
-,-,-,0.150,01.02.2016
-,-,-,0.150,02.02.2016
-,-,-,0.150,03.02.2016
-,-,-,0.150,04.02.2016
-,-,-,0.150,05.02.2016
-,-,-,0.150,09.02.2016
-,-,-,0.150,10.02.2016
-,-,-,0.150,11.02.2016
-,-,-,0.150,12.02.2016
-,-,-,0.150,15.02.2016
-,-,-,0.150,16.02.2016
-,-,-,0.150,17.02.2016
-,-,-,0.150,18.02.2016
-,-,-,0.150,19.02.2016
-,-,-,0.150,22.02.2016
-,-,-,0.150,23.02.2016
-,-,-,0.150,24.02.2016
-,-,-,0.150,25.02.2016
-,-,-,0.150,26.02.2016
-,-,-,0.150,29.02.2016
-,-,-,0.150,01.03.2016
0.140,0.140,0.140,0.140,02.03.2016
0.150,0.150,0.150,0.150,03.03.2016
-,-,-,0.150,04.03.2016
-,-,-,0.150,07.03.2016
-,-,-,0.150,08.03.2016
-,-,-,0.150,09.03.2016
-,-,-,0.150,10.03.2016
-,-,-,0.150,11.03.2016
-,-,-,0.150,14.03.2016
-,-,-,0.150,15.03.2016
-,-,-,0.150,16.03.2016
-,-,-,0.150,17.03.2016
-,-,-,0.150,18.03.2016
-,-,-,0.150,21.03.2016
-,-,-,0.150,22.03.2016
-,-,-,0.150,23.03.2016
-,-,-,0.150,24.03.2016
-,-,-,0.150,29.03.2016
-,-,-,0.150,30.03.2016
-,-,-,0.150,31.03.2016
-,-,-,0.150,01.04.2016
-,-,-,0.150,04.04.2016
-,-,-,0.150,05.04.2016
-,-,-,0.150,06.04.2016
-,-,-,0.150,07.04.2016
-,-,-,0.150,08.04.2016
-,-,-,0.150,11.04.2016
-,-,-,0.150,12.04.2016
-,-,-,0.150,13.04.2016
-,-,-,0.150,14.04.2016
-,-,-,0.150,15.04.2016
-,-,-,0.150,18.04.2016
-,-,-,0.150,19.04.2016
-,-,-,0.150,20.04.2016
-,-,-,0.150,21.04.2016
-,-,-,0.150,22.04.2016
-,-,-,0.150,25.04.2016
-,-,-,0.150,26.04.2016
-,-,-,0.150,28.04.2016
-,-,-,0.150,29.04.2016
0.150,0.150,0.150,0.150,03.05.2016
-,-,-,0.150,04.05.2016
-,-,-,0.150,05.05.2016
-,-,-,0.150,06.05.2016
-,-,-,0.150,09.05.2016
-,-,-,0.150,10.05.2016
-,-,-,0.150,11.05.2016
0.050,0.050,0.050,0.050,12.05.2016
-,-,-,0.050,13.05.2016
-,-,-,0.050,16.05.2016
-,-,-,0.050,17.05.2016
-,-,-,0.050,18.05.2016
0.050,0.050,0.050,0.050,19.05.2016
-,-,-,0.050,20.05.2016
-,-,-,0.050,23.05.2016
-,-,-,0.050,24.05.2016
-,-,-,0.050,25.05.2016
-,-,-,0.050,26.05.2016
0.050,0.050,0.050,0.050,27.05.2016
-,-,-,0.050,30.05.2016
-,-,-,0.050,31.05.2016
