najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
-,-,-,3.200,31.07.2015
-,-,-,3.200,03.08.2015
-,-,-,3.200,04.08.2015
-,-,-,3.200,05.08.2015
-,-,-,3.200,06.08.2015
-,-,-,3.200,07.08.2015
-,-,-,3.200,10.08.2015
-,-,-,3.200,11.08.2015
-,-,-,3.200,12.08.2015
-,-,-,3.200,13.08.2015
-,-,-,3.200,14.08.2015
-,-,-,3.200,17.08.2015
-,-,-,3.200,18.08.2015
-,-,-,3.200,19.08.2015
-,-,-,3.200,20.08.2015
-,-,-,3.200,21.08.2015
-,-,-,3.200,24.08.2015
-,-,-,3.200,25.08.2015
-,-,-,3.200,26.08.2015
-,-,-,3.200,27.08.2015
-,-,-,3.200,28.08.2015
-,-,-,3.200,31.08.2015
-,-,-,3.200,01.09.2015
-,-,-,3.200,02.09.2015
-,-,-,3.200,03.09.2015
-,-,-,3.200,04.09.2015
-,-,-,3.200,07.09.2015
-,-,-,3.200,08.09.2015
-,-,-,3.200,09.09.2015
-,-,-,3.200,10.09.2015
-,-,-,3.200,11.09.2015
-,-,-,3.200,14.09.2015
-,-,-,3.200,15.09.2015
-,-,-,3.200,16.09.2015
-,-,-,3.200,17.09.2015
-,-,-,3.200,18.09.2015
-,-,-,3.200,21.09.2015
-,-,-,3.200,22.09.2015
-,-,-,3.200,23.09.2015
-,-,-,3.200,24.09.2015
-,-,-,3.200,25.09.2015
-,-,-,3.200,28.09.2015
-,-,-,3.200,29.09.2015
-,-,-,3.200,30.09.2015
-,-,-,3.200,01.10.2015
-,-,-,3.200,02.10.2015
3.500,3.500,3.500,3.500,05.10.2015
-,-,-,3.500,06.10.2015
-,-,-,3.500,07.10.2015
3.500,3.500,3.500,3.500,08.10.2015
-,-,-,3.500,09.10.2015
-,-,-,3.500,12.10.2015
-,-,-,3.500,13.10.2015
-,-,-,3.500,14.10.2015
-,-,-,3.500,15.10.2015
-,-,-,3.500,16.10.2015
-,-,-,3.500,19.10.2015
-,-,-,3.500,20.10.2015
-,-,-,3.500,21.10.2015
-,-,-,3.500,22.10.2015
-,-,-,3.500,23.10.2015
-,-,-,3.500,26.10.2015
-,-,-,3.500,27.10.2015
3.500,3.500,3.500,3.500,28.10.2015
-,-,-,3.500,29.10.2015
-,-,-,3.500,30.10.2015
-,-,-,3.500,02.11.2015
-,-,-,3.500,03.11.2015
-,-,-,3.500,04.11.2015
-,-,-,3.500,05.11.2015
-,-,-,3.500,06.11.2015
-,-,-,3.500,09.11.2015
-,-,-,3.500,10.11.2015
-,-,-,3.500,11.11.2015
-,-,-,3.500,12.11.2015
-,-,-,3.500,13.11.2015
-,-,-,3.500,16.11.2015
-,-,-,3.500,17.11.2015
-,-,-,3.500,18.11.2015
-,-,-,3.500,19.11.2015
-,-,-,3.500,20.11.2015
-,-,-,3.500,23.11.2015
-,-,-,3.500,24.11.2015
-,-,-,3.500,25.11.2015
-,-,-,3.500,26.11.2015
2.010,2.010,2.010,2.010,27.11.2015
-,-,-,2.010,30.11.2015
-,-,-,2.010,01.12.2015
-,-,-,2.010,02.12.2015
-,-,-,2.010,03.12.2015
-,-,-,2.010,04.12.2015
-,-,-,2.010,07.12.2015
-,-,-,2.010,08.12.2015
-,-,-,2.010,09.12.2015
-,-,-,2.010,10.12.2015
-,-,-,2.010,11.12.2015
-,-,-,2.010,14.12.2015
-,-,-,2.010,15.12.2015
-,-,-,2.010,16.12.2015
-,-,-,2.010,17.12.2015
-,-,-,2.010,18.12.2015
-,-,-,2.010,21.12.2015
-,-,-,2.010,22.12.2015
2.040,2.040,2.040,2.040,23.12.2015
-,-,-,2.040,28.12.2015
-,-,-,2.040,29.12.2015
-,-,-,2.040,30.12.2015
-,-,-,2.040,04.01.2016
-,-,-,2.040,05.01.2016
-,-,-,2.040,06.01.2016
-,-,-,2.040,07.01.2016
-,-,-,2.040,08.01.2016
-,-,-,2.040,11.01.2016
-,-,-,2.040,12.01.2016
-,-,-,2.040,13.01.2016
-,-,-,2.040,14.01.2016
-,-,-,2.040,15.01.2016
-,-,-,2.040,18.01.2016
-,-,-,2.040,19.01.2016
-,-,-,2.040,20.01.2016
-,-,-,2.040,21.01.2016
-,-,-,2.040,22.01.2016
-,-,-,2.040,25.01.2016
-,-,-,2.040,26.01.2016
-,-,-,2.040,27.01.2016
-,-,-,2.040,28.01.2016
-,-,-,2.040,29.01.2016
2.010,2.010,2.010,2.010,01.02.2016
-,-,-,2.010,02.02.2016
-,-,-,2.010,03.02.2016
-,-,-,2.010,04.02.2016
-,-,-,2.010,05.02.2016
-,-,-,2.010,09.02.2016
-,-,-,2.010,10.02.2016
2.030,2.030,2.030,2.030,11.02.2016
-,-,-,2.030,12.02.2016
-,-,-,2.030,15.02.2016
-,-,-,2.030,16.02.2016
2.010,2.010,2.010,2.010,17.02.2016
-,-,-,2.010,18.02.2016
-,-,-,2.010,19.02.2016
-,-,-,2.010,22.02.2016
-,-,-,2.010,23.02.2016
-,-,-,2.010,24.02.2016
-,-,-,2.010,25.02.2016
-,-,-,2.010,26.02.2016
-,-,-,2.010,29.02.2016
-,-,-,2.010,01.03.2016
-,-,-,2.010,02.03.2016
-,-,-,2.010,03.03.2016
-,-,-,2.010,04.03.2016
-,-,-,2.010,07.03.2016
-,-,-,2.010,08.03.2016
2.310,2.310,2.310,2.310,09.03.2016
-,-,-,2.310,10.03.2016
-,-,-,2.310,11.03.2016
-,-,-,2.310,14.03.2016
-,-,-,2.310,15.03.2016
-,-,-,2.310,16.03.2016
-,-,-,2.310,17.03.2016
-,-,-,2.310,18.03.2016
-,-,-,2.310,21.03.2016
2.000,2.000,2.000,2.000,22.03.2016
-,-,-,2.000,23.03.2016
-,-,-,2.000,24.03.2016
-,-,-,2.000,29.03.2016
-,-,-,2.000,30.03.2016
-,-,-,2.000,31.03.2016
-,-,-,2.000,01.04.2016
-,-,-,2.000,04.04.2016
-,-,-,2.000,05.04.2016
-,-,-,2.000,06.04.2016
-,-,-,2.000,07.04.2016
-,-,-,2.000,08.04.2016
-,-,-,2.000,11.04.2016
-,-,-,2.000,12.04.2016
-,-,-,2.000,13.04.2016
-,-,-,2.000,14.04.2016
-,-,-,2.000,15.04.2016
-,-,-,2.000,18.04.2016
-,-,-,2.000,19.04.2016
-,-,-,2.000,20.04.2016
-,-,-,2.000,21.04.2016
-,-,-,2.000,22.04.2016
-,-,-,2.000,25.04.2016
-,-,-,2.000,26.04.2016
-,-,-,2.000,28.04.2016
-,-,-,2.000,29.04.2016
-,-,-,2.000,03.05.2016
-,-,-,2.000,04.05.2016
