najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
25.100,24.610,24.610,25.100,31.07.2015
25.100,24.610,24.610,25.010,03.08.2015
25.500,25.500,25.120,25.300,04.08.2015
25.740,25.110,25.110,25.500,05.08.2015
25.500,25.100,25.100,25.500,06.08.2015
25.490,25.490,25.490,25.490,07.08.2015
25.500,25.490,25.100,25.100,10.08.2015
25.200,25.010,25.010,25.200,11.08.2015
25.500,25.500,25.300,25.300,12.08.2015
25.300,25.020,25.000,25.000,13.08.2015
25.200,25.000,25.000,25.200,14.08.2015
25.015,25.010,24.800,25.000,17.08.2015
25.250,24.950,24.950,25.000,18.08.2015
25.000,25.000,25.000,25.000,19.08.2015
24.990,24.900,24.000,24.990,20.08.2015
24.900,24.430,24.100,24.350,21.08.2015
24.000,24.000,22.950,23.230,24.08.2015
23.750,23.110,23.000,23.290,25.08.2015
23.500,23.200,23.010,23.010,26.08.2015
23.200,22.510,22.510,23.200,27.08.2015
23.400,23.210,23.100,23.100,28.08.2015
23.300,23.010,22.520,23.000,31.08.2015
22.900,22.600,22.220,22.700,01.09.2015
22.980,22.700,22.320,22.500,02.09.2015
22.550,22.500,22.310,22.500,03.09.2015
22.500,22.500,22.350,22.490,04.09.2015
22.500,22.500,22.450,22.500,07.09.2015
22.500,22.350,22.300,22.300,08.09.2015
22.500,22.500,22.150,22.150,09.09.2015
22.310,22.300,22.160,22.160,10.09.2015
22.200,22.080,21.860,21.905,11.09.2015
22.000,21.950,21.950,21.950,14.09.2015
21.950,21.925,21.500,21.500,15.09.2015
22.150,21.220,21.000,22.150,16.09.2015
22.250,21.900,21.340,21.340,17.09.2015
21.390,21.340,21.000,21.120,18.09.2015
21.100,21.100,20.950,20.990,21.09.2015
21.190,21.190,20.915,20.915,22.09.2015
21.495,21.000,21.000,21.040,23.09.2015
21.500,21.500,21.180,21.500,24.09.2015
22.300,21.500,21.410,22.150,25.09.2015
22.980,22.450,22.300,22.300,28.09.2015
22.500,22.300,22.200,22.500,29.09.2015
22.790,22.790,21.750,21.750,30.09.2015
22.680,22.005,22.005,22.210,01.10.2015
22.695,22.660,22.410,22.500,02.10.2015
22.950,22.650,22.400,22.500,05.10.2015
22.550,22.500,22.300,22.325,06.10.2015
22.500,22.110,22.000,22.000,07.10.2015
22.395,22.395,22.000,22.000,08.10.2015
22.395,22.000,21.820,22.395,09.10.2015
22.390,22.000,22.000,22.000,12.10.2015
22.040,21.750,21.750,22.000,13.10.2015
21.950,21.760,21.705,21.730,14.10.2015
21.900,21.500,21.330,21.330,15.10.2015
21.750,21.510,21.510,21.550,16.10.2015
21.950,21.450,21.450,21.800,19.10.2015
21.800,21.750,21.660,21.800,20.10.2015
22.000,22.000,21.760,21.800,21.10.2015
21.800,21.800,21.220,21.220,22.10.2015
21.995,21.600,21.600,21.800,23.10.2015
22.435,22.000,22.000,22.435,26.10.2015
22.220,22.220,22.050,22.200,27.10.2015
22.285,21.970,21.970,22.200,28.10.2015
22.300,22.300,21.940,21.940,29.10.2015
22.050,22.050,21.610,21.700,30.10.2015
22.000,21.500,21.500,22.000,02.11.2015
22.300,22.000,22.000,22.000,03.11.2015
22.440,22.440,22.030,22.030,04.11.2015
22.390,22.050,22.050,22.350,05.11.2015
22.450,22.390,22.180,22.400,06.11.2015
23.000,22.780,22.780,22.800,09.11.2015
23.500,23.000,23.000,23.400,10.11.2015
23.700,23.120,23.120,23.700,11.11.2015
24.480,23.560,23.560,23.800,12.11.2015
24.250,24.000,24.000,24.020,13.11.2015
24.270,24.270,23.255,23.840,16.11.2015
23.800,23.500,23.500,23.520,17.11.2015
23.850,23.520,23.510,23.620,18.11.2015
24.300,24.100,24.100,24.300,19.11.2015
24.300,24.250,23.510,24.300,20.11.2015
24.300,24.300,23.950,24.010,23.11.2015
24.350,24.295,24.100,24.150,24.11.2015
24.330,24.100,24.100,24.300,25.11.2015
24.300,24.300,24.200,24.200,26.11.2015
24.250,24.150,24.100,24.240,27.11.2015
24.250,24.250,23.760,23.900,30.11.2015
24.100,23.900,23.900,24.000,01.12.2015
24.200,24.000,24.000,24.010,02.12.2015
24.495,24.495,24.010,24.300,03.12.2015
24.150,24.150,24.150,24.150,04.12.2015
24.200,24.200,24.095,24.100,07.12.2015
24.110,24.100,24.010,24.010,08.12.2015
24.100,24.020,24.000,24.000,09.12.2015
24.000,24.000,23.900,23.950,10.12.2015
24.000,23.520,23.520,23.550,11.12.2015
23.490,23.490,23.000,23.000,14.12.2015
23.000,22.700,22.700,22.900,15.12.2015
23.050,22.990,22.950,23.000,16.12.2015
23.590,23.000,23.000,23.380,17.12.2015
23.750,23.380,23.210,23.750,18.12.2015
23.750,23.750,23.000,23.000,21.12.2015
23.370,23.000,22.865,22.920,22.12.2015
23.490,22.900,22.870,23.490,23.12.2015
23.890,23.305,23.305,23.890,28.12.2015
23.350,23.330,23.100,23.100,29.12.2015
23.500,22.950,22.720,23.500,30.12.2015
24.400,23.945,23.030,24.100,04.01.2016
24.500,24.010,24.010,24.100,05.01.2016
24.485,24.010,24.010,24.210,06.01.2016
24.200,24.200,23.610,24.000,07.01.2016
24.000,23.500,23.500,24.000,08.01.2016
24.500,24.000,23.550,23.900,11.01.2016
23.850,23.700,23.700,23.700,12.01.2016
24.000,23.620,23.620,23.850,13.01.2016
23.850,23.800,23.190,23.190,14.01.2016
24.000,23.500,23.480,23.700,15.01.2016
23.885,23.410,23.350,23.885,18.01.2016
23.900,23.500,23.325,23.800,19.01.2016
23.500,23.500,23.400,23.450,20.01.2016
23.790,23.390,23.390,23.520,21.01.2016
23.850,23.500,23.500,23.850,22.01.2016
23.850,23.850,23.610,23.775,25.01.2016
23.895,23.895,23.555,23.695,26.01.2016
23.800,23.700,23.650,23.750,27.01.2016
24.000,23.800,23.800,24.000,28.01.2016
24.100,23.810,23.810,24.000,29.01.2016
24.295,24.200,23.965,24.000,01.02.2016
23.900,23.650,23.500,23.510,02.02.2016
23.890,23.520,23.520,23.890,03.02.2016
23.700,23.600,23.500,23.700,04.02.2016
23.945,23.650,23.600,23.750,05.02.2016
23.900,23.900,23.600,23.600,09.02.2016
23.900,23.800,23.520,23.520,10.02.2016
23.650,23.600,23.200,23.200,11.02.2016
23.340,23.000,22.900,22.900,12.02.2016
23.120,23.000,23.000,23.120,15.02.2016
23.530,23.120,23.020,23.500,16.02.2016
23.500,23.010,23.010,23.500,17.02.2016
23.800,23.500,23.405,23.800,18.02.2016
23.800,23.550,23.500,23.800,19.02.2016
24.000,24.000,23.650,24.000,22.02.2016
24.000,24.000,23.900,23.900,23.02.2016
24.000,23.910,23.610,23.610,24.02.2016
23.950,23.610,23.500,23.520,25.02.2016
23.980,23.950,23.655,23.655,26.02.2016
24.290,23.660,23.660,23.800,29.02.2016
24.030,24.030,23.535,23.995,01.03.2016
24.000,24.000,24.000,24.000,02.03.2016
24.600,24.150,24.150,24.500,03.03.2016
24.900,24.900,24.500,24.800,04.03.2016
25.500,24.980,24.980,25.370,07.03.2016
25.895,25.540,25.300,25.690,08.03.2016
25.600,25.025,25.025,25.300,09.03.2016
25.550,25.550,25.255,25.510,10.03.2016
26.010,25.600,25.500,26.010,11.03.2016
26.000,25.910,25.910,26.000,14.03.2016
25.990,25.990,25.700,25.700,15.03.2016
25.935,25.525,25.500,25.500,16.03.2016
25.800,25.550,25.550,25.800,17.03.2016
25.800,25.800,25.680,25.680,18.03.2016
25.680,25.650,25.360,25.500,21.03.2016
25.900,25.490,25.490,25.900,22.03.2016
26.500,25.900,25.700,26.500,23.03.2016
27.000,26.500,26.500,26.550,24.03.2016
26.980,26.980,26.460,26.800,29.03.2016
27.200,26.950,26.930,27.000,30.03.2016
27.195,27.195,26.650,27.000,31.03.2016
27.000,27.000,26.700,26.995,01.04.2016
27.220,27.220,26.600,26.800,04.04.2016
27.095,27.000,26.995,27.000,05.04.2016
26.995,26.995,26.700,26.900,06.04.2016
27.400,26.990,26.860,27.350,07.04.2016
27.350,27.330,27.050,27.350,08.04.2016
27.500,27.500,27.190,27.250,11.04.2016
27.250,27.250,27.070,27.100,12.04.2016
27.200,27.060,26.990,26.990,13.04.2016
27.500,27.500,27.000,27.000,14.04.2016
26.980,26.980,26.510,26.750,15.04.2016
26.650,26.550,26.350,26.640,18.04.2016
26.700,26.420,26.420,26.650,19.04.2016
27.300,26.900,26.900,27.300,20.04.2016
27.375,27.100,27.100,27.375,21.04.2016
27.200,27.200,27.010,27.110,22.04.2016
27.110,26.300,26.300,27.005,25.04.2016
27.100,27.000,27.000,27.010,26.04.2016
27.000,27.000,26.800,26.800,28.04.2016
26.800,26.790,26.600,26.800,29.04.2016
26.905,26.800,26.600,26.800,03.05.2016
26.995,26.800,26.800,26.810,04.05.2016
26.995,26.850,26.850,26.860,05.05.2016
27.000,27.000,26.915,26.915,06.05.2016
27.200,26.720,26.720,27.100,09.05.2016
27.200,27.100,27.100,27.150,10.05.2016
27.150,27.150,27.150,27.150,11.05.2016
27.190,27.000,26.635,27.185,12.05.2016
27.150,26.905,26.905,27.010,13.05.2016
27.135,26.650,26.650,27.000,16.05.2016
27.170,27.000,26.790,26.790,17.05.2016
26.900,26.800,26.520,26.520,18.05.2016
26.750,26.565,26.565,26.565,19.05.2016
26.720,26.575,26.205,26.480,20.05.2016
26.650,26.450,26.160,26.385,23.05.2016
26.400,26.380,26.200,26.210,24.05.2016
26.200,26.200,25.540,26.000,25.05.2016
26.095,26.095,25.800,26.000,26.05.2016
26.150,25.990,25.870,26.010,27.05.2016
26.190,26.190,25.900,26.000,30.05.2016
26.000,25.940,25.610,26.000,31.05.2016
23.580,23.570,23.000,23.320,01.06.2016
23.400,23.400,23.300,23.310,02.06.2016
23.975,23.975,23.130,23.130,03.06.2016
23.500,23.500,23.000,23.000,06.06.2016
23.000,23.000,22.600,22.600,07.06.2016
